ts,eps_est,eps_rep,surprise_pct
2014-01-28 08:00:00-05:00,0.55,0.59,7.24
2014-04-24 08:00:00-04:00,0.48,0.54,11.43
2014-07-24 07:00:00-04:00,1.95,1.98,1.57
2014-10-23 08:00:00-04:00,1.64,1.66,1.48
2015-01-27 07:00:00-05:00,1.51,1.52,0.5
2015-04-24 07:00:00-04:00,1.7,1.73,1.54
2015-07-24 07:00:00-04:00,2.6,2.62,0.88
2015-10-23 07:00:00-04:00,2.72,2.77,1.78
2016-01-29 07:00:00-05:00,1.97,2.0,1.75
2016-04-22 07:00:00-04:00,1.19,1.25,5.39
2016-07-22 07:00:00-04:00,1.68,1.77,5.46
2016-10-20 07:00:00-04:00,1.69,1.76,4.39
2017-01-27 07:00:00-05:00,0.92,0.92,0.02
2017-04-27 07:00:00-04:00,0.57,0.61,6.57
2017-07-28 07:00:00-04:00,1.86,1.92,3.0
2017-10-26 08:00:00-04:00,1.4,1.42,1.58
2018-01-25 07:00:00-05:00,0.92,0.95,3.29
2018-04-26 07:00:00-04:00,0.71,0.75,5.61
2018-07-26 07:00:00-04:00,1.59,1.63,2.47
2018-10-25 07:00:00-04:00,1.13,1.13,0.42
2019-01-24 07:00:00-05:00,1.01,1.04,3.41
2019-04-26 07:00:00-04:00,0.5,0.52,3.99
2019-07-25 07:00:00-04:00,1.79,1.82,1.77
2019-10-24 07:00:00-04:00,1.4,1.42,1.61
2020-01-23 07:00:00-05:00,1.16,1.15,-0.51
2020-04-30 07:00:00-04:00,-2.36,-2.65,-12.52
2020-07-23 07:00:00-04:00,-7.9,-7.82,0.96
2020-10-22 07:00:00-04:00,-5.75,-5.54,3.73
2021-01-28 07:00:00-05:00,-4.12,-3.86,6.34
2021-04-22 07:00:00-04:00,-4.33,-4.32,0.27
2021-07-22 07:00:00-04:00,-1.73,-1.69,2.29
2021-10-21 07:00:00-04:00,-1.03,-0.95,7.76
2022-01-20 07:00:00-05:00,-1.48,-1.42,3.99
2022-04-21 07:00:00-04:00,-2.41,-2.32,3.52
2022-07-21 07:00:00-04:00,0.74,0.76,2.36
2022-10-20 07:00:00-04:00,0.56,0.69,22.49
2023-01-26 07:00:00-05:00,1.08,1.17,8.62
2023-04-27 07:00:00-04:00,0.03,0.05,80.7
2023-07-20 07:00:00-04:00,1.59,1.92,20.43
2023-10-19 07:00:00-04:00,0.25,0.38,50.51
2024-01-25 07:00:00-05:00,0.08,0.29,265.56
2024-04-25 07:00:00-04:00,-0.29,-0.34,-16.81
2024-07-25 07:00:00-04:00,1.05,1.09,3.99
2024-10-24 07:00:00-04:00,0.17,0.3,80.77
2025-01-23 07:00:00-05:00,0.66,0.86,30.1
2025-04-24 07:00:00-04:00,-0.67,-0.59,12.12
2025-07-24 07:00:00-04:00,0.77,0.95,22.7
2025-10-23 07:00:00-04:00,-0.28,-0.17,38.21
2026-01-27 07:00:00-05:00,0.35,0.16,-54.58
2026-04-23 07:00:00-04:00,-0.46,-0.4,13.04
2026-07-23 08:00:00-04:00,0.03,,
