ts,eps_est,eps_rep,surprise_pct
2001-12-13 16:00:00-05:00,0.11,0.1,-5.09
2002-03-14 16:00:00-05:00,0.1,0.11,9.27
2002-06-13 16:00:00-04:00,0.13,0.14,6.58
2002-09-12 16:00:00-04:00,0.1,0.11,12.18
2002-12-12 16:00:00-05:00,0.11,0.13,10.3
2003-03-13 16:00:00-05:00,0.11,0.13,15.61
2003-06-12 16:00:00-04:00,0.13,0.14,6.16
2003-09-10 16:00:00-04:00,0.12,0.14,14.25
2003-12-11 16:00:00-05:00,0.16,0.17,6.78
2004-03-18 16:00:00-05:00,0.2,0.25,25.87
2004-06-17 16:00:00-04:00,0.21,0.22,3.77
2004-09-20 16:00:00-04:00,0.19,0.22,11.45
2004-12-16 16:00:00-05:00,0.21,0.22,5.65
2005-03-17 16:00:00-05:00,0.25,0.27,6.94
2005-06-16 16:00:00-04:00,0.27,0.28,3.61
2005-09-15 16:00:00-04:00,0.27,0.29,8.88
2005-12-15 16:00:00-05:00,0.28,0.3,7.14
2006-03-22 17:00:00-05:00,0.29,0.32,8.68
2006-06-15 16:00:00-04:00,0.3,0.31,2.76
2006-09-14 16:00:00-04:00,0.26,0.29,10.0
2006-12-14 16:00:00-05:00,0.33,0.33,-0.13
2007-03-20 16:00:00-04:00,0.29,0.3,2.3
2007-06-14 16:00:00-04:00,0.36,0.37,3.62
2007-09-17 16:00:00-04:00,0.41,0.45,10.58
2007-12-17 16:00:00-05:00,0.48,0.49,2.6
2008-03-18 16:00:00-04:00,0.45,0.48,6.33
2008-06-16 16:00:00-04:00,0.46,0.5,7.95
2008-09-16 16:00:00-04:00,0.46,0.5,8.14
2008-12-16 16:00:00-05:00,0.57,0.6,4.99
2009-03-17 16:00:00-04:00,0.44,0.45,2.21
2009-06-16 16:00:00-04:00,0.34,0.35,1.47
2009-09-15 16:00:00-04:00,0.33,0.35,4.65
2009-12-15 16:00:00-05:00,0.37,0.39,6.79
2010-03-23 16:00:00-04:00,0.37,0.4,7.4
2010-06-22 16:00:00-04:00,0.43,0.44,3.23
2010-09-21 16:00:00-04:00,0.49,0.54,9.81
2010-12-20 16:00:00-05:00,0.52,0.56,7.76
2011-03-22 16:00:00-04:00,0.57,0.58,1.84
2011-06-21 16:00:00-04:00,0.51,0.55,7.2
2011-09-20 16:00:00-04:00,0.54,0.55,2.17
2011-12-15 16:00:00-05:00,0.61,0.67,10.6
2012-03-19 16:00:00-04:00,0.57,0.57,0.28
2012-06-19 16:00:00-04:00,0.59,0.6,1.27
2012-09-19 16:00:00-04:00,0.58,0.58,-0.71
2012-12-13 16:00:00-05:00,0.56,0.61,8.08
2013-03-19 16:00:00-04:00,0.31,0.35,12.01
2013-06-18 16:00:00-04:00,0.34,0.36,7.24
2013-09-17 16:00:00-04:00,0.33,0.32,-4.33
2013-12-12 16:00:00-05:00,0.32,0.32,0.89
2014-03-18 16:00:00-04:00,0.25,0.3,19.18
2014-06-17 16:00:00-04:00,0.3,0.37,24.09
2014-09-16 16:00:00-04:00,0.26,0.28,6.25
2014-12-11 16:00:00-05:00,0.3,0.36,21.22
2015-03-17 16:00:00-04:00,0.39,0.44,13.77
2015-06-16 16:00:00-04:00,0.45,0.48,5.99
2015-09-17 16:00:00-04:00,0.5,0.54,8.36
2015-12-10 16:00:00-05:00,0.6,0.62,3.41
2016-03-17 16:00:00-04:00,0.61,0.66,8.65
2016-06-21 16:00:00-04:00,0.68,0.71,4.45
2016-09-20 16:00:00-04:00,0.72,0.75,3.66
2016-12-15 16:00:00-05:00,0.86,0.9,4.46
2017-03-16 16:00:00-04:00,0.87,0.94,7.84
2017-06-20 16:00:00-04:00,0.95,1.02,7.85
2017-09-19 16:00:00-04:00,1.01,1.1,9.2
2017-12-14 16:00:00-05:00,1.16,1.26,8.92
2018-03-15 16:00:00-04:00,1.44,1.55,7.78
2018-06-14 16:00:00-04:00,1.54,1.66,7.63
2018-09-13 16:00:00-04:00,1.69,1.73,2.32
2018-12-13 16:00:00-05:00,1.84,1.83,-0.27
2019-03-14 16:00:00-04:00,1.62,1.71,5.79
2019-06-18 16:00:00-04:00,1.78,1.83,2.58
2019-09-17 16:00:00-04:00,1.97,2.05,3.86
2019-12-12 16:00:00-05:00,2.26,2.29,1.43
2020-03-12 16:00:00-04:00,2.23,2.27,1.96
2020-06-11 16:00:00-04:00,2.32,2.45,5.68
2020-09-15 16:00:00-04:00,2.41,2.57,6.56
2020-12-10 08:00:00-05:00,2.66,2.81,5.66
2021-03-23 16:00:00-04:00,2.79,3.14,12.68
2021-06-17 16:00:00-04:00,2.82,3.03,7.55
2021-09-21 16:00:00-04:00,3.02,3.11,3.11
2021-12-16 08:00:00-05:00,3.2,3.2,0.04
2022-03-22 16:00:00-04:00,3.34,3.37,0.78
2022-06-16 16:00:00-04:00,3.31,3.35,1.31
2022-09-15 08:00:00-04:00,3.34,3.4,1.66
2022-12-15 16:00:00-05:00,3.5,3.6,2.72
2023-03-15 16:00:00-04:00,3.68,3.8,3.25
2023-06-15 16:00:00-04:00,3.79,3.91,3.22
2023-09-14 16:00:00-04:00,3.98,4.1,3.06
2023-12-13 16:00:00-05:00,4.14,4.27,3.17
2024-03-14 16:00:00-04:00,4.38,4.48,2.23
2024-06-13 16:00:00-04:00,4.4,4.48,1.92
2024-09-12 16:00:00-04:00,4.54,4.65,2.49
