ts,eps_est,eps_rep,surprise_pct
2001-10-23 09:00:00-04:00,1.44,1.43,-0.9
2002-01-22 07:00:00-05:00,0.39,0.35,-9.09
2002-04-24 07:00:00-04:00,0.58,0.59,2.08
2002-07-25 07:00:00-04:00,0.56,0.56,-0.53
2002-10-25 07:00:00-04:00,1.06,1.21,13.94
2003-01-24 08:00:00-05:00,0.55,0.52,-5.28
2003-04-29 08:00:00-04:00,0.48,0.61,28.42
2003-07-30 07:00:00-04:00,0.41,0.44,6.54
2003-10-23 07:00:00-04:00,0.86,0.76,-11.11
2004-02-03 07:00:00-05:00,0.39,0.51,30.1
2004-04-29 07:00:00-04:00,0.61,0.72,18.62
2004-07-30 06:00:00-04:00,0.43,0.38,-12.04
2004-10-21 07:00:00-04:00,0.74,0.8,7.96
2005-01-27 06:00:00-05:00,0.43,0.42,-1.18
2005-04-28 07:00:00-04:00,0.79,0.88,12.0
2005-07-29 06:00:00-04:00,0.43,0.61,41.86
2005-10-27 06:00:00-04:00,0.82,0.95,16.42
2006-02-01 07:00:00-05:00,0.26,0.29,9.59
2006-04-27 07:00:00-04:00,0.96,0.96,
2006-07-27 07:00:00-04:00,0.54,0.44,-18.37
2006-10-31 07:00:00-05:00,0.99,0.99,-0.3
2007-01-30 06:00:00-05:00,0.37,0.38,2.98
2007-04-26 06:00:00-04:00,0.71,0.68,-4.09
2007-07-31 06:00:00-04:00,0.58,0.64,10.73
2007-10-24 06:00:00-04:00,1.09,1.16,6.23
2008-01-29 06:00:00-05:00,0.49,0.52,5.91
2008-04-24 06:00:00-04:00,0.85,1.02,20.57
2008-07-31 06:00:00-04:00,0.68,0.7,3.63
2008-10-31 06:00:00-04:00,0.98,0.93,-4.79
2009-01-29 06:00:00-05:00,0.52,0.59,13.68
2009-04-24 06:00:00-04:00,0.81,0.89,9.32
2009-07-31 06:00:00-04:00,0.62,0.68,9.69
2009-10-29 06:00:00-04:00,0.85,0.93,9.47
2010-01-28 06:00:00-05:00,0.46,0.5,8.6
2010-04-29 06:00:00-04:00,0.79,0.76,-4.34
2010-07-30 06:00:00-04:00,0.69,0.74,6.55
2010-10-19 06:00:00-04:00,1.03,1.15,11.26
2011-01-28 06:00:00-05:00,0.39,0.38,-3.58
2011-04-21 06:00:00-04:00,0.8,0.82,3.02
2011-07-29 06:00:00-04:00,0.76,0.73,-3.62
2011-10-26 06:00:00-04:00,1.14,1.17,2.34
2012-01-27 06:00:00-05:00,0.4,0.4,-0.75
2012-04-20 06:00:00-04:00,0.8,0.8,0.54
2012-07-20 06:00:00-04:00,0.71,0.77,8.03
2012-10-24 06:00:00-04:00,1.03,1.02,-1.15
2013-02-15 06:00:00-05:00,0.45,0.5,11.19
2013-04-26 06:00:00-04:00,0.81,0.8,-1.23
2013-07-25 06:00:00-04:00,0.74,0.73,-1.45
2013-10-23 06:00:00-04:00,1.08,1.1,1.43
2014-01-27 06:00:00-05:00,0.57,0.6,5.57
2014-04-25 06:00:00-04:00,0.92,1.15,24.54
2014-07-25 06:00:00-04:00,0.75,0.8,6.54
2014-10-23 06:00:00-04:00,1.01,1.01,-0.03
2015-01-28 06:00:00-05:00,0.49,0.48,-2.69
2015-04-23 06:00:00-04:00,1.09,1.28,17.28
2015-07-23 06:00:00-04:00,0.81,0.88,9.15
2015-10-22 06:00:00-04:00,1.01,1.06,4.88
2016-01-28 06:00:00-05:00,0.5,0.48,-3.25
2016-04-28 06:00:00-04:00,1.04,1.02,-1.91
2016-07-28 06:00:00-04:00,0.9,0.95,6.07
2016-11-01 06:00:00-04:00,1.22,1.3,6.44
2017-01-26 06:00:00-05:00,0.55,0.67,21.59
2017-04-27 06:00:00-04:00,0.95,0.96,1.33
2017-07-27 06:00:00-04:00,0.82,0.75,-8.16
2017-10-26 06:00:00-04:00,1.16,1.1,-5.27
2018-01-25 06:00:00-05:00,0.79,0.85,7.8
2018-04-26 06:00:00-04:00,0.98,0.96,-2.29
2018-07-25 06:00:00-04:00,0.88,1.01,14.86
2018-10-25 06:00:00-04:00,1.21,1.26,4.26
2019-01-24 06:00:00-05:00,0.71,0.72,1.53
2019-04-25 06:00:00-04:00,1.11,1.19,7.37
2019-07-25 06:00:00-04:00,0.97,1.0,2.95
2019-10-24 06:00:00-04:00,1.31,1.46,11.33
2020-02-20 06:00:00-05:00,0.58,0.6,3.42
2020-05-06 07:00:00-04:00,1.1,1.02,-7.28
2020-08-06 06:00:00-04:00,1.05,1.08,3.3
2020-10-22 06:00:00-04:00,1.48,1.47,-0.48
2021-02-25 07:00:00-05:00,0.79,0.87,10.67
2021-04-22 06:00:00-04:00,1.17,1.15,-1.44
2021-07-22 06:00:00-04:00,1.14,1.18,3.31
2021-10-28 06:00:00-04:00,1.45,1.43,-1.28
2022-02-24 06:00:00-05:00,0.92,0.98,6.21
2022-04-28 06:00:00-04:00,1.2,1.22,2.07
2022-07-27 07:00:00-04:00,1.19,1.2,0.92
2022-10-27 07:00:00-04:00,1.56,1.62,3.6
2023-02-23 06:00:00-05:00,0.99,1.05,5.77
2023-05-04 06:00:00-04:00,1.12,1.11,-0.82
2023-07-27 06:00:00-04:00,1.14,1.13,-0.56
2023-11-02 06:00:00-04:00,1.7,1.77,4.01
2024-02-26 16:00:00-05:00,1.26,1.23,-2.28
2024-04-30 07:00:00-04:00,1.26,1.27,1.06
2024-07-30 07:00:00-04:00,1.23,1.25,1.3
2024-11-06 06:00:00-05:00,1.8,1.85,3.05
2025-02-13 06:00:00-05:00,1.24,1.24,-0.19
2025-05-06 07:00:00-04:00,1.4,1.54,9.86
2025-07-30 02:00:00-04:00,1.27,1.43,12.83
2025-10-29 06:00:00-04:00,1.81,1.8,-0.28
2026-02-12 06:00:00-05:00,1.15,1.19,3.6
2026-05-05 06:00:00-04:00,1.57,1.64,4.61
2026-07-30 08:00:00-04:00,1.5,,
