ts,eps_est,eps_rep,surprise_pct
2001-10-25 08:00:00-04:00,10.72,11.0,2.63
2002-02-07 08:00:00-05:00,15.51,15.4,-0.73
2002-04-25 07:00:00-04:00,16.17,16.2,0.17
2002-07-25 07:00:00-04:00,17.0,16.8,-1.18
2002-10-24 07:00:00-04:00,17.6,17.0,-3.41
2003-02-13 07:00:00-05:00,4.23,4.0,-5.44
2003-04-24 07:00:00-04:00,17.72,18.0,1.58
2003-07-24 07:00:00-04:00,18.79,19.2,2.2
2003-10-23 06:00:00-04:00,19.52,19.6,0.41
2004-02-11 07:00:00-05:00,20.73,21.0,1.29
2004-04-22 05:00:00-04:00,21.19,21.6,1.93
2004-07-22 05:00:00-04:00,22.3,22.8,2.24
2004-10-21 05:00:00-04:00,19.45,19.4,-0.25
2005-02-09 05:00:00-05:00,22.63,23.4,3.41
2005-06-28 17:00:00-04:00,23.59,24.2,2.6
2005-08-09 17:00:00-04:00,24.12,22.8,-5.48
2005-11-14 16:00:00-05:00,15.86,13.6,-14.26
2006-03-16 16:00:00-05:00,6.29,2.8,-55.48
2006-05-10 16:00:00-04:00,27.11,25.8,-4.82
2006-08-09 16:00:00-04:00,27.75,28.8,3.8
2006-11-09 16:00:00-05:00,28.54,30.6,7.21
2007-03-01 16:00:00-05:00,29.96,29.4,-1.86
2007-05-10 16:00:00-04:00,30.91,33.6,8.7
2007-08-08 16:00:00-04:00,32.34,35.4,9.46
2007-11-07 17:00:00-05:00,32.46,28.8,-11.28
2008-02-28 17:00:00-05:00,5.1,-25.0,-590.21
2008-05-08 16:00:00-04:00,9.63,18.6,93.18
2008-08-06 17:00:00-04:00,14.24,-10.2,-171.65
2008-11-10 06:00:00-05:00,-22.93,-68.4,-198.26
2009-03-02 06:00:00-05:00,-7.37,-283.4,-3743.62
2009-05-07 16:00:00-04:00,-2.14,-19.4,-804.75
2009-08-07 07:00:00-04:00,0.96,2.57,168.76
2009-11-06 07:00:00-05:00,1.14,2.85,150.73
2010-02-26 07:00:00-05:00,-3.94,-53.23,-1251.02
2010-05-07 07:00:00-04:00,0.48,1.21,154.06
2010-08-06 07:00:00-04:00,0.98,1.99,102.3
2010-11-05 07:00:00-04:00,0.93,-1.47,-258.63
2011-02-24 16:00:00-05:00,-14.02,-16.2,-15.51
2011-05-05 17:00:00-04:00,-0.09,1.3,1483.13
2011-08-04 16:00:00-04:00,0.96,0.69,-27.84
2011-11-03 16:00:00-04:00,-0.28,-1.6,-466.91
2012-02-23 16:00:00-05:00,0.65,0.82,25.69
2012-05-03 16:00:00-04:00,1.4,1.65,17.64
2012-08-02 16:00:00-04:00,0.6,1.06,76.88
2012-11-01 16:00:00-04:00,0.89,1.0,12.65
2013-02-21 16:00:00-05:00,-0.07,0.2,399.4
2013-05-02 16:00:00-04:00,0.88,1.34,52.21
2013-08-01 16:00:00-04:00,0.86,1.12,30.74
2013-10-31 16:00:00-04:00,0.96,0.96,0.25
2014-02-13 16:00:00-05:00,0.97,1.15,18.49
2014-05-05 16:00:00-04:00,1.06,1.21,13.92
2014-08-04 16:00:00-04:00,1.05,1.25,19.46
2014-11-03 16:00:00-05:00,1.09,1.21,11.14
