ts,eps_est,eps_rep,surprise_pct
2001-11-14 16:00:00-05:00,0.02,0.02,-30.17
2002-02-12 16:00:00-05:00,,0.01,513.22
2002-05-14 16:00:00-04:00,0.02,0.03,23.41
2002-08-13 16:00:00-04:00,0.06,0.07,21.15
2002-11-13 16:00:00-05:00,0.08,0.09,15.71
2003-02-11 16:00:00-05:00,0.02,,-100.0
2003-05-13 16:00:00-04:00,0.02,0.03,84.62
2003-08-12 16:00:00-04:00,0.04,0.05,37.93
2003-11-12 16:00:00-05:00,0.05,0.06,13.29
2004-02-18 16:00:00-05:00,0.08,0.12,47.69
2004-05-18 16:00:00-04:00,0.19,0.22,16.51
2004-08-17 16:00:00-04:00,0.25,0.26,5.67
2004-11-17 16:00:00-05:00,0.26,0.27,4.29
2005-02-15 16:00:00-05:00,0.16,0.17,9.43
2005-05-17 16:00:00-04:00,0.17,0.18,5.99
2005-08-16 16:00:00-04:00,0.14,0.15,7.89
2005-11-16 16:00:00-05:00,0.14,0.15,5.78
2006-02-15 16:00:00-05:00,0.17,0.19,11.76
2006-05-16 16:00:00-04:00,0.23,0.26,12.07
2006-08-15 04:00:00-04:00,0.3,0.33,10.85
2006-11-15 16:00:00-05:00,0.31,0.3,-3.44
2007-02-13 16:00:00-05:00,0.27,0.27,0.26
2007-05-15 16:00:00-04:00,0.28,0.34,21.43
2007-08-14 16:00:00-04:00,0.32,0.34,7.02
2007-11-14 16:00:00-05:00,0.29,0.31,7.67
2008-02-12 16:00:00-05:00,0.2,0.23,14.01
2008-05-13 16:00:00-04:00,0.22,0.24,11.63
2008-08-12 16:00:00-04:00,0.14,0.14,1.26
2008-11-12 16:00:00-05:00,0.14,0.18,25.98
2009-02-10 16:00:00-05:00,,-0.02,-1043.4
2009-05-12 16:00:00-04:00,-0.1,-0.12,-16.82
2009-08-11 16:00:00-04:00,-0.08,-0.03,63.79
2009-11-11 16:00:00-05:00,0.03,0.11,273.64
2010-02-17 16:00:00-05:00,0.13,0.13,-2.61
2010-05-19 16:00:00-04:00,0.21,0.22,5.12
2010-08-18 16:00:00-04:00,0.25,0.29,14.67
2010-11-17 16:00:00-05:00,0.31,0.36,17.29
2011-02-24 16:00:00-05:00,0.33,0.36,10.5
2011-05-24 16:00:00-04:00,0.37,0.38,3.14
2011-08-24 16:00:00-04:00,0.33,0.35,5.5
2011-11-16 16:00:00-05:00,0.19,0.21,7.75
2012-02-16 16:00:00-05:00,0.12,0.18,54.25
2012-05-17 16:00:00-04:00,0.24,0.27,12.05
2012-08-15 16:00:00-04:00,0.22,0.24,10.13
2012-12-05 18:00:00-05:00,0.03,0.06,79.59
2013-02-13 16:00:00-05:00,0.03,0.06,83.77
2013-05-16 16:00:00-04:00,0.13,0.16,21.64
2013-08-15 16:00:00-04:00,0.2,0.18,-8.14
2013-11-14 16:00:00-05:00,0.18,0.19,5.4
2014-02-12 16:00:00-05:00,0.22,0.23,2.74
2014-05-15 16:00:00-04:00,0.27,0.28,1.82
2014-08-14 16:00:00-04:00,0.27,0.28,3.84
2014-11-13 16:00:00-05:00,0.27,0.27,0.38
2015-02-11 16:00:00-05:00,0.27,0.27,0.78
2015-05-14 16:00:00-04:00,0.28,0.29,4.58
2015-08-13 16:00:00-04:00,0.33,0.33,-0.39
2015-11-12 16:00:00-05:00,0.29,0.29,0.95
2016-02-18 16:00:00-05:00,0.25,0.26,2.95
2016-05-19 16:00:00-04:00,0.32,0.34,7.12
2016-08-18 16:00:00-04:00,0.48,0.5,5.12
2016-11-17 16:00:00-05:00,0.65,0.66,0.91
2017-02-15 16:00:00-05:00,0.66,0.67,1.68
2017-05-18 16:00:00-04:00,0.76,0.79,3.52
2017-08-17 16:00:00-04:00,0.83,0.86,3.07
2017-11-16 16:00:00-05:00,0.9,0.93,2.88
2018-02-14 16:00:00-05:00,0.98,1.06,8.04
2018-05-17 16:00:00-04:00,1.15,1.22,6.46
2018-08-16 16:00:00-04:00,1.16,1.2,3.04
2018-11-15 16:00:00-05:00,0.97,0.97,0.22
2019-02-14 16:00:00-05:00,0.79,0.81,2.45
2019-05-16 16:00:00-04:00,0.66,0.7,5.67
2019-08-15 16:00:00-04:00,0.7,0.74,5.09
2019-11-14 16:00:00-05:00,0.76,0.8,5.03
2020-02-12 16:00:00-05:00,0.93,0.98,5.82
2020-05-14 16:00:00-04:00,0.89,0.89,0.4
2020-08-13 16:00:00-04:00,0.95,1.06,11.88
2020-11-12 16:00:00-05:00,1.17,1.25,6.71
2021-02-18 16:00:00-05:00,1.28,1.39,8.75
2021-05-20 16:00:00-04:00,1.51,1.63,7.92
2021-08-19 16:00:00-04:00,1.78,1.9,6.82
2021-11-18 16:00:00-05:00,1.96,1.94,-0.93
2022-02-16 16:00:00-05:00,1.85,1.89,1.89
2022-05-19 16:00:00-04:00,1.9,1.85,-2.77
2022-08-18 16:00:00-04:00,1.78,1.94,8.69
2022-11-17 16:00:00-05:00,1.74,2.03,16.87
2023-02-16 16:00:00-05:00,1.92,2.03,5.68
2023-05-18 16:00:00-04:00,1.83,2.0,9.49
2023-08-17 16:00:00-04:00,1.75,1.9,8.88
2023-11-16 16:00:00-05:00,1.99,2.12,6.44
2024-02-15 16:00:00-05:00,1.91,2.13,11.78
2024-05-16 16:00:00-04:00,1.99,2.09,5.27
2024-08-15 16:00:00-04:00,2.03,2.12,4.68
2024-11-14 16:00:00-05:00,2.19,2.32,5.71
2025-02-13 16:00:00-05:00,2.3,2.38,3.67
2025-05-15 16:00:00-04:00,2.31,2.39,3.45
2025-08-14 16:00:00-04:00,2.36,2.48,5.13
2025-11-13 16:00:00-05:00,2.09,2.17,3.65
