ts,eps_est,eps_rep,surprise_pct
2002-04-25 16:00:00-04:00,0.27,0.28,4.09
2002-04-25 16:00:00-04:00,0.32,0.32,1.27
2002-07-24 16:00:00-04:00,0.34,0.38,10.47
2002-07-24 16:00:00-04:00,0.28,0.3,6.38
2002-10-23 16:00:00-04:00,0.32,0.34,7.67
2003-01-23 16:00:00-05:00,0.35,0.35,-0.87
2003-04-22 16:00:00-04:00,0.39,0.42,6.82
2003-07-22 16:00:00-04:00,0.46,0.49,6.98
2003-10-21 16:00:00-04:00,0.51,0.53,4.12
2004-01-22 16:00:00-05:00,0.48,0.46,-3.57
2004-04-22 16:00:00-04:00,0.55,0.57,3.22
2004-07-22 16:00:00-04:00,0.6,0.62,4.2
2004-10-20 16:00:00-04:00,0.62,0.64,2.89
2005-01-27 07:00:00-05:00,0.61,0.58,-5.38
2005-04-21 16:00:00-04:00,0.67,0.72,7.3
2005-07-19 16:00:00-04:00,0.72,0.88,21.88
2005-10-19 16:00:00-04:00,0.82,0.85,3.41
2006-01-26 07:00:00-05:00,0.75,0.75,
2006-04-18 16:00:00-04:00,0.88,0.91,3.29
2006-07-20 16:00:00-04:00,0.94,1.05,11.94
2006-10-23 16:00:00-04:00,0.98,1.04,6.34
2007-01-25 16:00:00-05:00,0.94,0.9,-4.17
2007-04-23 18:00:00-04:00,1.08,1.08,0.04
2007-07-26 16:00:00-04:00,1.06,1.12,5.58
2007-10-24 16:00:00-04:00,1.03,1.08,5.08
2008-01-24 16:00:00-05:00,0.97,1.0,3.31
2008-04-24 16:00:00-04:00,1.04,1.12,7.28
2008-07-28 06:00:00-04:00,1.03,1.14,11.0
2008-10-22 16:00:00-04:00,1.08,1.23,13.38
2009-01-26 16:00:00-05:00,1.05,1.06,0.72
2009-04-23 16:00:00-04:00,1.14,1.08,-5.45
2009-07-27 16:00:00-04:00,1.17,1.29,10.66
2009-10-21 16:00:00-04:00,1.27,1.49,17.64
2010-01-25 16:00:00-05:00,1.11,1.05,-5.21
2010-04-21 15:00:00-04:00,1.24,1.3,5.05
2010-07-29 16:00:00-04:00,1.3,1.38,6.21
2010-10-25 16:00:00-04:00,1.27,1.36,6.99
2011-01-24 16:00:00-05:00,1.1,1.17,6.39
2011-04-20 16:00:00-04:00,1.29,1.34,3.97
2011-07-29 08:00:00-04:00,1.29,1.37,6.55
2011-10-24 16:00:00-04:00,1.3,1.4,7.78
2012-01-26 16:00:00-05:00,1.22,1.21,-0.65
2012-04-24 16:00:00-04:00,1.45,1.61,11.0
2012-07-26 16:00:00-04:00,1.55,1.83,18.38
2012-10-23 16:00:00-04:00,1.47,1.67,13.61
2013-01-23 16:00:00-05:00,1.44,1.4,-2.68
2013-04-23 16:00:00-04:00,1.84,1.96,6.54
2013-07-30 16:00:00-04:00,1.74,1.89,8.57
2013-10-22 16:00:00-04:00,1.79,1.94,8.63
2014-01-28 16:00:00-05:00,1.68,1.82,8.28
2014-04-22 16:00:00-04:00,1.94,1.87,-3.65
2014-07-29 16:00:00-04:00,2.07,2.37,14.72
2014-10-27 16:00:00-04:00,2.12,2.3,8.67
2015-01-27 16:00:00-05:00,2.05,2.16,5.36
2015-04-21 16:00:00-04:00,2.11,2.48,17.65
2015-07-30 16:00:00-04:00,2.42,2.57,6.01
2015-10-28 16:00:00-04:00,2.37,2.72,14.77
2016-01-28 16:00:00-05:00,2.28,2.61,14.26
