ts,eps_est,eps_rep,surprise_pct
2002-04-30 05:00:00-04:00,-0.39,-0.3,23.79
2002-04-30 05:00:00-04:00,-0.39,-0.38,2.56
2002-08-08 05:00:00-04:00,-0.53,-0.53,0.93
2002-08-08 05:00:00-04:00,-0.41,-0.39,5.84
2002-11-08 08:00:00-05:00,-0.31,-0.42,-36.96
2003-02-24 06:00:00-05:00,-0.28,-0.24,14.29
2003-04-30 06:00:00-04:00,-0.29,-0.29,
2003-07-24 06:00:00-04:00,-0.39,-0.4,-1.27
2003-10-30 06:00:00-05:00,-0.2,-0.16,21.31
2004-02-18 06:00:00-05:00,-0.17,-0.14,16.56
2004-04-27 05:00:00-04:00,-0.17,-0.18,-5.88
2004-08-02 06:00:00-04:00,-0.16,-0.14,12.5
2004-10-28 06:00:00-04:00,-0.15,-0.25,-69.49
2005-03-30 06:00:00-05:00,-0.16,-0.3,-81.82
2005-05-04 06:00:00-04:00,-0.12,-0.15,-26.32
2005-07-28 06:00:00-04:00,-0.08,-0.07,14.63
2005-11-03 06:00:00-05:00,-0.04,-0.01,71.79
2006-02-24 06:00:00-05:00,0.01,0.03,500.0
2006-04-26 06:00:00-04:00,0.01,0.03,300.0
2006-11-29 06:00:00-05:00,0.03,0.02,-33.33
2006-11-29 06:00:00-05:00,0.03,0.01,-69.05
2007-02-20 05:00:00-05:00,0.04,0.04,-5.08
2007-05-07 06:00:00-04:00,0.06,0.05,-12.79
2007-08-02 05:00:00-04:00,0.05,0.05,-2.99
2007-11-07 06:00:00-05:00,0.07,0.06,-14.29
2008-03-14 14:00:00-04:00,0.08,0.08,4.34
2008-05-02 05:00:00-04:00,0.09,0.1,9.67
2008-07-30 05:00:00-04:00,0.12,0.12,-3.23
2008-11-03 05:00:00-05:00,0.14,0.15,10.6
2009-02-26 05:00:00-05:00,0.14,0.2,42.71
2009-04-29 05:00:00-04:00,0.15,0.14,-9.43
2009-07-29 06:00:00-04:00,0.17,0.13,-25.08
2009-11-03 07:00:00-05:00,0.18,0.17,-4.0
2010-02-24 07:00:00-05:00,0.19,0.16,-13.62
2010-05-04 07:00:00-04:00,0.18,0.24,30.39
2010-08-03 07:00:00-04:00,0.2,0.25,22.21
2010-11-05 07:00:00-04:00,0.2,0.23,16.2
2011-02-23 07:00:00-05:00,0.23,0.21,-7.94
2011-05-03 07:00:00-04:00,0.23,0.23,-0.29
2011-08-02 07:00:00-04:00,0.23,0.29,27.06
2011-11-01 07:00:00-04:00,0.25,-0.04,-115.84
2012-02-23 07:00:00-05:00,0.3,0.51,71.13
2012-05-03 07:00:00-04:00,0.41,0.56,37.25
2012-08-01 07:00:00-04:00,0.41,0.12,-70.51
2012-10-31 07:00:00-04:00,0.4,0.58,46.56
2013-02-26 07:00:00-05:00,0.42,0.34,-19.2
2013-05-01 07:00:00-04:00,0.48,0.51,5.29
2013-07-31 07:00:00-04:00,0.52,0.26,-50.73
2013-10-30 07:00:00-04:00,0.52,0.45,-14.19
2014-02-25 07:00:00-05:00,0.49,0.25,-48.27
2014-05-01 07:00:00-04:00,0.5,0.51,1.83
2014-07-30 07:00:00-04:00,0.54,0.58,8.05
2014-10-30 07:00:00-04:00,0.56,0.49,-11.95
2015-02-23 16:00:00-05:00,0.53,0.43,-17.77
2015-04-30 07:00:00-04:00,0.52,0.46,-12.29
2015-07-29 07:00:00-04:00,0.5,0.46,-6.48
2015-10-29 07:00:00-04:00,0.42,0.4,-6.16
2016-02-26 07:00:00-05:00,0.52,0.48,-6.65
2016-04-29 07:00:00-04:00,0.53,0.58,8.85
2016-07-28 07:00:00-04:00,0.54,0.37,-31.28
2016-10-27 07:00:00-04:00,0.53,0.55,3.38
2017-02-27 07:00:00-05:00,0.58,0.47,-19.52
2017-04-27 07:00:00-04:00,0.67,0.79,17.93
2017-07-27 07:00:00-04:00,0.74,0.8,8.01
2017-10-31 07:00:00-04:00,0.79,0.72,-8.84
2018-02-27 07:00:00-05:00,0.76,0.51,-32.52
2018-05-01 07:00:00-04:00,0.77,0.76,-1.18
2018-07-31 07:00:00-04:00,0.81,0.72,-11.76
2018-10-30 07:00:00-04:00,0.82,0.83,1.36
2019-02-27 07:00:00-05:00,0.78,0.86,9.35
2019-05-03 07:00:00-04:00,0.84,0.93,10.81
2019-07-31 07:00:00-04:00,0.91,1.01,11.33
2019-10-31 07:00:00-04:00,0.95,1.12,17.36
2020-02-25 07:00:00-05:00,1.02,1.26,23.71
2020-04-29 07:00:00-04:00,1.03,1.0,-2.72
2020-07-30 07:00:00-04:00,1.04,1.0,-4.17
2020-10-29 07:00:00-04:00,1.09,1.12,2.42
2021-02-25 07:00:00-05:00,1.25,0.82,-34.39
2021-04-29 07:00:00-04:00,1.25,1.3,3.89
2021-07-29 07:00:00-04:00,1.25,1.65,32.36
2021-10-28 07:00:00-04:00,1.21,1.58,30.72
2022-02-24 07:00:00-05:00,1.19,0.77,-35.62
2022-04-27 07:00:00-04:00,1.08,1.56,43.78
2022-07-28 07:00:00-04:00,0.96,1.95,102.94
2022-10-27 07:00:00-04:00,1.05,1.8,71.28
2023-02-23 07:00:00-05:00,1.05,-1.47,-240.14
2023-04-26 07:00:00-04:00,1.11,0.72,-34.93
2023-07-27 07:00:00-04:00,1.08,1.02,-5.65
2023-10-26 07:00:00-04:00,1.13,1.88,65.94
2024-02-27 07:00:00-05:00,0.94,0.25,-73.86
2024-04-30 07:00:00-04:00,1.76,1.96,11.15
2024-07-30 07:00:00-04:00,1.58,1.92,21.86
2024-10-29 07:00:00-04:00,1.55,0.89,-42.59
2025-02-25 07:00:00-05:00,1.98,2.62,32.02
2025-04-29 07:00:00-04:00,1.57,1.04,-33.66
2025-07-29 07:00:00-04:00,1.66,0.78,-53.01
2025-10-28 07:00:00-04:00,1.65,1.82,10.06
2026-02-24 07:00:00-05:00,1.47,1.75,19.05
2026-04-28 07:00:00-04:00,1.57,1.84,17.04
2026-07-28 08:00:00-04:00,1.55,,
