ts,eps_est,eps_rep,surprise_pct
2002-04-23 16:00:00-04:00,,,88.99
2002-04-23 16:00:00-04:00,-0.01,-0.01,12.94
2002-07-23 17:00:00-04:00,,,82.27
2002-07-23 17:00:00-04:00,-0.01,-0.01,23.3
2002-10-24 16:00:00-04:00,,,100.0
2003-01-23 16:00:00-05:00,0.01,0.01,31.03
2003-04-24 16:00:00-04:00,,0.01,140.38
2003-07-22 16:00:00-04:00,,0.01,64.47
2003-10-21 16:00:00-04:00,,0.01,12.7
2004-01-27 16:00:00-05:00,0.01,0.01,1.9
2004-04-22 16:00:00-04:00,0.01,0.01,16.63
2004-07-22 16:00:00-04:00,0.01,0.01,-4.96
2004-10-21 16:00:00-04:00,0.01,0.01,-2.3
2005-02-02 16:00:00-05:00,0.02,0.02,-12.94
2005-04-26 16:00:00-04:00,0.01,0.01,12.46
2005-07-26 16:00:00-04:00,,0.01,45.99
2005-10-25 16:00:00-04:00,0.01,0.01,2.56
2006-02-02 16:00:00-05:00,0.01,0.01,1.12
2006-04-25 16:00:00-04:00,0.01,0.01,2.39
2006-07-25 16:00:00-04:00,,,3.55
2006-10-24 16:00:00-04:00,,,96.85
2007-02-01 16:00:00-05:00,0.01,0.01,16.75
2007-04-24 16:00:00-04:00,0.01,0.01,66.67
2007-07-24 16:00:00-04:00,0.01,0.01,19.8
2007-10-23 16:00:00-04:00,0.01,0.01,3.6
2008-01-30 16:00:00-05:00,0.02,0.02,1.31
2008-04-23 16:00:00-04:00,0.02,0.02,4.94
2008-07-23 16:00:00-04:00,0.01,0.02,42.86
2008-10-22 16:00:00-04:00,0.01,0.01,3.85
2009-01-29 16:00:00-05:00,0.02,0.03,30.52
2009-04-23 16:00:00-04:00,0.02,0.02,34.51
2009-07-23 16:00:00-04:00,0.02,0.02,4.1
2009-10-22 16:00:00-04:00,0.02,0.02,37.03
2010-01-28 16:00:00-05:00,0.04,0.04,19.38
2010-04-22 16:00:00-04:00,0.03,0.03,10.89
2010-07-22 16:00:00-04:00,0.03,0.02,-14.97
2010-10-21 16:00:00-04:00,0.02,0.03,5.85
2011-01-27 16:00:00-05:00,0.04,0.05,2.64
2011-04-26 16:00:00-04:00,0.03,0.02,-28.25
2011-07-26 16:00:00-04:00,0.02,0.02,21.52
2011-10-25 16:00:00-04:00,0.01,0.01,-44.22
2012-01-31 16:00:00-05:00,0.01,0.02,105.85
2012-04-26 16:00:00-04:00,,0.01,333.44
2012-07-26 16:00:00-04:00,,,-39.76
2012-10-25 16:00:00-04:00,,-0.03,-777.19
2013-01-29 16:00:00-05:00,0.01,0.01,-21.05
2013-04-25 16:00:00-04:00,,0.01,104.55
2013-07-25 16:00:00-04:00,,,-154.05
2013-10-24 16:00:00-04:00,,,-15.09
2014-01-30 16:00:00-05:00,0.03,0.03,-26.41
2014-04-24 16:00:00-04:00,0.01,0.01,-2.87
2014-07-24 16:00:00-04:00,-0.01,-0.01,-83.42
2014-10-23 16:00:00-04:00,-0.04,-0.05,-23.73
2015-01-29 16:00:00-05:00,0.01,0.02,152.53
2015-04-23 16:00:00-04:00,-0.01,-0.01,-12.15
2015-07-23 16:00:00-04:00,-0.01,0.01,240.32
2015-10-22 16:00:00-04:00,-0.01,0.01,231.17
2016-01-28 16:00:00-05:00,0.08,0.05,-37.27
2016-04-28 16:00:00-04:00,0.03,0.05,76.92
2016-07-28 16:00:00-04:00,0.05,0.09,63.72
2016-10-27 16:00:00-04:00,0.04,0.03,-35.74
2017-02-02 16:00:00-05:00,0.07,0.08,9.7
2017-04-27 16:00:00-04:00,0.06,0.07,34.3
2017-07-27 16:00:00-04:00,0.07,0.02,-71.37
2017-10-26 16:00:00-04:00,,0.03,3900.0
2018-02-01 16:00:00-05:00,0.09,0.11,16.43
2018-04-26 16:00:00-04:00,0.06,0.16,165.81
2018-07-26 16:00:00-04:00,0.13,0.25,99.34
2018-10-25 16:00:00-04:00,0.15,0.29,86.22
2019-01-31 16:00:00-05:00,0.28,0.3,9.54
2019-04-25 16:00:00-04:00,0.23,0.35,51.64
2019-07-25 16:00:00-04:00,0.28,0.26,-5.83
2019-10-24 16:00:00-04:00,0.22,0.21,-5.79
2020-01-30 16:00:00-05:00,0.2,0.32,62.82
2020-04-30 17:00:00-04:00,0.31,0.25,-19.8
2020-07-30 16:00:00-04:00,0.08,0.52,582.21
2020-10-29 16:00:00-04:00,0.38,0.62,64.25
2021-02-02 16:00:00-05:00,0.35,0.7,100.1
2021-04-29 16:00:00-04:00,0.47,0.79,67.3
2021-07-29 16:00:00-04:00,0.61,0.76,23.06
2021-10-28 16:00:00-04:00,0.44,0.31,-31.21
