ts,eps_est,eps_rep,surprise_pct
2001-10-22 07:00:00-04:00,0.53,0.6,12.5
2002-01-22 07:00:00-05:00,0.54,0.52,-4.1
2002-04-23 07:00:00-04:00,0.55,0.54,-0.92
2002-07-23 07:00:00-04:00,0.61,0.63,3.09
2002-10-24 07:00:00-04:00,0.64,0.65,1.42
2003-01-22 07:00:00-05:00,0.59,0.58,-1.36
2003-04-24 07:00:00-04:00,0.53,0.51,-3.28
2003-07-28 07:00:00-04:00,0.56,0.55,-0.9
2003-10-28 07:00:00-05:00,0.59,0.58,-1.85
2004-01-21 07:00:00-05:00,0.57,0.58,2.24
2004-04-28 07:00:00-04:00,0.61,0.62,1.36
2004-07-28 07:00:00-04:00,0.67,0.71,6.1
2004-10-27 07:00:00-04:00,0.74,0.73,-0.79
2005-01-26 07:00:00-05:00,0.68,0.72,5.26
2005-04-27 07:00:00-04:00,0.76,0.75,-1.83
2005-07-27 07:00:00-04:00,0.81,0.82,1.86
2005-10-26 07:00:00-04:00,0.77,0.79,3.13
2006-01-25 07:00:00-05:00,0.78,0.8,2.74
2006-04-26 07:00:00-04:00,0.87,0.89,2.41
2006-07-26 07:00:00-04:00,0.91,0.92,0.88
2006-10-25 07:00:00-04:00,0.92,0.94,1.95
2007-01-24 05:00:00-05:00,0.93,1.03,10.4
2007-04-25 06:00:00-04:00,1.01,1.02,1.29
2007-07-25 06:00:00-04:00,1.06,1.16,9.23
2007-10-24 06:00:00-04:00,1.15,1.17,2.09
2008-01-23 06:00:00-05:00,1.13,1.16,2.52
2008-04-23 06:00:00-04:00,1.2,1.23,2.29
2008-07-23 06:00:00-04:00,1.31,1.32,1.06
2008-10-22 06:00:00-04:00,1.25,1.26,0.66
2009-01-21 06:00:00-05:00,0.98,0.97,-0.52
2009-04-22 06:00:00-04:00,0.82,0.89,8.01
2009-07-22 06:00:00-04:00,0.98,1.05,6.71
2009-10-21 06:00:00-04:00,1.12,1.14,1.97
2010-01-22 06:00:00-05:00,1.14,1.16,2.16
2010-04-22 05:00:00-04:00,1.19,1.23,2.98
2010-07-22 06:00:00-04:00,1.27,1.28,1.12
2010-10-21 06:00:00-04:00,1.32,1.35,2.5
2011-01-21 06:00:00-05:00,1.34,1.35,0.83
2011-04-21 06:00:00-04:00,1.39,1.41,1.49
2011-07-22 06:00:00-04:00,1.45,1.46,0.45
2011-10-21 06:00:00-04:00,1.51,1.51,-0.11
2012-01-24 06:00:00-05:00,1.36,1.36,0.21
2012-04-24 06:00:00-04:00,1.35,1.39,3.28
2012-07-24 06:00:00-04:00,1.41,1.41,0.07
