ts,eps_est,eps_rep,surprise_pct
2001-10-22 14:00:00-04:00,0.3,0.22,-25.54
2002-01-28 13:00:00-05:00,0.23,0.22,-2.79
2002-04-18 13:00:00-04:00,0.43,0.46,7.48
2002-07-22 13:00:00-04:00,0.5,0.51,2.41
2002-10-28 12:00:00-05:00,0.51,0.52,2.25
2003-01-27 14:00:00-05:00,0.51,0.52,1.76
2003-04-24 13:00:00-04:00,0.52,0.53,1.92
2003-07-28 13:00:00-04:00,0.57,0.59,4.06
2003-10-27 13:00:00-05:00,0.58,0.59,1.26
2004-01-26 13:00:00-05:00,0.59,0.6,2.45
2004-04-22 13:00:00-04:00,0.62,0.66,6.45
2004-07-26 13:00:00-04:00,0.67,0.68,1.34
2004-10-25 14:00:00-04:00,0.69,0.69,-0.43
2005-01-24 13:00:00-05:00,0.7,0.71,0.85
2005-04-26 13:00:00-04:00,0.75,0.75,0.13
2005-07-25 13:00:00-04:00,0.78,0.81,3.98
2005-10-24 14:00:00-04:00,0.66,0.68,3.82
2006-01-23 13:00:00-05:00,0.59,0.6,1.69
2006-04-24 08:00:00-04:00,0.69,0.7,1.13
2006-07-24 13:00:00-04:00,0.74,0.78,5.12
2006-10-23 13:00:00-04:00,0.76,0.78,3.17
2007-01-22 13:00:00-05:00,0.77,0.75,-2.34
2007-04-19 16:00:00-04:00,0.8,0.87,9.43
2007-07-23 16:00:00-04:00,0.86,0.83,-3.09
2007-10-22 16:00:00-04:00,0.85,0.9,5.88
2008-01-28 16:00:00-05:00,0.7,0.71,1.0
2008-04-24 16:00:00-04:00,0.8,0.84,4.48
2008-07-21 16:00:00-04:00,0.83,0.56,-32.37
2008-10-20 16:00:00-04:00,0.59,0.74,24.79
2009-01-26 16:00:00-05:00,0.15,0.21,39.98
2009-04-23 16:00:00-04:00,0.16,0.32,96.32
2009-07-23 16:00:00-04:00,0.27,0.27,0.26
2009-10-22 16:00:00-04:00,0.38,0.44,16.12
2010-01-21 16:00:00-05:00,0.57,0.59,2.78
2010-04-22 15:00:00-04:00,0.64,0.73,14.19
2010-07-22 16:00:00-04:00,0.78,0.84,8.13
2010-10-21 16:00:00-04:00,0.87,0.9,3.42
2011-01-24 16:00:00-05:00,0.89,0.88,-1.12
2011-04-20 16:00:00-04:00,0.85,0.97,14.29
2011-07-20 16:00:00-04:00,0.94,1.07,13.65
2011-10-19 16:00:00-04:00,0.95,1.03,8.27
2012-01-19 16:00:00-05:00,0.99,1.01,2.35
2012-04-18 16:00:00-04:00,1.0,1.07,6.52
2012-07-18 16:00:00-04:00,1.1,1.15,4.86
2012-10-17 16:00:00-04:00,1.09,1.09,0.44
2013-01-17 16:00:00-05:00,1.08,1.09,0.47
2013-04-17 16:00:00-04:00,1.13,1.15,2.12
2013-07-17 16:00:00-04:00,1.22,1.27,3.79
2013-10-16 16:00:00-04:00,1.22,1.25,2.24
2014-01-16 16:00:00-05:00,1.25,1.25,-0.49
2014-04-16 16:00:00-04:00,1.3,1.33,2.42
2014-07-29 16:00:00-04:00,1.38,1.43,3.82
2014-10-15 16:00:00-04:00,1.36,1.4,2.86
2015-01-21 16:00:00-05:00,1.38,1.39,0.6
2015-04-16 16:00:00-04:00,1.36,1.48,8.59
2015-07-22 16:00:00-04:00,1.32,1.42,7.54
2015-10-21 16:00:00-04:00,1.31,1.24,-5.51
2016-01-21 16:00:00-05:00,1.12,1.23,9.66
2016-04-20 16:00:00-04:00,1.35,1.5,11.83
2016-07-20 16:00:00-04:00,1.89,2.1,11.08
2016-10-19 16:00:00-04:00,0.96,1.24,29.78
2017-01-19 16:00:00-05:00,0.99,0.91,-7.88
2017-04-19 16:00:00-04:00,1.26,1.34,5.94
2017-07-19 16:00:00-04:00,1.44,1.47,2.23
2017-10-18 17:00:00-04:00,1.48,1.63,10.65
2018-01-18 16:00:00-05:00,1.54,1.58,2.54
2018-04-18 16:00:00-04:00,1.71,1.86,8.74
2018-07-18 16:00:00-04:00,1.82,1.84,1.32
2018-10-18 16:00:00-04:00,1.77,1.88,6.5
2019-01-17 16:00:00-05:00,1.8,2.32,29.14
2019-04-18 07:00:00-04:00,1.97,2.01,1.97
2019-07-19 07:00:00-04:00,2.03,2.07,1.93
2019-10-18 07:00:00-04:00,2.02,2.08,2.74
2020-01-24 07:00:00-05:00,2.01,2.03,0.91
2020-04-24 15:00:00-04:00,1.67,0.41,-75.48
2020-07-24 07:00:00-04:00,-0.06,0.29,572.54
2020-10-23 07:00:00-04:00,1.35,1.3,-3.84
2021-01-26 07:00:00-05:00,1.3,1.76,35.17
2021-04-23 07:00:00-04:00,1.61,2.74,69.77
2021-07-23 07:00:00-04:00,1.63,2.8,72.14
2021-10-22 07:00:00-04:00,1.75,2.27,29.38
2022-01-25 07:00:00-05:00,1.84,2.18,18.71
2022-04-22 07:00:00-04:00,2.47,2.73,10.73
2022-07-22 07:00:00-04:00,2.41,2.57,6.64
2022-10-21 13:00:00-04:00,2.41,2.47,2.29
2023-01-27 07:00:00-05:00,2.24,2.07,-7.45
2023-04-20 07:00:00-04:00,2.67,2.4,-10.02
2023-07-21 07:00:00-04:00,2.82,2.89,2.64
2023-10-20 07:00:00-04:00,2.95,3.3,11.87
2024-01-26 07:00:00-05:00,2.65,2.62,-1.01
2024-04-19 10:00:00-04:00,2.98,3.33,11.68
2024-07-19 07:00:00-04:00,3.26,4.15,27.11
2024-10-18 07:00:00-04:00,3.28,3.49,6.49
2025-01-24 07:00:00-05:00,3.03,3.04,0.17
2025-04-17 07:00:00-04:00,3.47,3.64,4.8
2025-07-18 07:00:00-04:00,3.88,4.08,5.09
2025-10-17 07:00:00-04:00,3.98,4.14,4.02
