ts,eps_est,eps_rep,surprise_pct
2002-01-22 07:00:00-05:00,0.62,0.64,2.51
2002-04-15 07:00:00-04:00,0.56,0.57,2.29
2002-04-15 07:00:00-04:00,0.67,0.69,2.83
2002-07-15 07:00:00-04:00,0.7,0.7,0.43
2002-10-15 07:00:00-04:00,0.71,0.73,2.55
2003-01-15 17:00:00-05:00,0.83,0.85,1.93
2003-04-14 07:00:00-04:00,0.74,0.8,7.43
2003-07-14 06:00:00-04:00,0.78,0.9,14.8
2003-10-14 06:00:00-04:00,0.85,0.96,13.61
2004-01-15 06:00:00-05:00,0.89,0.92,3.27
2004-04-14 07:00:00-04:00,0.9,0.92,2.01
2004-07-14 07:00:00-04:00,0.87,0.95,9.2
2004-10-14 06:00:00-04:00,0.91,0.95,4.4
2005-01-18 06:00:00-05:00,0.94,0.98,3.81
2005-04-18 06:00:00-04:00,0.97,1.16,19.16
2005-07-18 06:00:00-04:00,1.01,1.08,7.04
2005-10-19 06:00:00-04:00,1.06,1.04,-2.27
2006-01-23 06:00:00-05:00,1.02,0.94,-8.1
2006-04-20 06:00:00-04:00,1.0,1.08,7.78
2006-07-19 07:00:00-04:00,1.1,1.22,11.37
2006-10-19 06:00:00-04:00,1.16,1.22,5.45
2007-01-23 06:00:00-05:00,1.18,1.19,0.85
2007-04-19 07:00:00-04:00,1.15,1.17,1.65
2007-07-19 07:00:00-04:00,1.2,1.3,8.42
2007-10-18 07:00:00-04:00,1.04,0.82,-20.82
2008-01-22 07:00:00-05:00,0.19,-0.15,-180.86
2008-04-21 07:00:00-04:00,0.45,0.26,-42.72
2008-07-21 07:00:00-04:00,0.51,0.72,42.1
2008-10-06 16:00:00-04:00,0.61,0.15,-75.43
2009-01-16 06:00:00-05:00,0.05,-0.48,-1110.53
2009-04-20 07:00:00-04:00,0.07,0.17,158.4
2009-07-17 07:00:00-04:00,0.31,0.33,5.69
2009-10-16 07:00:00-04:00,-0.02,-0.05,-159.2
2010-04-16 06:00:00-04:00,0.11,0.28,165.93
2010-04-19 03:00:00-04:00,-0.52,-0.6,-16.02
2010-07-16 07:00:00-04:00,0.23,0.27,19.68
2010-10-19 06:00:00-04:00,0.17,0.27,55.56
2011-01-21 07:00:00-05:00,0.16,0.04,-75.65
2011-04-15 07:00:00-04:00,0.27,0.17,-37.6
2011-07-19 07:00:00-04:00,0.3,0.33,10.79
2011-10-18 07:00:00-04:00,0.2,0.27,39.02
2012-01-19 07:00:00-05:00,0.16,0.15,-6.25
2012-04-19 07:00:00-04:00,0.12,0.31,168.51
2012-07-18 07:00:00-04:00,0.13,0.15,14.65
2012-10-17 07:00:00-04:00,-0.08,,100.0
2013-01-17 07:00:00-05:00,0.2,0.21,5.37
2013-04-17 07:00:00-04:00,0.22,0.2,-10.67
2013-07-17 07:00:00-04:00,0.26,0.32,24.24
2013-10-16 07:00:00-04:00,0.19,0.2,7.54
2014-01-15 07:00:00-05:00,0.26,0.29,10.02
2014-04-16 07:00:00-04:00,0.05,-0.05,-191.39
2014-07-16 07:00:00-04:00,0.1,0.19,87.65
2014-10-15 07:00:00-04:00,-0.09,-0.05,45.02
2015-01-15 07:00:00-05:00,0.31,0.25,-19.48
2015-04-15 07:00:00-04:00,0.29,0.27,-7.15
2015-07-15 07:00:00-04:00,0.36,0.45,26.63
2015-10-14 07:00:00-04:00,0.33,0.37,11.36
2016-01-19 06:00:00-05:00,0.27,0.28,3.72
2016-04-14 06:00:00-04:00,0.21,0.21,-1.33
2016-07-18 06:00:00-04:00,0.33,0.36,9.33
2016-10-17 02:00:00-04:00,0.34,0.41,22.16
2017-01-13 06:00:00-05:00,0.38,0.4,6.1
2017-04-18 06:00:00-04:00,0.35,0.41,17.91
2017-07-18 06:00:00-04:00,0.44,0.46,5.49
2017-10-13 06:00:00-04:00,0.46,0.48,5.47
2018-01-17 06:00:00-05:00,0.14,0.2,38.34
2018-04-16 06:00:00-04:00,0.59,0.62,5.21
2018-07-16 06:00:00-04:00,0.58,0.63,9.25
2018-10-15 07:00:00-04:00,0.62,0.66,6.65
2019-01-16 06:00:00-05:00,0.63,0.7,11.01
2019-04-16 06:00:00-04:00,0.66,0.7,5.74
2019-07-17 06:00:00-04:00,0.71,0.74,4.81
2019-10-16 06:00:00-04:00,0.51,0.56,10.51
2020-01-15 06:00:00-05:00,0.69,0.74,7.06
2020-04-15 07:00:00-04:00,0.6,0.4,-33.43
2020-07-16 06:00:00-04:00,0.29,0.37,28.62
2020-10-14 06:00:00-04:00,0.5,0.51,2.39
2021-01-19 06:00:00-05:00,0.54,0.59,9.38
2021-04-15 12:00:00-04:00,0.65,0.86,32.86
2021-07-14 06:00:00-04:00,0.76,1.03,35.48
2021-10-14 06:00:00-04:00,0.7,0.85,21.6
2022-01-19 06:00:00-05:00,0.76,0.82,8.57
2022-04-18 06:00:00-04:00,0.74,0.8,7.49
2022-07-18 06:00:00-04:00,0.75,0.73,-2.06
2022-10-17 06:00:00-04:00,0.77,0.81,4.92
2023-01-13 06:00:00-05:00,0.77,0.85,10.57
2023-04-18 06:00:00-04:00,0.83,0.94,13.93
2023-07-18 06:00:00-04:00,0.83,0.88,5.62
2023-10-17 06:00:00-04:00,0.82,0.9,10.05
2024-01-12 06:00:00-05:00,0.64,0.35,-45.64
2024-04-16 06:00:00-04:00,0.77,0.76,-1.84
2024-07-16 06:00:00-04:00,0.8,0.83,3.58
2024-10-15 06:00:00-04:00,0.76,0.81,6.34
2025-01-16 06:00:00-05:00,0.77,0.82,6.84
2025-04-15 06:00:00-04:00,0.81,0.9,10.74
2025-07-16 06:00:00-04:00,0.86,0.89,3.61
2025-10-15 06:00:00-04:00,0.95,1.06,11.43
2026-01-14 06:00:00-05:00,0.96,0.98,2.23
2026-04-15 06:00:00-04:00,1.02,1.11,8.78
2026-07-14 08:00:00-04:00,1.11,,
