ts,eps_est,eps_rep,surprise_pct
2001-11-07 18:00:00-05:00,0.5,0.49,-2.0
2002-01-23 17:00:00-05:00,0.35,0.37,7.25
2002-04-24 19:00:00-04:00,0.5,0.5,0.2
2002-07-24 18:00:00-04:00,0.48,0.48,-0.21
2002-11-06 16:00:00-05:00,0.53,0.53,
2003-01-23 06:00:00-05:00,0.39,0.43,10.26
2003-04-25 06:00:00-04:00,0.53,0.54,1.31
2003-07-24 06:00:00-04:00,0.54,0.57,5.36
2003-11-06 06:00:00-05:00,0.6,0.61,0.99
2004-01-29 07:00:00-05:00,0.47,0.48,1.91
2004-04-22 05:00:00-04:00,0.61,0.62,1.97
2004-07-22 08:00:00-04:00,0.64,0.65,2.25
2004-11-04 07:00:00-05:00,0.68,0.7,3.7
2005-01-26 07:00:00-05:00,0.61,0.71,16.39
2005-04-27 05:00:00-04:00,0.69,0.71,3.65
2005-07-22 05:00:00-04:00,0.68,0.74,8.5
2005-11-03 05:00:00-05:00,0.7,0.76,8.88
2006-01-26 05:00:00-05:00,0.76,0.83,9.07
2006-04-26 07:00:00-04:00,0.77,0.79,2.33
2006-07-28 05:00:00-04:00,0.79,0.81,3.05
2006-11-02 05:00:00-05:00,0.84,0.85,1.31
2007-01-25 06:00:00-05:00,0.92,0.96,4.76
2007-04-25 05:00:00-04:00,0.91,0.92,0.7
2007-07-26 05:00:00-04:00,0.93,0.98,5.38
2007-11-01 05:00:00-04:00,0.97,0.98,0.93
2008-01-24 05:00:00-05:00,1.03,1.07,4.19
2008-04-23 05:00:00-04:00,1.04,1.09,5.08
2008-07-24 07:00:00-04:00,1.1,1.18,7.55
2008-11-05 06:00:00-05:00,1.12,1.13,1.29
2009-01-28 06:00:00-05:00,1.15,1.26,9.57
2009-04-28 06:00:00-04:00,1.17,1.18,0.61
2009-07-30 06:00:00-04:00,1.24,1.3,5.22
2009-11-04 05:00:00-05:00,1.25,1.25,0.24
2010-01-28 06:00:00-05:00,1.2,1.3,7.97
2010-04-29 06:00:00-04:00,1.23,1.27,2.93
2010-07-29 05:00:00-04:00,1.25,1.29,3.16
2010-11-03 17:00:00-04:00,1.25,1.24,-0.45
2011-02-07 16:00:00-05:00,1.28,1.35,5.21
2011-04-26 16:00:00-04:00,1.3,1.38,6.25
2011-08-02 06:00:00-04:00,1.43,1.51,5.69
2011-11-02 06:00:00-04:00,1.42,1.39,-1.82
2012-02-07 06:00:00-05:00,1.17,1.21,3.74
2012-05-01 06:00:00-04:00,1.38,1.38,0.11
2012-08-02 06:00:00-04:00,1.53,1.52,-0.46
2012-11-07 06:00:00-05:00,1.4,1.42,1.42
2013-02-05 06:00:00-05:00,1.24,1.35,9.2
2013-05-02 06:00:00-04:00,1.35,1.39,2.84
2013-08-01 06:00:00-04:00,1.48,1.54,4.07
2013-11-05 06:00:00-05:00,1.46,1.54,5.33
2014-02-04 06:00:00-05:00,1.3,1.37,5.3
2014-05-01 06:00:00-04:00,1.51,1.53,1.4
2014-07-31 06:00:00-04:00,1.67,1.68,0.58
2014-11-04 06:00:00-05:00,1.66,1.68,1.51
2015-02-05 06:00:00-05:00,1.44,1.53,6.38
2015-05-07 06:00:00-04:00,1.53,1.61,5.07
2015-08-06 06:00:00-04:00,2.01,2.05,2.24
2015-11-04 06:00:00-05:00,1.9,1.94,2.14
2016-02-03 06:00:00-05:00,1.84,1.96,6.32
2016-05-05 06:00:00-04:00,2.01,2.18,8.19
2016-08-04 06:00:00-04:00,2.2,2.35,6.94
2016-11-03 06:00:00-04:00,2.07,2.12,2.33
2017-02-02 06:00:00-05:00,2.11,2.33,10.33
2017-05-02 06:00:00-04:00,2.23,2.3,2.93
2017-08-03 06:00:00-04:00,2.44,2.46,0.81
2017-11-02 06:00:00-04:00,2.37,2.4,1.13
2018-02-06 06:00:00-05:00,2.41,2.48,2.95
2018-05-03 06:00:00-04:00,2.63,2.65,0.87
2018-08-02 06:00:00-04:00,2.86,2.91,1.7
2018-11-06 06:00:00-05:00,2.93,2.93,0.01
2019-02-05 06:00:00-05:00,2.62,2.7,3.15
2019-05-09 06:00:00-04:00,2.59,2.59,-0.17
2019-08-06 06:00:00-04:00,3.06,3.08,0.78
2019-11-05 06:00:00-05:00,3.31,3.31,0.08
2020-02-06 06:00:00-05:00,2.64,2.65,0.25
2020-05-07 07:00:00-04:00,2.29,2.55,11.36
2020-08-06 06:00:00-04:00,2.07,2.2,6.26
2020-11-05 06:00:00-05:00,2.54,2.79,10.01
2021-02-04 06:00:00-05:00,3.16,4.55,43.84
2021-05-06 06:00:00-04:00,3.04,3.19,5.08
2021-08-05 06:00:00-04:00,2.44,2.74,12.16
2021-11-04 06:00:00-04:00,2.45,2.59,5.53
2022-02-03 06:00:00-05:00,2.85,3.64,27.52
2022-05-05 06:00:00-04:00,2.95,3.18,7.88
2022-08-04 06:00:00-04:00,2.5,2.66,6.45
2022-11-10 06:00:00-05:00,2.74,2.75,0.44
2023-02-02 06:00:00-05:00,2.68,2.98,11.03
2023-05-04 06:00:00-04:00,2.75,2.86,4.03
2023-08-03 06:00:00-04:00,2.91,2.96,1.58
2023-11-09 06:00:00-05:00,3.43,3.42,-0.15
2024-02-01 06:00:00-05:00,2.4,2.68,11.64
2024-05-02 06:00:00-04:00,2.97,3.17,6.77
2024-08-01 06:00:00-04:00,3.31,3.5,5.8
2024-11-07 06:00:00-05:00,3.77,3.81,1.12
2025-02-05 16:00:00-05:00,2.99,3.43,14.74
2025-05-01 06:00:00-04:00,3.28,3.35,2.12
2025-08-07 06:00:00-04:00,3.4,3.68,8.16
2025-11-06 06:00:00-05:00,3.91,3.96,1.15
2026-02-09 06:00:00-05:00,2.8,2.91,3.88
2026-05-07 06:00:00-04:00,2.77,2.9,4.51
2026-08-06 08:00:00-04:00,3.13,,
