ts,eps_est,eps_rep,surprise_pct
2001-10-18 10:00:00-04:00,0.37,0.35,-5.44
2002-01-17 09:00:00-05:00,0.5,0.49,-3.31
2002-04-17 09:00:00-04:00,0.54,0.53,-1.64
2002-07-17 07:00:00-04:00,0.54,0.53,-1.67
2002-10-16 07:00:00-04:00,0.12,0.12,0.34
2003-01-22 07:00:00-05:00,0.16,0.15,-5.06
2003-04-16 07:00:00-04:00,0.44,0.44,-1.11
2003-07-17 07:00:00-04:00,0.43,0.44,0.3
2003-10-22 07:00:00-04:00,0.45,0.45,
2004-01-21 07:00:00-05:00,0.47,0.47,
2004-04-21 07:00:00-04:00,0.48,0.5,3.97
2004-07-21 06:00:00-04:00,0.5,0.51,2.0
2004-10-20 07:00:00-04:00,0.49,0.49,-1.21
2005-01-19 07:00:00-05:00,0.51,0.51,-0.78
2005-04-20 06:00:00-04:00,0.52,0.52,0.39
2005-07-20 06:00:00-04:00,0.53,0.55,4.08
2005-10-20 06:00:00-04:00,0.53,0.54,1.31
2006-01-18 07:00:00-05:00,0.56,0.56,0.16
2006-04-20 06:00:00-04:00,0.57,0.58,1.78
2006-07-19 06:00:00-04:00,0.59,0.63,5.15
2006-10-19 06:00:00-04:00,0.58,0.59,2.59
2007-01-18 06:00:00-05:00,0.58,0.62,5.67
2007-04-18 06:00:00-04:00,0.6,0.63,3.48
2007-07-19 06:00:00-04:00,0.62,0.63,1.13
2007-10-18 06:00:00-04:00,0.62,0.66,7.32
2008-01-17 06:00:00-05:00,0.7,0.77,10.79
2008-04-17 06:00:00-04:00,0.73,0.78,7.09
2008-07-17 07:00:00-04:00,0.76,0.74,-1.99
2008-10-16 06:00:00-04:00,0.63,0.72,14.08
2009-01-20 16:00:00-05:00,0.7,0.93,33.43
2009-04-21 06:00:00-04:00,0.62,0.53,-15.08
2009-07-22 06:00:00-04:00,0.53,0.51,-3.95
2009-10-20 06:00:00-04:00,0.45,0.54,20.6
2010-01-20 06:00:00-05:00,0.52,0.55,6.2
2010-04-20 05:00:00-04:00,0.53,0.59,12.14
2010-07-20 06:00:00-04:00,0.55,0.55,-0.82
2010-10-19 06:00:00-04:00,0.54,0.55,1.02
2011-01-20 01:00:00-05:00,0.57,0.59,2.78
2011-04-19 06:00:00-04:00,0.57,0.54,-5.47
2011-07-19 06:00:00-04:00,0.56,0.61,9.62
2011-10-19 07:00:00-04:00,0.53,0.6,14.68
2012-01-18 06:00:00-05:00,0.54,0.49,-9.04
2012-04-18 06:00:00-04:00,0.52,0.52,1.25
2012-07-18 06:00:00-04:00,0.53,0.57,7.73
2012-10-17 06:00:00-04:00,0.54,0.63,16.25
2013-01-16 06:00:00-05:00,0.54,0.56,3.88
2013-04-17 06:00:00-04:00,0.52,0.53,2.28
2013-07-17 06:00:00-04:00,0.57,0.63,11.23
2013-10-16 06:00:00-04:00,0.58,0.62,6.95
2014-01-17 06:00:00-05:00,0.54,0.55,2.2
2014-04-22 06:00:00-04:00,0.53,0.57,6.68
2014-07-18 06:00:00-04:00,0.56,0.56,0.28
2014-10-17 06:00:00-04:00,0.61,0.64,4.55
2015-01-23 06:00:00-05:00,0.6,0.58,-2.66
2015-04-22 06:00:00-04:00,0.6,0.67,12.15
2015-07-21 06:00:00-04:00,0.66,0.77,16.68
2015-10-20 06:00:00-04:00,0.71,0.74,4.65
2016-01-21 06:00:00-05:00,0.64,0.68,6.29
2016-04-21 06:00:00-04:00,0.68,0.74,9.49
