ts,eps_est,eps_rep,surprise_pct
2001-10-23 08:00:00-04:00,0.63,0.63,0.48
2002-01-24 08:00:00-05:00,0.59,0.59,
2002-04-25 09:00:00-04:00,0.43,0.45,4.17
2002-07-23 09:00:00-04:00,0.27,0.23,-13.53
2002-10-24 09:00:00-04:00,0.27,0.26,-1.89
2003-03-10 08:00:00-05:00,0.27,0.23,-15.13
2003-04-29 08:00:00-04:00,0.38,0.39,2.36
2003-07-24 08:00:00-04:00,0.38,0.44,15.18
2003-10-23 08:00:00-04:00,0.41,0.47,15.2
2004-01-29 08:00:00-05:00,0.4,0.37,-6.33
2004-04-28 07:00:00-04:00,0.39,0.41,4.83
2004-07-29 07:00:00-04:00,0.39,0.46,18.77
2004-10-29 07:00:00-04:00,0.39,0.44,13.41
2005-01-27 07:00:00-05:00,0.33,0.39,16.79
2005-04-28 07:00:00-04:00,0.34,0.41,21.0
2005-07-28 06:00:00-04:00,0.36,0.47,31.72
2005-10-28 07:00:00-04:00,0.33,0.31,-6.82
2006-01-25 06:00:00-05:00,0.28,0.31,11.27
2006-04-27 07:00:00-04:00,0.32,0.32,-0.2
2006-07-27 08:00:00-04:00,0.32,0.35,10.32
2006-10-26 07:00:00-04:00,0.2,0.22,11.42
2007-01-25 07:00:00-05:00,0.16,0.19,18.15
2007-04-26 07:00:00-04:00,0.23,0.38,64.8
2007-07-26 07:00:00-04:00,0.36,0.37,2.78
2007-10-25 07:00:00-04:00,0.36,0.38,4.53
2008-01-31 07:00:00-05:00,0.34,0.35,2.94
2008-04-24 07:00:00-04:00,0.41,0.42,2.61
2008-07-24 07:00:00-04:00,0.4,0.43,7.28
2008-10-23 07:00:00-04:00,0.42,0.46,9.61
2009-01-27 07:00:00-05:00,0.41,0.46,13.07
2009-04-28 07:00:00-04:00,0.47,0.48,1.21
2009-07-23 07:00:00-04:00,0.47,0.56,18.59
2009-10-22 07:00:00-04:00,0.51,0.52,1.51
2010-01-28 07:00:00-05:00,0.42,0.47,11.68
2010-04-29 07:00:00-04:00,0.51,0.56,8.79
2010-07-22 07:00:00-04:00,0.53,0.54,1.17
2010-10-26 07:00:00-04:00,0.53,0.59,11.15
2011-01-27 07:00:00-05:00,0.47,0.47,-0.91
2011-04-28 07:00:00-04:00,0.53,0.58,9.17
2011-07-28 07:00:00-04:00,0.55,0.56,2.66
2011-10-27 07:00:00-04:00,0.58,0.61,4.37
2012-01-26 07:00:00-05:00,0.55,0.53,-4.31
2012-04-26 07:00:00-04:00,0.64,0.64,0.09
2012-07-25 07:00:00-04:00,0.48,0.48,-0.9
2012-10-24 07:00:00-04:00,0.42,0.41,-1.76
2013-01-24 07:00:00-05:00,0.43,0.47,10.07
