ts,eps_est,eps_rep,surprise_pct
2001-10-17 06:00:00-04:00,6.38,6.3,-1.25
2002-01-17 06:00:00-05:00,7.24,7.4,2.21
2002-04-15 06:00:00-04:00,7.75,7.4,-4.52
2002-07-17 06:00:00-04:00,7.73,7.8,0.93
2002-10-15 06:00:00-04:00,7.34,7.4,0.82
2003-01-21 06:00:00-05:00,4.56,4.7,3.07
2003-04-14 06:00:00-04:00,7.74,7.9,2.07
2003-07-14 06:00:00-04:00,8.0,8.3,3.8
2003-10-20 06:00:00-04:00,8.45,9.0,6.51
2004-01-20 06:00:00-05:00,8.96,9.1,1.61
2004-04-15 06:00:00-04:00,9.46,9.8,3.59
2004-07-15 06:00:00-04:00,9.72,10.2,4.94
2004-10-14 06:00:00-04:00,9.9,9.8,-1.01
2005-01-20 06:00:00-05:00,10.12,10.2,0.79
2005-04-15 06:00:00-04:00,10.16,10.3,1.39
2005-07-18 06:00:00-04:00,10.07,9.7,-3.67
2005-10-17 06:00:00-04:00,9.84,10.2,3.68
2006-01-19 20:00:00-05:00,10.02,9.8,-2.18
2006-04-17 06:00:00-04:00,10.22,10.8,5.72
2006-07-17 06:00:00-04:00,10.56,10.5,-0.58
2006-10-19 06:00:00-04:00,10.34,10.1,-2.29
2007-01-19 07:00:00-05:00,10.18,10.3,1.15
2007-04-16 07:00:00-04:00,10.96,11.8,7.66
2007-07-20 07:00:00-04:00,11.32,11.8,4.24
2007-10-15 06:00:00-04:00,4.69,4.7,0.24
2008-01-15 06:00:00-05:00,-10.06,-19.9,-97.88
2008-04-18 06:00:00-04:00,-9.57,-10.2,-6.63
2008-07-18 06:00:00-04:00,-6.66,-4.9,26.42
2008-10-16 07:00:00-04:00,-6.99,-7.1,-1.53
2009-01-16 06:00:00-05:00,-12.49,-24.4,-95.32
2009-04-17 06:00:00-04:00,-2.97,-1.2,59.55
2009-07-17 08:00:00-04:00,-3.05,-6.2,-103.28
2009-10-15 08:00:00-04:00,-3.32,-2.7,18.67
2010-01-19 08:00:00-05:00,-3.27,-3.3,-0.87
2010-04-19 07:00:00-04:00,-0.07,1.5,2242.86
2010-07-16 19:00:00-04:00,0.46,0.9,93.9
2010-10-18 08:00:00-04:00,0.55,0.8,46.2
2011-01-18 08:00:00-05:00,0.77,0.4,-47.87
2011-04-18 08:00:00-04:00,0.95,1.0,5.56
2011-07-15 08:00:00-04:00,0.96,1.09,13.73
2011-10-17 07:00:00-04:00,0.79,1.23,55.2
2012-01-17 07:00:00-05:00,0.59,0.38,-35.9
2012-04-16 07:00:00-04:00,1.0,1.11,11.04
2012-07-16 07:00:00-04:00,0.89,1.0,11.98
2012-10-15 07:00:00-04:00,0.99,1.06,7.36
2013-01-17 07:00:00-05:00,0.97,0.69,-28.66
2013-04-15 07:00:00-04:00,1.17,1.29,10.6
2013-07-15 07:00:00-04:00,1.18,1.25,5.94
2013-10-15 07:00:00-04:00,1.09,1.02,-6.04
2014-01-16 07:00:00-05:00,0.98,0.82,-16.54
2014-04-14 07:00:00-04:00,1.16,1.3,12.05
2014-07-14 07:00:00-04:00,1.08,1.24,14.64
2014-10-14 07:00:00-04:00,1.13,1.15,1.61
2015-01-15 07:00:00-05:00,1.07,1.16,8.13
2015-04-16 07:00:00-04:00,1.41,1.52,8.11
2015-07-16 07:00:00-04:00,1.35,1.45,7.57
2015-10-15 07:00:00-04:00,1.28,1.31,2.18
2016-01-15 07:00:00-05:00,1.07,1.06,-0.56
2016-04-15 07:00:00-04:00,1.05,1.1,4.96
2016-07-15 07:00:00-04:00,1.1,1.24,12.27
2016-10-14 07:00:00-04:00,1.16,1.24,6.52
2017-01-18 07:00:00-05:00,1.12,1.14,1.6
2017-04-13 09:00:00-04:00,1.24,1.26,1.81
2017-07-14 07:00:00-04:00,1.21,1.28,5.95
2017-10-12 07:00:00-04:00,1.3,1.29,-0.71
2018-01-16 08:00:00-05:00,1.19,1.2,0.78
2018-04-13 08:00:00-04:00,1.6,1.68,4.81
2018-07-13 07:00:00-04:00,1.56,1.63,4.81
2018-10-12 07:00:00-04:00,1.66,1.73,4.21
2019-01-14 07:00:00-05:00,1.55,1.61,4.11
2019-04-15 08:00:00-04:00,1.79,1.87,4.23
2019-07-15 08:00:00-04:00,1.81,1.83,1.33
2019-10-15 08:00:00-04:00,1.95,1.97,1.02
2020-01-14 07:00:00-05:00,1.8,1.9,5.74
2020-04-15 08:00:00-04:00,1.57,1.06,-32.47
2020-07-14 09:00:00-04:00,0.32,0.51,58.07
2020-10-13 08:00:00-04:00,0.87,1.4,60.38
2021-01-15 07:00:00-05:00,1.31,2.07,58.04
2021-04-15 08:00:00-04:00,2.53,3.62,43.03
2021-07-14 08:00:00-04:00,1.89,2.84,50.2
2021-10-14 09:00:00-04:00,1.79,2.15,20.43
2022-01-14 08:00:00-05:00,1.63,1.46,-10.3
2022-04-14 08:00:00-04:00,1.41,2.02,43.5
2022-07-15 08:00:00-04:00,1.67,2.3,37.48
2022-10-14 08:00:00-04:00,1.43,1.63,14.28
2023-01-13 08:00:00-05:00,1.21,1.16,-3.9
2023-04-14 09:00:00-04:00,1.7,1.86,9.3
2023-07-14 09:00:00-04:00,1.38,1.37,-0.91
2023-10-12 20:00:00-04:00,1.22,1.52,24.2
2024-01-12 10:00:00-05:00,0.69,0.84,21.41
2024-04-12 10:00:00-04:00,1.27,1.79,41.0
2024-07-12 08:00:00-04:00,1.39,1.56,11.58
2024-10-15 08:00:00-04:00,1.32,1.52,15.76
