ts,eps_est,eps_rep,surprise_pct
2001-10-16 08:00:00-04:00,0.31,0.3,-4.69
2002-01-23 08:00:00-05:00,0.38,0.38,-1.14
2002-04-16 08:00:00-04:00,0.12,0.12,-4.4
2002-07-16 08:00:00-04:00,0.36,0.29,-19.31
2002-10-16 08:00:00-04:00,0.28,0.31,9.71
2003-01-23 08:00:00-05:00,0.34,0.44,29.86
2003-04-16 08:00:00-04:00,0.13,0.19,44.53
2003-07-17 08:00:00-04:00,0.33,0.57,75.3
2003-10-16 08:00:00-04:00,0.37,0.37,-1.62
2004-01-27 08:00:00-05:00,0.47,0.49,2.86
2004-04-22 08:00:00-04:00,0.35,0.58,65.14
2004-07-22 08:00:00-04:00,0.86,0.78,-9.36
2004-10-21 08:00:00-04:00,0.68,0.71,4.14
2005-01-27 08:00:00-05:00,0.81,0.78,-4.79
2005-04-20 08:00:00-04:00,0.68,0.82,19.83
2005-07-21 07:00:00-04:00,1.33,1.08,-18.76
2005-10-21 07:00:00-04:00,1.06,0.94,-11.32
2006-01-26 07:00:00-05:00,1.1,1.2,9.01
2006-04-24 07:00:00-04:00,1.06,1.2,13.74
2006-07-21 07:00:00-04:00,1.42,1.52,7.03
2006-10-20 07:00:00-04:00,1.35,1.14,-15.35
2007-01-26 07:00:00-05:00,1.34,1.32,-1.25
2007-04-20 07:00:00-04:00,1.08,1.23,13.99
2007-07-20 07:00:00-04:00,1.49,1.24,-16.78
2007-10-19 07:00:00-04:00,1.42,1.4,-1.69
2008-01-25 07:00:00-05:00,1.5,1.5,0.07
2008-04-18 07:00:00-04:00,1.33,1.45,9.19
2008-07-22 07:00:00-04:00,1.54,1.74,12.91
2008-10-21 07:00:00-04:00,1.41,1.39,-1.35
2009-01-26 07:00:00-05:00,1.28,1.08,-15.89
2009-04-21 07:00:00-04:00,0.02,0.39,1850.0
2009-07-21 07:00:00-04:00,0.22,0.72,233.33
2009-10-20 07:00:00-04:00,0.04,0.64,1491.64
2010-01-27 07:00:00-05:00,0.29,0.41,42.29
2010-04-26 08:00:00-04:00,0.39,0.5,27.67
2010-07-22 07:00:00-04:00,0.84,1.09,29.62
2010-10-21 07:00:00-04:00,1.09,1.22,12.34
2011-01-27 07:00:00-05:00,1.27,1.47,15.55
2011-04-29 07:00:00-04:00,1.28,1.84,43.34
2011-07-22 07:00:00-04:00,1.74,1.72,-1.05
2011-10-24 07:00:00-04:00,1.68,1.71,2.0
2012-01-26 07:00:00-05:00,1.77,2.25,26.87
2012-04-25 07:00:00-04:00,2.15,2.37,10.44
2012-07-25 07:00:00-04:00,2.3,2.54,10.54
