ts,eps_est,eps_rep,surprise_pct
2002-05-08 17:00:00-04:00,-0.36,-0.41,-13.89
2002-05-08 17:00:00-04:00,-0.43,-0.41,4.87
2002-08-08 17:00:00-04:00,-0.42,-0.49,-16.87
2002-08-08 17:00:00-04:00,-0.37,-0.41,-11.82
2002-11-14 16:00:00-05:00,-0.37,-0.38,-2.45
2003-02-26 16:00:00-05:00,-0.37,-0.31,16.22
2003-05-05 18:00:00-04:00,-0.35,-0.37,-4.23
2003-07-31 16:00:00-04:00,-0.31,-0.35,-11.11
2003-10-28 16:00:00-05:00,-0.31,-0.5,-58.73
2004-02-18 16:00:00-05:00,-0.29,-0.47,-61.37
2004-05-05 16:00:00-04:00,-0.2,-0.18,9.55
2004-07-28 16:00:00-04:00,-0.17,-0.22,-32.0
2004-10-26 16:00:00-04:00,-0.14,-0.3,-119.51
2005-03-29 16:00:00-05:00,-0.16,-0.21,-31.25
2005-04-28 18:00:00-04:00,-0.2,-0.21,-2.94
2005-08-02 16:00:00-04:00,-0.33,-0.18,45.04
2005-10-26 16:00:00-04:00,-0.13,-0.17,-32.81
2006-02-28 16:00:00-05:00,-0.1,-0.17,-70.0
2006-04-26 16:00:00-04:00,-0.08,-0.07,19.19
2006-08-03 16:00:00-04:00,-0.07,-0.09,-34.05
2006-10-25 16:00:00-04:00,-0.1,-0.1,
2007-02-08 16:00:00-05:00,-0.07,-0.03,58.14
2007-05-02 16:00:00-04:00,-0.18,-0.14,21.64
2007-07-31 16:00:00-04:00,-0.23,-0.1,55.97
2007-10-30 16:00:00-04:00,-0.2,-0.21,-5.48
2008-02-06 16:00:00-05:00,-0.1,-0.08,21.05
2008-04-23 16:00:00-04:00,-0.08,-0.07,17.37
2008-07-24 16:00:00-04:00,-0.06,-0.05,21.57
2008-11-05 16:00:00-05:00,-0.05,-0.05,-3.07
2009-02-24 16:00:00-05:00,-0.04,-0.02,48.33
2009-04-29 16:00:00-04:00,-0.06,-0.02,64.21
2009-07-29 16:00:00-04:00,-0.36,-0.41,-15.46
2009-11-03 16:00:00-05:00,-0.03,-0.13,-387.8
2010-01-27 16:00:00-05:00,-0.01,0.04,500.0
2010-04-28 16:00:00-04:00,-0.16,-0.22,-37.3
2010-07-28 16:00:00-04:00,0.02,0.05,167.24
2010-10-27 16:00:00-04:00,0.06,0.15,146.59
2011-01-26 16:00:00-05:00,0.1,0.12,21.35
2011-04-27 16:00:00-04:00,0.1,0.14,38.0
2011-07-27 16:00:00-04:00,0.12,0.11,-5.22
2011-10-25 16:00:00-04:00,0.13,0.17,25.96
2012-01-25 16:00:00-05:00,0.17,0.19,9.77
2012-04-25 16:00:00-04:00,0.18,0.2,10.75
2012-07-25 16:00:00-04:00,0.31,0.46,50.28
2012-10-24 16:00:00-04:00,0.18,0.15,-12.74
2013-01-23 16:00:00-05:00,0.14,0.38,165.73
2013-04-24 16:00:00-04:00,0.07,0.05,-28.58
2013-07-24 16:00:00-04:00,0.17,0.18,3.85
2013-10-21 05:00:00-04:00,0.19,0.16,-15.15
2014-01-22 16:00:00-05:00,0.17,-0.11,-164.29
2014-04-23 16:00:00-04:00,0.29,0.27,-5.63
2014-07-23 16:00:00-04:00,0.11,0.07,-38.95
2014-10-30 16:00:00-04:00,0.27,0.29,8.52
2015-01-21 16:00:00-05:00,0.31,0.41,31.33
2015-04-22 16:00:00-04:00,0.35,0.34,-4.16
2015-07-22 16:00:00-04:00,0.3,0.28,-4.17
2015-10-21 16:00:00-04:00,0.28,0.28,-1.85
2016-01-27 16:00:00-05:00,0.31,0.39,26.06
2016-04-21 16:00:00-04:00,0.24,0.11,-53.68
2016-07-21 16:00:00-04:00,0.26,0.22,-15.11
2016-10-20 16:00:00-04:00,0.27,0.26,-3.56
2017-01-25 16:00:00-05:00,0.27,0.35,29.49
2017-04-24 16:00:00-04:00,0.28,0.33,19.84
2017-07-19 05:00:00-04:00,0.28,0.31,11.27
2017-10-18 16:00:00-04:00,0.25,0.21,-16.51
2018-01-24 16:00:00-05:00,0.28,0.17,-38.64
2018-04-18 16:00:00-04:00,0.25,0.21,-16.12
2018-07-18 16:00:00-04:00,0.31,0.36,17.07
2018-10-17 16:00:00-04:00,0.28,0.33,19.56
2019-01-23 16:00:00-05:00,0.43,0.44,1.85
2019-04-17 16:00:00-04:00,0.41,0.44,6.85
2019-07-17 16:00:00-04:00,0.41,0.52,26.83
2019-10-16 16:00:00-04:00,0.49,0.58,18.3
2020-02-26 16:00:00-05:00,0.46,0.43,-6.63
2020-04-29 16:00:00-04:00,0.49,0.38,-22.75
2020-07-29 16:00:00-04:00,0.5,0.41,-17.43
2020-10-21 16:00:00-04:00,0.48,0.38,-20.54
2021-01-27 16:00:00-05:00,0.63,1.17,86.57
2021-04-21 16:00:00-04:00,0.54,0.28,-47.97
2021-07-21 16:00:00-04:00,0.69,0.77,10.81
2021-10-20 16:00:00-04:00,0.77,0.81,4.66
2022-01-26 16:00:00-05:00,0.77,0.81,4.91
2022-04-20 16:00:00-04:00,0.95,0.97,2.34
2022-07-20 16:00:00-04:00,0.97,0.97,0.47
2022-10-19 16:00:00-04:00,0.97,0.97,-0.1
2023-01-25 16:00:00-05:00,0.98,0.95,-3.02
2023-04-19 16:00:00-04:00,0.92,0.97,5.79
2023-07-19 16:00:00-04:00,1.04,1.05,1.1
2023-10-18 16:00:00-04:00,0.78,0.77,-0.38
2024-01-24 16:00:00-05:00,0.76,0.86,13.52
2024-04-17 16:00:00-04:00,0.7,0.75,7.1
2024-07-17 16:00:00-04:00,0.55,0.68,23.65
2024-10-16 16:00:00-04:00,0.67,0.84,24.91
2025-03-13 16:00:00-04:00,0.42,0.73,74.06
2025-04-30 16:00:00-04:00,-0.05,0.65,1485.34
2025-07-23 16:00:00-04:00,0.51,0.61,19.56
2025-10-22 16:00:00-04:00,0.51,0.64,24.58
2026-02-04 16:00:00-05:00,0.58,0.63,8.83
2026-04-22 16:00:00-04:00,0.47,0.54,13.71
2026-07-22 16:00:00-04:00,0.48,,
