ts,eps_est,eps_rep,surprise_pct
2002-06-20 08:00:00-04:00,0.29,0.33,13.79
2002-06-20 08:00:00-04:00,0.3,0.32,5.96
2002-09-20 08:00:00-04:00,0.81,0.84,4.17
2002-09-20 08:00:00-04:00,0.78,0.83,7.1
2002-12-19 08:00:00-05:00,0.3,0.3,0.26
2003-03-21 08:00:00-05:00,0.19,0.19,2.24
2003-06-25 09:00:00-04:00,0.23,0.21,-7.26
2003-09-18 09:00:00-04:00,0.87,0.9,3.25
2003-12-18 09:00:00-05:00,0.28,0.26,-5.8
2004-03-22 09:00:00-05:00,0.22,0.25,15.85
2004-06-17 09:00:00-04:00,0.35,0.41,16.85
2004-09-17 09:00:00-04:00,1.2,1.23,2.52
2004-12-16 09:00:00-05:00,0.31,0.4,29.73
2005-03-21 09:00:00-05:00,0.39,0.41,4.33
2005-06-16 09:00:00-04:00,0.45,0.49,8.09
2005-09-19 09:00:00-04:00,1.36,1.36,0.29
2005-12-16 09:00:00-05:00,0.41,0.43,5.08
2006-03-23 09:00:00-05:00,0.37,0.36,-1.37
2006-06-16 09:00:00-04:00,0.44,0.45,2.74
2006-09-21 09:00:00-04:00,1.46,1.49,2.12
2006-12-21 09:00:00-05:00,0.46,0.51,9.91
2007-03-16 09:00:00-04:00,0.34,0.35,2.71
2007-06-19 09:00:00-04:00,0.47,0.48,2.81
2007-09-20 09:00:00-04:00,1.62,1.67,3.19
2007-12-20 09:00:00-05:00,0.43,0.44,2.14
2008-03-20 09:00:00-04:00,0.28,0.3,6.64
2008-06-19 09:00:00-04:00,0.42,0.49,17.48
2008-09-18 09:00:00-04:00,1.58,1.63,3.28
2008-12-18 09:00:00-05:00,0.4,0.47,17.72
2009-03-24 09:00:00-04:00,0.18,0.33,81.01
2009-06-18 09:00:00-04:00,0.29,0.33,14.73
2009-09-22 09:00:00-04:00,1.18,1.31,10.64
2009-12-18 09:00:00-05:00,0.19,0.24,23.69
2010-03-23 09:00:00-04:00,0.14,0.22,60.0
2010-06-22 09:00:00-04:00,0.3,0.32,8.41
2010-09-21 09:00:00-04:00,1.49,1.65,10.49
2010-12-21 09:00:00-05:00,0.31,0.31,0.7
2011-03-11 09:00:00-05:00,0.18,0.19,4.86
2011-06-21 09:00:00-04:00,0.24,0.26,10.29
2011-09-20 09:00:00-04:00,1.63,1.69,3.78
2011-12-20 09:00:00-05:00,0.28,0.28,0.26
2012-03-09 09:00:00-05:00,-0.04,0.02,147.27
2012-06-22 09:00:00-04:00,0.08,0.2,151.57
2012-09-25 09:00:00-04:00,1.45,1.53,5.23
2012-12-20 09:00:00-05:00,0.12,0.13,11.53
2013-03-15 09:00:00-04:00,0.03,0.08,179.72
2013-06-25 08:00:00-04:00,0.07,0.09,30.7
2013-09-24 09:00:00-04:00,1.31,1.38,5.44
2013-12-19 09:00:00-05:00,,0.04,1631.6
2014-03-25 09:00:00-04:00,-0.08,,100.0
2014-06-24 09:00:00-04:00,0.02,0.1,407.1
2014-09-23 09:00:00-04:00,1.46,1.58,8.5
2014-12-19 09:00:00-05:00,0.21,0.27,28.44
2015-03-27 09:00:00-04:00,0.09,0.2,114.8
2015-06-23 09:00:00-04:00,0.16,0.25,54.2
2015-09-22 09:00:00-04:00,1.63,1.75,7.62
2015-12-18 09:00:00-05:00,0.41,0.5,22.35
2016-03-30 09:00:00-04:00,0.32,0.39,22.46
2016-06-28 09:00:00-04:00,0.39,0.49,26.88
2016-09-26 09:00:00-04:00,1.89,1.92,1.72
2016-12-20 09:00:00-05:00,0.58,0.67,14.79
2017-03-28 10:00:00-04:00,0.34,0.38,13.27
2017-06-22 08:00:00-04:00,0.48,0.52,9.34
2017-09-26 08:00:00-04:00,2.2,2.29,3.97
2017-12-19 09:00:00-05:00,0.51,0.63,24.12
2018-03-22 09:00:00-04:00,0.43,0.52,20.14
2018-06-25 09:00:00-04:00,0.59,0.68,14.41
2018-09-27 09:00:00-04:00,2.32,2.36,1.71
2018-12-20 09:00:00-05:00,0.7,0.7,0.51
2019-03-26 09:00:00-04:00,0.44,0.49,10.92
2019-06-20 06:00:00-04:00,0.61,0.66,7.46
2019-09-26 09:00:00-04:00,2.54,2.63,3.66
2019-12-20 09:00:00-05:00,0.51,0.62,22.47
2020-03-20 03:00:00-04:00,0.32,0.22,-30.63
2020-06-18 06:00:00-04:00,-1.76,-3.3,-87.52
2020-10-08 08:00:00-04:00,-2.03,-2.19,-8.0
2021-01-26 10:00:00-05:00,-1.95,-2.06,-5.72
2021-04-07 12:00:00-04:00,-1.6,-1.79,-11.53
2021-06-28 08:00:00-04:00,-1.61,-1.8,-11.86
2021-09-30 11:00:00-04:00,-1.46,-1.75,-20.22
2021-12-20 09:00:00-05:00,-1.49,-1.72,-15.65
2022-03-22 09:00:00-04:00,-1.25,-1.66,-32.48
