ts,eps_est,eps_rep,surprise_pct
2002-05-02 04:00:00-04:00,0.59,0.6,2.84
2002-08-02 04:00:00-04:00,0.65,0.65,-0.29
2002-08-02 04:00:00-04:00,0.59,0.58,-2.81
2002-11-01 04:00:00-05:00,0.5,0.65,30.67
2002-11-01 04:00:00-05:00,0.49,0.5,1.48
2003-02-07 04:00:00-05:00,0.4,0.42,5.59
2003-05-02 04:00:00-04:00,0.48,0.49,2.41
2003-08-01 04:00:00-04:00,0.36,0.38,5.06
2003-10-31 04:00:00-05:00,0.39,0.48,25.29
2004-02-06 04:00:00-05:00,0.49,0.55,13.27
2004-04-30 04:00:00-04:00,0.6,0.62,4.01
2004-08-04 04:00:00-04:00,0.44,0.58,33.25
2004-11-03 04:00:00-05:00,0.45,0.59,31.62
2005-02-09 04:00:00-05:00,0.53,0.8,51.56
2005-05-04 06:00:00-04:00,0.51,0.75,47.5
2005-08-03 06:00:00-04:00,0.52,0.66,27.96
2005-11-02 06:00:00-05:00,0.54,0.65,20.13
2006-02-08 06:00:00-05:00,0.55,0.66,20.21
2006-05-03 06:00:00-04:00,0.63,0.7,12.15
2006-08-02 06:00:00-04:00,0.64,0.77,19.98
2006-11-01 06:00:00-05:00,0.72,0.83,14.45
2007-02-07 06:00:00-05:00,0.76,0.87,14.07
2007-05-02 06:00:00-04:00,0.84,0.89,6.5
2007-08-01 06:00:00-04:00,1.72,0.96,-44.09
2007-11-02 06:00:00-04:00,1.04,1.14,9.39
2008-02-06 06:00:00-05:00,0.97,0.98,1.22
2008-05-01 06:00:00-04:00,0.96,0.94,-1.6
2008-08-01 06:00:00-04:00,0.97,1.08,11.76
2008-10-30 06:00:00-04:00,1.06,1.14,8.05
2009-02-05 06:00:00-05:00,0.41,0.49,18.95
2009-04-30 06:00:00-04:00,0.9,0.87,-3.08
2009-07-30 06:00:00-04:00,0.96,1.14,18.54
2009-11-05 06:00:00-05:00,1.03,1.13,10.0
2010-02-04 06:00:00-05:00,0.95,1.03,8.12
2010-05-06 06:00:00-04:00,0.89,1.01,13.95
2010-08-05 06:00:00-04:00,1.01,1.38,36.87
2010-10-29 06:00:00-04:00,1.06,1.1,3.73
2011-02-03 06:00:00-05:00,1.01,1.15,14.28
2011-05-05 06:00:00-04:00,1.09,1.37,25.43
2011-08-04 06:00:00-04:00,1.29,1.53,18.37
2011-10-28 06:00:00-04:00,1.23,1.2,-2.18
2012-02-02 06:00:00-05:00,1.18,1.11,-5.76
2012-05-03 06:00:00-04:00,1.3,1.24,-4.54
2012-08-02 06:00:00-04:00,1.42,1.49,5.04
2012-11-01 06:00:00-04:00,1.36,1.69,24.49
2013-02-07 06:00:00-05:00,1.48,1.57,6.28
2013-05-02 06:00:00-04:00,1.42,1.72,21.37
2013-08-01 06:00:00-04:00,1.6,1.78,11.19
2013-10-31 06:00:00-04:00,1.63,1.89,15.79
2014-02-07 06:00:00-05:00,1.49,1.39,-6.52
2014-05-01 05:00:00-04:00,1.54,1.83,18.77
2014-07-31 06:00:00-04:00,1.84,1.96,6.39
2014-10-30 06:00:00-04:00,1.82,1.95,6.88
2015-02-05 06:00:00-05:00,1.67,1.69,1.44
2015-04-30 06:00:00-04:00,1.85,1.96,5.96
2015-07-30 06:00:00-04:00,2.33,2.55,9.44
2015-11-06 06:00:00-05:00,2.2,2.28,3.77
2016-02-04 06:00:00-05:00,1.79,1.87,4.23
2016-05-06 06:00:00-04:00,2.15,2.32,7.68
2016-07-29 06:00:00-04:00,2.39,1.98,-17.08
2016-11-03 06:00:00-04:00,1.91,1.94,1.64
2017-02-02 06:00:00-05:00,1.74,1.87,7.77
2017-05-05 06:00:00-04:00,2.46,2.77,12.73
