ts,eps_est,eps_rep,surprise_pct
2001-10-18 07:00:00-04:00,0.25,0.25,-0.2
2002-02-05 07:00:00-05:00,0.26,0.26,0.44
2002-04-18 07:00:00-04:00,0.25,0.25,-0.41
2002-07-23 07:00:00-04:00,0.27,0.28,1.85
2002-10-17 07:00:00-04:00,0.28,0.28,0.35
2003-02-04 07:00:00-05:00,0.29,0.3,1.88
2003-04-17 07:00:00-04:00,0.27,0.28,2.19
2003-07-22 07:00:00-04:00,0.31,0.31,0.44
2003-10-23 07:00:00-04:00,0.32,0.32,-0.61
2004-02-03 07:00:00-05:00,0.32,0.33,2.79
2004-04-21 07:00:00-04:00,0.29,0.3,0.68
2004-07-21 07:00:00-04:00,0.33,0.33,-0.9
2004-10-20 07:00:00-04:00,0.29,0.29,-0.51
2005-01-27 07:00:00-05:00,0.29,0.3,0.85
2005-04-27 07:00:00-04:00,0.3,0.31,0.33
2005-07-27 07:00:00-04:00,0.33,0.34,0.15
2005-11-01 07:00:00-05:00,0.34,0.34,-0.3
2006-01-25 07:00:00-05:00,0.34,0.35,1.32
2006-04-25 21:00:00-04:00,0.33,0.34,2.41
2006-07-25 07:00:00-04:00,0.36,0.36,-0.55
2006-10-25 07:00:00-04:00,0.36,0.37,0.97
2007-01-30 07:00:00-05:00,0.38,0.39,1.43
2007-04-25 07:00:00-04:00,0.39,0.39,-0.26
2007-07-25 07:00:00-04:00,0.42,0.42,0.72
2007-10-30 07:00:00-04:00,0.42,0.43,1.53
2008-01-31 07:00:00-05:00,0.45,0.46,2.05
2008-04-30 07:00:00-04:00,0.44,0.45,1.59
2008-07-29 07:00:00-04:00,0.47,0.49,4.03
2008-10-30 07:00:00-04:00,0.49,0.5,0.69
2009-01-29 07:00:00-05:00,0.49,0.5,2.35
2009-04-30 07:00:00-04:00,0.48,0.49,0.62
2009-07-30 07:00:00-04:00,0.52,0.54,2.39
2009-10-29 07:00:00-04:00,0.56,0.56,0.87
2010-01-28 07:00:00-05:00,0.59,0.61,3.03
2010-04-29 07:00:00-04:00,0.58,0.61,4.88
2010-07-29 07:00:00-04:00,0.58,0.59,0.23
2010-10-28 07:00:00-04:00,0.59,0.61,1.7
2011-01-27 07:00:00-05:00,0.62,0.62,0.67
2011-04-28 07:00:00-04:00,0.58,0.58,-0.2
2011-07-28 07:00:00-04:00,0.62,0.63,1.07
2011-10-27 07:00:00-04:00,0.65,0.66,0.79
2012-01-26 07:00:00-05:00,0.65,0.65,0.25
2012-04-26 07:00:00-04:00,0.62,0.62,0.14
2012-07-26 07:00:00-04:00,0.67,0.67,-0.18
2012-10-25 07:00:00-04:00,0.69,0.69,-0.07
2013-01-31 07:00:00-05:00,0.7,0.71,0.74
2013-04-25 07:00:00-04:00,0.66,0.66,0.14
2013-07-25 07:00:00-04:00,0.7,0.7,-0.07
2013-10-24 07:00:00-04:00,0.73,0.73,0.44
2014-01-30 07:00:00-05:00,0.74,0.75,1.63
2014-04-25 07:00:00-04:00,0.68,0.68,-0.38
2014-07-31 07:00:00-04:00,0.73,0.73,-0.57
2014-10-24 07:00:00-04:00,0.75,0.76,0.79
2015-01-29 07:00:00-05:00,0.74,0.76,2.13
2015-04-30 07:00:00-04:00,0.66,0.66,0.08
2015-07-30 07:00:00-04:00,0.7,0.7,-0.59
2015-10-30 06:00:00-04:00,0.72,0.72,0.08
2016-01-29 06:00:00-05:00,0.72,0.73,1.22
2016-04-28 06:00:00-04:00,0.63,0.63,0.19
2016-07-28 06:00:00-04:00,0.69,0.7,1.86
2016-10-27 06:00:00-04:00,0.73,0.73,0.09
2017-01-27 06:00:00-05:00,0.75,0.75,-0.15
2017-04-28 06:00:00-04:00,0.66,0.67,1.68
2017-07-21 06:00:00-04:00,0.72,0.72,-0.14
2017-10-27 06:00:00-04:00,0.73,0.73,-0.45
2018-01-26 06:00:00-05:00,0.75,0.75,-0.36
2018-04-27 06:00:00-04:00,0.73,0.74,2.05
2018-07-27 06:00:00-04:00,0.77,0.77,0.15
2018-10-26 06:00:00-04:00,0.72,0.72,-0.39
2019-01-25 06:00:00-05:00,0.73,0.74,0.85
