ts,eps_est,eps_rep,surprise_pct
2001-07-25 16:00:00-04:00,-0.06,-0.19,-235.71
2001-10-24 16:00:00-04:00,-0.06,-0.02,66.67
2002-01-30 16:00:00-05:00,-0.11,-0.07,34.23
2002-04-24 16:00:00-04:00,-0.06,-0.16,-152.38
2002-07-24 16:00:00-04:00,-0.04,0.01,118.18
2002-10-23 16:00:00-04:00,0.06,0.04,-28.33
2003-01-29 16:00:00-05:00,0.05,0.05,
2003-07-30 16:00:00-04:00,-0.03,-0.26,-735.48
2003-10-29 16:00:00-05:00,,0.02,
2004-02-04 18:00:00-05:00,-0.17,-0.13,20.71
2004-04-28 16:00:00-04:00,0.06,0.05,-19.05
2004-07-28 06:00:00-04:00,0.24,0.36,48.77
2004-10-27 16:00:00-04:00,0.38,0.34,-10.67
2005-02-16 17:00:00-05:00,0.33,0.26,-22.16
2005-04-27 17:00:00-04:00,0.26,0.25,-3.8
2005-07-27 17:00:00-04:00,0.78,0.9,14.16
2005-10-26 17:00:00-04:00,0.7,0.77,9.91
2006-02-15 17:00:00-05:00,0.69,0.59,-14.24
2006-04-26 17:00:00-04:00,0.25,0.34,35.04
2006-07-26 17:00:00-04:00,0.67,0.77,13.67
2006-10-25 17:00:00-04:00,0.86,0.84,-2.1
2007-02-21 17:00:00-05:00,0.76,0.8,4.61
2007-06-08 13:00:00-04:00,0.44,0.37,-17.05
2007-07-26 18:00:00-04:00,0.94,0.83,-11.23
2007-11-01 18:00:00-04:00,0.76,0.54,-28.48
2008-02-21 19:00:00-05:00,0.83,0.75,-10.11
2008-05-05 19:00:00-04:00,0.5,0.56,11.78
2008-07-30 17:00:00-04:00,1.99,2.21,11.28
2008-10-29 17:00:00-04:00,2.28,2.13,-6.72
2009-02-25 17:00:00-05:00,1.24,1.71,38.13
2009-04-29 18:00:00-04:00,-0.14,-0.07,48.9
2009-07-29 17:00:00-04:00,-0.33,-0.22,32.96
2009-10-29 16:00:00-04:00,-0.03,0.45,1549.28
2010-02-17 16:00:00-05:00,0.4,0.75,87.73
2010-04-28 17:00:00-04:00,0.46,0.69,50.55
2010-07-28 17:00:00-04:00,2.08,1.92,-7.58
2010-10-28 17:00:00-04:00,2.49,2.18,-12.62
2011-02-16 16:00:00-05:00,2.1,2.82,34.43
2011-04-28 18:00:00-04:00,2.22,3.11,39.95
2011-07-27 17:00:00-04:00,3.67,3.27,-10.92
2011-10-27 17:00:00-04:00,3.66,4.28,17.04
2012-02-15 16:00:00-05:00,1.6,1.42,-11.39
2012-04-25 17:00:00-04:00,1.13,0.85,-24.57
2012-07-25 17:00:00-04:00,1.81,1.81,0.18
2012-10-24 16:00:00-04:00,1.07,0.61,-42.83
2013-02-12 16:00:00-05:00,0.55,0.41,-25.03
2013-04-24 16:00:00-04:00,0.34,0.6,75.75
2013-07-25 16:00:00-04:00,0.58,1.13,94.66
2013-10-24 16:00:00-04:00,0.71,0.64,-10.76
2014-02-13 18:00:00-05:00,0.79,1.22,53.77
2014-04-24 16:00:00-04:00,-0.26,-0.39,-50.56
2014-07-23 17:00:00-04:00,-0.1,0.05,148.37
2014-10-27 16:00:00-04:00,0.03,0.21,549.35
2015-02-02 16:00:00-05:00,0.16,1.0,540.08
2015-04-28 16:00:00-04:00,-0.17,0.02,111.77
2015-07-29 08:00:00-04:00,-0.12,-0.21,-74.32
2015-10-29 08:00:00-04:00,-0.22,-0.35,-57.13
2016-01-27 08:00:00-05:00,-0.31,-0.14,54.84
2016-04-28 08:00:00-04:00,-0.29,-0.36,-24.63
2016-07-28 08:00:00-04:00,0.03,0.05,95.88
2016-10-27 08:00:00-04:00,0.19,-0.04,-121.77
2017-02-09 08:00:00-05:00,0.27,0.48,77.3
2017-04-27 08:00:00-04:00,0.2,0.11,-43.0
2017-07-27 07:00:00-04:00,0.17,0.28,58.26
2017-10-20 08:00:00-04:00,0.33,0.37,13.56
2018-01-25 08:00:00-05:00,0.18,0.25,39.4
2018-04-20 08:00:00-04:00,-0.18,0.01,102.74
2018-07-20 08:00:00-04:00,0.52,0.73,40.03
2018-10-19 08:00:00-04:00,0.66,0.65,-1.78
2019-02-08 07:00:00-05:00,0.59,2.05,245.55
2019-04-25 07:00:00-04:00,-0.14,-0.07,49.24
2019-07-19 07:00:00-04:00,0.52,0.62,19.72
2019-10-23 07:00:00-04:00,0.24,0.33,34.8
2020-02-20 07:00:00-05:00,0.24,0.26,7.78
