ts,eps_est,eps_rep,surprise_pct
2001-10-31 07:00:00-05:00,-0.11,-0.11,1.84
2002-02-06 07:00:00-05:00,-0.1,-0.1,
2002-05-01 10:00:00-04:00,0.01,-0.03,-324.72
2002-08-01 08:00:00-04:00,0.06,0.05,-15.97
2002-10-28 07:00:00-05:00,0.06,0.05,-9.65
2003-02-27 07:00:00-05:00,0.03,-0.03,-186.31
2003-05-08 07:00:00-04:00,-0.02,-0.01,31.33
2003-07-31 07:00:00-04:00,,,198.04
2003-10-30 07:00:00-05:00,,,-630.3
2004-02-11 07:00:00-05:00,0.01,0.03,156.53
2004-04-28 07:00:00-04:00,0.02,0.01,-54.73
2004-07-28 07:00:00-04:00,0.03,0.04,24.38
2004-10-27 07:00:00-04:00,0.04,0.03,-8.17
2005-02-03 07:00:00-05:00,0.04,0.06,57.65
2005-04-28 07:00:00-04:00,0.04,0.05,28.42
2005-08-02 07:00:00-04:00,0.05,0.06,26.65
2005-11-03 07:00:00-05:00,0.05,0.03,-32.83
2006-02-02 07:00:00-05:00,0.05,0.03,-41.75
2006-04-27 07:00:00-04:00,0.05,0.07,47.03
2006-07-27 07:00:00-04:00,0.07,0.07,11.57
2006-10-26 07:00:00-04:00,0.06,0.09,38.16
2007-02-01 07:00:00-05:00,0.08,0.07,-16.15
2007-04-26 07:00:00-04:00,0.08,0.09,1.19
2007-07-26 07:00:00-04:00,0.1,0.1,-2.56
2007-10-25 07:00:00-04:00,0.09,0.09,-2.17
2008-02-14 06:00:00-05:00,0.09,0.1,13.64
2008-05-01 07:00:00-04:00,0.09,0.1,1.88
2008-07-30 07:00:00-04:00,0.11,0.11,-6.2
2008-10-29 07:00:00-04:00,0.11,0.12,10.85
2009-02-18 07:00:00-05:00,0.11,0.14,21.33
2009-04-30 07:00:00-04:00,0.11,0.14,17.47
2009-08-06 07:00:00-04:00,0.13,0.17,27.94
2009-11-04 07:00:00-05:00,0.13,0.14,10.43
2010-02-03 07:00:00-05:00,0.13,0.14,7.44
2010-04-28 07:00:00-04:00,0.15,0.16,4.13
2010-07-28 07:00:00-04:00,0.16,0.17,2.98
2010-10-27 07:00:00-04:00,0.15,0.16,6.31
2011-02-16 07:00:00-05:00,0.16,0.18,8.74
2011-05-03 16:00:00-04:00,0.17,0.18,4.04
2011-08-03 07:00:00-04:00,0.21,0.21,1.94
2011-11-02 07:00:00-04:00,0.2,0.17,-16.7
2012-02-15 07:00:00-05:00,0.21,0.24,11.23
2012-05-02 07:00:00-04:00,0.21,0.23,6.58
2012-08-01 07:00:00-04:00,0.24,0.25,4.94
2012-10-26 07:00:00-04:00,0.23,0.23,-0.03
2013-02-12 16:00:00-05:00,0.27,0.26,-3.03
2013-05-01 07:00:00-04:00,0.25,0.26,1.07
2013-07-31 07:00:00-04:00,0.32,0.33,2.91
2013-10-30 07:00:00-04:00,0.31,0.33,6.31
2014-01-28 07:00:00-05:00,0.34,0.33,-3.07
2014-04-22 07:00:00-04:00,0.32,0.34,5.76
2014-07-22 07:00:00-04:00,0.36,0.38,4.27
2014-10-23 07:00:00-04:00,0.35,0.37,3.23
2015-02-24 07:00:00-05:00,0.39,0.39,-0.96
2015-05-04 06:00:00-04:00,0.37,0.4,7.22
2015-07-23 07:00:00-04:00,0.42,0.42,-0.16
2015-10-27 07:00:00-04:00,0.4,0.4,-0.05
2016-02-03 07:00:00-05:00,0.41,0.41,-0.82
2016-04-27 07:00:00-04:00,0.39,0.42,6.39
2016-07-27 07:00:00-04:00,0.4,0.42,2.76
2016-10-26 07:00:00-04:00,0.46,0.46,0.84
2017-01-26 07:00:00-05:00,0.43,0.45,2.85
2017-04-27 07:00:00-04:00,0.45,0.53,19.09
2017-07-27 06:00:00-04:00,0.49,0.52,7.21
2017-10-26 07:00:00-04:00,0.49,0.52,5.32
2018-01-24 07:00:00-05:00,0.47,0.49,4.81
