ts,eps_est,eps_rep,surprise_pct
2003-01-30 07:00:00-05:00,0.18,0.18,
2003-04-22 07:00:00-04:00,0.13,0.15,20.31
2003-07-22 07:00:00-04:00,0.19,0.21,10.75
2003-10-22 07:00:00-04:00,0.18,0.19,1.97
2004-02-03 07:00:00-05:00,0.18,0.17,-2.36
2004-04-27 06:00:00-04:00,0.24,0.27,10.75
2004-07-22 07:00:00-04:00,0.33,0.33,1.22
2004-10-26 07:00:00-04:00,0.33,0.34,3.18
2005-02-01 07:00:00-05:00,0.34,0.33,-3.43
2005-04-26 07:00:00-04:00,0.39,0.41,5.48
2005-07-26 07:00:00-04:00,0.48,0.47,-0.84
2005-10-25 07:00:00-04:00,0.44,0.44,0.38
2006-01-31 07:00:00-05:00,0.42,0.44,3.61
2006-04-25 07:00:00-04:00,0.53,0.52,-0.87
2006-07-25 07:00:00-04:00,0.62,0.62,1.03
2006-10-24 07:00:00-04:00,0.57,0.59,3.04
2007-01-30 07:00:00-05:00,0.59,0.58,-1.73
2007-04-24 07:00:00-04:00,0.72,0.74,3.21
2007-07-24 01:00:00-04:00,0.73,0.74,0.71
2007-10-24 07:00:00-04:00,0.82,0.86,4.87
2008-02-05 07:00:00-05:00,0.72,0.75,4.66
2008-04-22 07:00:00-04:00,0.96,0.93,-3.11
2008-07-22 06:00:00-04:00,0.77,0.79,2.13
2008-10-29 16:00:00-04:00,0.8,0.83,3.65
2009-02-03 07:00:00-05:00,0.69,0.72,3.42
2009-04-23 07:00:00-04:00,0.64,0.64,-0.15
2009-07-23 07:00:00-04:00,0.65,0.67,4.2
2009-10-29 07:00:00-04:00,0.66,0.67,1.78
2010-02-04 07:00:00-05:00,0.69,0.67,-1.78
2010-04-29 07:00:00-04:00,0.72,0.72,0.38
2010-07-29 07:00:00-04:00,0.87,0.89,1.64
2010-10-28 07:00:00-04:00,0.73,0.73,-0.13
2011-02-03 07:00:00-05:00,0.76,0.75,-1.17
2011-04-28 07:00:00-04:00,0.84,0.87,3.99
2011-07-28 07:00:00-04:00,0.84,0.88,4.52
2011-11-01 07:00:00-04:00,0.94,0.95,1.14
2012-02-02 07:00:00-05:00,0.74,0.71,-3.75
2012-04-26 07:00:00-04:00,0.81,0.8,-0.22
2012-07-26 07:00:00-04:00,0.83,0.89,7.54
2012-10-25 07:00:00-04:00,0.7,0.7,0.45
2013-02-05 16:00:00-05:00,0.64,0.63,-1.0
2013-05-02 07:00:00-04:00,0.73,0.73,0.44
2013-08-01 07:00:00-04:00,0.9,0.93,3.7
2013-11-04 07:00:00-05:00,0.73,0.75,2.69
2014-02-04 07:00:00-05:00,0.68,0.64,-5.87
2014-05-01 07:00:00-04:00,0.83,0.83,0.47
2014-07-31 07:00:00-04:00,0.79,0.77,-2.79
2014-10-30 07:00:00-04:00,0.83,0.84,1.3
2015-02-05 16:00:00-05:00,0.93,0.95,2.3
2015-04-30 07:00:00-04:00,0.95,0.98,3.53
2015-07-30 07:00:00-04:00,0.92,0.95,2.92
2015-10-29 07:00:00-04:00,0.99,1.02,3.01
2016-02-05 07:00:00-05:00,0.9,0.92,2.37
2016-04-28 07:00:00-04:00,1.15,1.15,-0.1
2016-07-28 07:00:00-04:00,1.11,1.09,-1.21
2016-10-27 07:00:00-04:00,1.04,1.05,1.28
2017-02-02 07:00:00-05:00,1.1,1.14,3.2
2017-04-27 07:00:00-04:00,1.2,1.22,1.62
2017-08-01 07:00:00-04:00,1.21,1.23,2.01
2017-10-26 07:00:00-04:00,1.16,1.19,2.94
2018-02-01 07:00:00-05:00,1.1,1.12,2.02
2018-04-26 07:00:00-04:00,1.85,1.86,0.42
2018-07-26 07:00:00-04:00,1.72,1.74,1.23
2018-10-25 07:00:00-04:00,1.43,1.45,1.45
2019-02-14 07:00:00-05:00,1.73,1.77,2.11
2019-05-01 07:00:00-04:00,1.6,1.62,1.12
2019-07-31 07:00:00-04:00,1.76,1.76,-0.08
2019-10-30 07:00:00-04:00,1.75,1.9,8.58
2020-02-12 07:00:00-05:00,1.55,1.52,-1.86
2020-04-29 07:00:00-04:00,2.21,2.33,5.63
2020-07-29 07:00:00-04:00,1.64,1.63,-0.39
2020-10-28 07:00:00-04:00,1.44,1.38,-3.92
2021-02-10 07:00:00-05:00,1.36,1.39,1.9
2021-04-28 07:00:00-04:00,1.76,1.79,1.9
2021-07-28 07:00:00-04:00,1.61,1.64,2.05
2021-10-27 07:00:00-04:00,1.55,1.6,2.99
2022-02-09 07:00:00-05:00,1.64,1.66,1.24
2022-04-27 07:00:00-04:00,2.0,2.11,5.33
2022-07-27 07:00:00-04:00,1.93,1.97,1.86
2022-10-26 07:00:00-04:00,1.94,1.98,2.24
2023-02-08 07:00:00-05:00,1.88,1.92,2.05
2023-04-26 07:00:00-04:00,2.38,2.42,1.86
2023-07-26 07:00:00-04:00,2.19,2.3,4.99
2023-10-25 07:00:00-04:00,2.22,2.25,1.27
2024-02-14 07:00:00-05:00,2.28,2.37,3.87
2024-04-24 07:00:00-04:00,2.45,2.5,2.0
2024-07-24 07:00:00-04:00,2.53,2.56,1.04
2024-10-23 07:00:00-04:00,2.65,2.68,0.96
2025-02-12 07:00:00-05:00,2.45,2.52,3.05
2025-04-23 07:00:00-04:00,2.81,2.8,-0.31
2025-07-23 07:00:00-04:00,2.92,2.96,1.45
2025-10-22 07:00:00-04:00,2.63,2.68,1.98
2026-02-04 07:00:00-05:00,2.74,2.77,0.99
2026-04-22 07:00:00-04:00,3.37,3.36,-0.25
2026-07-22 08:00:00-04:00,2.99,,
