ts,eps_est,eps_rep,surprise_pct
2001-10-16 16:00:00-04:00,0.75,0.75,
2002-01-15 16:00:00-05:00,0.8,0.8,0.25
2002-04-16 16:00:00-04:00,0.81,0.83,2.31
2002-07-16 16:00:00-04:00,0.86,0.92,6.48
2002-10-15 17:00:00-04:00,0.99,1.13,14.72
2003-01-16 16:00:00-05:00,1.05,1.05,0.35
2003-04-21 16:00:00-04:00,1.03,1.35,30.63
2003-07-16 16:00:00-04:00,1.1,1.23,11.78
2003-10-22 16:00:00-04:00,1.06,1.17,10.72
2004-01-21 16:00:00-05:00,1.01,1.11,10.04
2004-04-21 16:00:00-04:00,1.51,1.84,21.57
2004-07-21 16:00:00-04:00,1.49,1.65,10.4
2004-10-20 16:00:00-04:00,1.3,1.97,51.26
2005-01-19 16:00:00-05:00,0.98,0.77,-21.07
2005-04-20 16:00:00-04:00,1.92,1.99,3.48
2005-07-20 16:00:00-04:00,1.75,2.03,16.13
2005-10-20 16:00:00-04:00,1.66,1.81,8.9
2006-01-19 16:00:00-05:00,0.95,0.97,2.4
2006-04-20 16:00:00-04:00,2.06,2.56,24.47
2006-07-20 16:00:00-04:00,2.08,1.78,-14.43
2006-10-18 16:00:00-04:00,1.81,1.85,2.3
2007-01-18 16:00:00-05:00,1.24,1.14,-8.09
2007-04-19 16:00:00-04:00,1.97,1.62,-17.83
2007-07-19 16:00:00-04:00,1.63,1.7,4.51
2007-10-18 16:00:00-04:00,-0.25,-0.21,14.8
2008-01-23 16:00:00-05:00,0.67,0.6,-10.77
2008-04-17 16:00:00-04:00,1.44,1.47,2.2
2008-07-17 16:00:00-04:00,1.31,1.24,-5.15
2008-10-16 16:00:00-04:00,0.93,1.03,10.6
2009-01-22 16:00:00-05:00,0.28,-1.75,-734.36
2009-04-21 16:00:00-04:00,-0.04,-0.39,-856.82
2009-07-23 16:00:00-04:00,-0.41,0.53,228.49
2009-10-22 16:00:00-04:00,0.16,0.94,486.95
2010-01-21 16:00:00-05:00,0.45,0.89,97.76
2010-04-22 15:00:00-04:00,0.57,1.58,174.99
2010-07-22 16:00:00-04:00,0.88,1.78,103.4
2010-10-18 17:00:00-04:00,1.18,1.79,52.08
2011-01-20 16:00:00-05:00,1.39,1.52,9.09
2011-04-21 07:00:00-04:00,1.55,2.24,44.43
2011-07-13 06:00:00-04:00,1.71,2.04,19.17
2011-10-20 16:00:00-04:00,1.67,1.88,12.29
2012-01-19 16:00:00-05:00,1.56,0.89,-43.11
2012-04-19 16:00:00-04:00,1.41,1.56,10.98
2012-07-18 16:00:00-04:00,1.42,2.2,55.14
2012-10-18 16:00:00-04:00,1.82,2.09,15.07
2013-01-17 16:00:00-05:00,1.64,1.5,-8.63
2013-04-18 16:00:00-04:00,1.62,1.92,18.24
2013-07-18 16:00:00-04:00,1.73,2.07,19.83
2013-10-17 16:00:00-04:00,1.83,1.88,2.65
2014-01-16 16:00:00-05:00,1.57,1.48,-5.29
2014-04-16 16:00:00-04:00,1.7,1.91,12.35
2014-07-17 16:00:00-04:00,1.84,2.06,11.66
2014-10-16 16:00:00-04:00,1.95,1.94,-0.88
2015-01-22 16:00:00-05:00,1.78,1.68,-5.53
2015-04-23 16:00:00-04:00,1.86,1.97,5.78
2015-07-23 16:00:00-04:00,1.97,1.76,-10.74
2015-10-22 16:00:00-04:00,1.96,2.11,7.39
2016-01-26 16:00:00-05:00,1.63,1.65,0.88
2016-04-26 16:00:00-04:00,1.92,1.85,-3.46
2016-07-21 16:00:00-04:00,1.89,1.76,-6.91
2016-10-25 16:00:00-04:00,1.94,2.03,4.51
2017-01-24 16:00:00-05:00,1.59,1.66,4.55
2017-04-25 16:00:00-04:00,1.96,1.75,-10.92
2017-07-20 16:00:00-04:00,1.9,1.96,3.19
2017-10-24 16:00:00-04:00,2.16,2.42,12.18
2018-01-23 16:00:00-05:00,1.85,1.62,-12.43
2018-04-24 16:00:00-04:00,2.34,2.65,13.03
2018-07-19 16:00:00-04:00,2.63,3.22,22.38
2018-10-23 16:00:00-04:00,2.87,3.12,8.81
2019-01-22 16:00:00-05:00,2.39,1.87,-21.72
2019-04-25 16:00:00-04:00,2.73,2.9,6.34
2019-07-18 16:00:00-04:00,2.87,3.37,17.56
2019-10-24 16:00:00-04:00,2.92,3.32,13.56
2020-01-21 16:00:00-05:00,2.35,2.49,5.91
2020-04-23 17:00:00-04:00,1.02,-3.02,-396.01
2020-07-21 16:00:00-04:00,-1.54,-1.61,-4.55
2020-10-22 16:00:00-04:00,2.07,5.05,144.41
2021-01-26 16:00:00-05:00,2.74,5.29,92.84
2021-04-27 16:00:00-04:00,4.05,7.03,73.41
2021-07-22 16:00:00-04:00,4.54,7.71,69.84
2021-10-26 16:00:00-04:00,5.2,6.86,32.04
2022-01-25 16:00:00-05:00,5.19,5.41,4.16
2022-04-26 16:00:00-04:00,5.46,5.62,2.91
2022-07-21 16:00:00-04:00,5.05,4.96,-1.74
2022-10-27 16:00:00-04:00,5.04,4.2,-16.71
2023-01-24 16:00:00-05:00,3.86,2.82,-26.93
2023-04-27 16:00:00-04:00,3.89,2.31,-40.56
2023-07-20 16:00:00-04:00,3.24,3.52,8.75
2023-10-26 16:00:00-04:00,3.24,4.45,37.56
2024-01-25 16:00:00-05:00,2.67,2.24,-15.96
2024-04-25 16:00:00-04:00,3.38,3.21,-4.9
2024-07-23 16:00:00-04:00,3.39,3.14,-7.4
2024-10-24 16:00:00-04:00,3.76,4.51,19.97
2025-01-21 16:00:00-05:00,2.8,3.09,10.37
2025-04-22 16:00:00-04:00,3.65,4.06,11.19
2025-07-22 16:00:00-04:00,3.72,5.48,47.43
2025-10-21 16:00:00-04:00,4.36,5.95,36.42
2026-01-22 16:00:00-05:00,4.14,3.86,-6.83
2026-04-21 16:00:00-04:00,4.57,4.42,-3.34
2026-07-21 16:00:00-04:00,4.78,,
