ts,eps_est,eps_rep,surprise_pct
2001-10-24 08:00:00-04:00,0.65,0.68,4.17
2002-01-24 08:00:00-05:00,0.33,0.3,-11.68
2002-04-25 08:00:00-04:00,-0.02,-0.01,56.52
2002-07-23 08:00:00-04:00,0.51,0.48,-6.68
2002-10-24 08:00:00-04:00,0.46,0.47,3.3
2003-01-29 08:00:00-05:00,0.56,0.55,-1.43
2003-04-30 08:00:00-04:00,0.85,0.94,10.52
2003-07-30 08:00:00-04:00,0.72,0.79,10.03
2003-10-29 08:00:00-05:00,0.8,0.91,13.47
2004-01-28 08:00:00-05:00,0.71,0.72,0.28
2004-04-28 08:00:00-04:00,0.98,1.16,17.5
2004-07-28 08:00:00-04:00,1.44,1.44,0.21
2004-10-27 08:00:00-04:00,1.28,1.44,12.11
2005-01-26 08:00:00-05:00,1.55,1.76,13.23
2005-04-27 08:00:00-04:00,1.65,2.06,25.15
2005-07-27 08:00:00-04:00,2.0,2.21,10.5
2005-10-26 08:00:00-04:00,2.46,2.68,8.81
2006-01-25 08:00:00-05:00,2.65,2.69,1.59
2006-04-26 08:00:00-04:00,2.35,2.34,-0.47
2006-07-26 08:00:00-04:00,2.79,2.83,1.61
2006-10-25 08:00:00-04:00,2.37,2.68,12.94
2007-01-24 08:00:00-05:00,1.99,2.1,5.68
2007-04-25 08:00:00-04:00,1.93,1.83,-4.98
2007-07-25 08:00:00-04:00,2.68,2.9,8.34
2007-10-24 08:00:00-04:00,2.19,1.94,-11.58
2008-01-23 08:00:00-05:00,2.41,2.48,2.86
2008-04-24 08:00:00-04:00,2.41,2.52,4.36
2008-07-23 08:00:00-04:00,3.53,3.5,-0.82
2008-10-22 08:00:00-04:00,3.08,3.32,7.93
2009-01-28 08:00:00-05:00,1.34,1.28,-4.55
2009-04-23 08:00:00-04:00,0.39,0.5,29.47
2009-07-29 08:00:00-04:00,0.86,0.97,12.92
2009-10-28 08:00:00-04:00,0.94,1.0,6.42
2010-01-27 08:00:00-05:00,1.12,1.16,3.85
2010-04-29 08:00:00-04:00,1.33,1.47,10.44
2010-07-28 08:00:00-04:00,1.56,1.67,7.0
2010-10-27 08:00:00-04:00,1.46,1.5,2.61
2011-01-26 08:00:00-05:00,1.35,1.32,-2.24
2011-04-27 08:00:00-04:00,1.9,1.82,-4.24
2011-07-27 08:00:00-04:00,2.18,2.41,10.37
2011-10-26 08:00:00-04:00,2.15,2.52,17.22
2012-01-25 08:00:00-05:00,1.79,2.02,13.04
2012-04-23 08:00:00-04:00,2.06,2.02,-1.84
2012-07-25 08:00:00-04:00,1.25,1.22,-2.56
2012-10-25 08:00:00-04:00,1.2,1.44,20.24
2013-01-30 19:00:00-05:00,1.47,1.43,-2.93
2013-04-25 07:00:00-04:00,1.43,1.42,-0.48
2013-08-01 07:00:00-04:00,1.29,1.41,8.88
2013-10-31 07:00:00-04:00,1.45,1.47,1.11
2014-01-30 07:00:00-05:00,1.31,1.4,6.63
2014-05-01 07:00:00-04:00,1.56,1.81,16.19
2014-07-31 07:00:00-04:00,1.61,1.61,0.04
2014-10-30 07:00:00-04:00,1.19,1.29,8.38
2015-01-29 07:00:00-05:00,0.59,0.6,0.99
2015-04-30 07:00:00-04:00,-0.18,-0.18,1.01
2015-07-30 07:00:00-04:00,0.04,0.07,73.4
2015-10-29 07:00:00-04:00,-0.37,-0.38,-1.59
2016-02-04 07:00:00-05:00,-0.64,-0.9,-39.72
2016-04-28 07:00:00-04:00,-1.04,-0.95,9.0
2016-07-28 07:00:00-04:00,-0.61,-0.79,-29.57
2016-10-27 07:00:00-04:00,-0.71,-0.66,6.4
2017-02-02 07:00:00-05:00,-0.41,-0.26,37.15
2017-05-04 16:00:00-04:00,0.03,-0.14,-581.27
2017-07-27 07:00:00-04:00,-0.02,0.14,817.58
2017-10-26 07:00:00-04:00,0.09,0.16,86.07
2018-02-01 07:00:00-05:00,0.45,0.45,-0.36
2018-04-26 07:00:00-04:00,0.73,0.96,31.5
2018-07-26 07:00:00-04:00,1.09,1.09,-0.42
2018-10-25 07:00:00-04:00,1.19,1.36,14.74
2019-01-31 07:00:00-05:00,1.02,1.13,11.02
2019-04-30 07:00:00-04:00,0.9,1.0,10.81
2019-07-30 07:00:00-04:00,1.03,1.01,-2.21
2019-10-29 07:00:00-04:00,0.74,0.82,10.44
2020-02-04 07:00:00-05:00,0.81,0.76,-6.08
2020-04-30 08:00:00-04:00,0.17,0.45,168.05
2020-07-30 07:00:00-04:00,-0.58,-0.92,-59.34
2020-10-29 07:00:00-04:00,-0.31,-0.31,-0.95
2021-02-02 07:00:00-05:00,-0.25,-0.19,23.85
2021-05-04 07:00:00-04:00,0.54,0.69,28.97
2021-08-03 07:00:00-04:00,1.13,1.27,12.53
2021-11-02 07:00:00-04:00,1.52,1.77,16.79
2022-02-03 07:00:00-05:00,2.19,2.27,3.44
2022-05-05 07:00:00-04:00,3.17,3.27,3.09
2022-08-04 07:00:00-04:00,3.85,3.91,1.54
2022-11-03 07:00:00-04:00,3.44,3.6,4.57
2023-02-02 07:00:00-05:00,2.88,2.71,-5.91
2023-05-04 07:00:00-04:00,2.07,2.38,15.11
2023-08-03 07:00:00-04:00,1.96,1.84,-6.04
2023-11-02 07:00:00-04:00,2.09,2.16,3.3
2024-02-08 07:00:00-05:00,2.17,2.4,10.7
2024-05-02 07:00:00-04:00,2.03,2.03,0.15
2024-08-01 07:00:00-04:00,1.95,1.98,1.67
2024-10-31 07:00:00-04:00,1.64,1.78,8.49
2025-02-06 07:00:00-05:00,1.83,1.98,7.92
2025-05-08 08:00:00-04:00,2.05,2.09,1.98
2025-08-07 07:00:00-04:00,1.36,1.42,4.71
2025-11-06 07:00:00-05:00,1.41,1.61,14.05
2026-02-05 07:00:00-05:00,1.09,1.02,-6.47
2026-04-30 07:00:00-04:00,1.69,1.89,11.55
2026-08-06 08:00:00-04:00,2.87,,
