ts,eps_est,eps_rep,surprise_pct
2001-12-13 04:00:00-05:00,0.28,0.28,-1.06
2002-03-05 04:00:00-05:00,0.41,0.41,
2002-05-30 04:00:00-04:00,0.28,0.28,1.82
2002-10-10 04:00:00-04:00,0.49,0.52,5.65
2002-12-12 04:00:00-05:00,0.31,0.31,0.98
2003-03-05 04:00:00-05:00,0.43,0.42,-1.87
2003-05-28 04:00:00-04:00,0.31,0.33,5.96
2003-10-08 04:00:00-04:00,0.47,0.51,8.97
2003-12-09 04:00:00-05:00,0.31,0.34,9.68
2004-03-03 04:00:00-05:00,0.47,0.48,3.0
2004-05-27 04:00:00-04:00,0.37,0.42,12.55
2004-10-07 04:00:00-04:00,0.58,0.62,7.48
2004-12-09 04:00:00-05:00,0.41,0.4,-1.57
2005-03-02 04:00:00-05:00,0.55,0.54,-0.97
2005-05-26 05:00:00-04:00,0.42,0.43,1.7
2005-10-06 04:00:00-04:00,0.64,0.73,14.06
2005-12-08 04:00:00-05:00,0.45,0.45,0.56
2006-03-02 04:00:00-05:00,0.6,0.62,2.8
2006-06-16 16:00:00-04:00,0.5,0.49,-2.0
2006-10-12 03:00:00-04:00,0.73,0.75,3.21
2006-12-14 03:00:00-05:00,0.5,0.51,1.21
2007-03-08 03:00:00-05:00,0.66,0.66,0.44
2007-05-31 03:00:00-04:00,0.56,0.56,0.41
2007-10-10 03:00:00-04:00,0.83,0.91,9.89
2007-12-13 03:00:00-05:00,0.6,0.59,-1.39
2008-03-05 03:00:00-05:00,0.74,0.74,-0.3
2008-05-29 03:00:00-04:00,0.66,0.67,2.03
2008-10-08 03:00:00-04:00,0.93,0.9,-2.91
2008-12-11 03:00:00-05:00,0.62,0.6,-2.78
2009-03-04 03:00:00-05:00,0.6,0.55,-8.68
2009-05-28 03:00:00-04:00,0.52,0.52,-0.82
2009-10-07 03:00:00-04:00,0.78,0.85,9.07
2009-12-10 03:00:00-05:00,0.59,0.6,2.27
2010-03-03 03:00:00-05:00,0.71,0.7,-1.55
2010-05-27 03:00:00-04:00,0.66,0.66,0.28
2010-10-06 03:00:00-04:00,0.95,0.97,1.72
2010-12-08 03:00:00-05:00,0.69,0.71,3.13
2011-03-02 03:00:00-05:00,0.78,0.79,0.7
2011-05-25 03:00:00-04:00,0.77,0.73,-4.86
2011-10-05 03:00:00-04:00,1.1,1.08,-1.68
2011-12-08 03:00:00-05:00,0.8,0.8,0.43
2012-02-29 03:00:00-05:00,0.88,0.9,2.62
2012-05-24 03:00:00-04:00,0.87,0.88,1.24
2012-10-10 03:00:00-04:00,1.31,1.39,6.47
2012-12-12 03:00:00-05:00,0.93,0.95,2.02
2013-03-12 03:00:00-04:00,1.05,1.1,4.38
2013-05-30 03:00:00-04:00,1.03,1.04,1.04
2013-10-09 03:00:00-04:00,1.46,1.4,-3.81
2013-12-11 03:00:00-05:00,1.02,0.96,-5.65
2014-03-06 03:00:00-05:00,1.17,1.05,-9.94
2014-05-29 03:00:00-04:00,1.09,1.07,-1.98
2014-10-08 03:00:00-04:00,1.52,1.58,3.98
2014-12-10 03:00:00-05:00,1.09,1.12,2.48
2015-03-05 03:00:00-05:00,1.18,1.35,14.73
2015-05-27 21:00:00-04:00,1.15,1.17,1.35
2015-09-29 21:00:00-04:00,1.66,1.73,4.43
2015-12-08 21:00:00-05:00,1.17,1.09,-6.81
2016-03-02 21:00:00-05:00,1.28,1.24,-3.19
2016-05-25 21:00:00-04:00,1.22,1.24,1.23
2016-09-29 16:00:00-04:00,1.73,1.77,2.48
2016-12-07 16:00:00-05:00,1.19,1.24,4.3
2017-03-02 16:00:00-05:00,1.36,1.17,-13.85
2017-05-25 16:00:00-04:00,1.3,1.59,22.69
2017-10-05 16:00:00-04:00,2.02,2.08,2.91
2017-12-14 16:00:00-05:00,1.35,1.36,0.91
