ts,eps_est,eps_rep,surprise_pct
2002-05-07 16:00:00-04:00,0.02,0.03,94.73
2002-05-07 16:00:00-04:00,0.09,0.11,22.24
2002-08-06 16:00:00-04:00,0.02,0.02,-6.49
2002-08-06 16:00:00-04:00,0.12,0.14,19.7
2002-11-06 16:00:00-05:00,0.13,0.14,7.14
2003-02-04 16:00:00-05:00,0.13,0.15,13.63
2003-05-06 16:00:00-04:00,0.14,0.15,7.42
2003-08-05 16:00:00-04:00,0.15,0.15,1.14
2003-11-05 16:00:00-05:00,0.15,0.17,13.45
2004-02-03 16:00:00-05:00,0.17,0.18,3.82
2004-05-11 16:00:00-04:00,0.18,0.19,5.52
2004-08-10 16:00:00-04:00,0.2,0.21,4.79
2004-11-09 16:00:00-05:00,0.21,0.21,0.78
2005-02-08 16:00:00-05:00,0.22,0.22,0.7
2005-05-10 16:00:00-04:00,0.22,0.23,4.21
2005-08-09 16:00:00-04:00,0.24,0.25,2.15
2005-11-09 16:00:00-05:00,0.24,0.25,4.17
2006-02-07 16:00:00-05:00,0.25,0.26,5.26
2006-05-09 16:00:00-04:00,0.26,0.29,11.25
2006-08-08 16:00:00-04:00,0.28,0.3,5.84
2006-11-08 16:00:00-05:00,0.29,0.31,5.68
2007-02-06 16:00:00-05:00,0.31,0.33,5.82
2007-05-08 16:00:00-04:00,0.33,0.34,2.1
2007-08-07 16:00:00-04:00,0.35,0.36,2.18
2007-11-07 16:00:00-05:00,0.36,0.37,2.32
2008-02-06 16:00:00-05:00,0.38,0.38,0.66
2008-05-06 16:00:00-04:00,0.36,0.38,4.65
2008-08-05 16:00:00-04:00,0.39,0.4,2.56
2008-11-05 16:00:00-05:00,0.39,0.42,8.31
2009-02-04 16:00:00-05:00,0.3,0.32,8.11
2009-05-06 16:00:00-04:00,0.25,0.3,20.0
2009-08-05 16:00:00-04:00,0.29,0.31,8.39
2009-11-04 16:00:00-05:00,0.31,0.36,16.5
2010-02-03 16:00:00-05:00,0.35,0.4,14.19
2010-05-12 16:00:00-04:00,0.38,0.42,11.36
2010-08-11 16:00:00-04:00,0.42,0.43,3.28
2010-11-10 16:00:00-05:00,0.4,0.42,6.03
2011-02-09 16:00:00-05:00,0.35,0.37,6.47
2011-05-11 16:00:00-04:00,0.37,0.42,13.58
2011-08-10 16:00:00-04:00,0.38,0.4,5.22
2011-11-09 16:00:00-05:00,0.39,0.43,9.48
2012-02-08 16:00:00-05:00,0.43,0.47,9.32
2012-05-09 16:00:00-04:00,0.47,0.48,2.82
2012-08-15 16:00:00-04:00,0.45,0.47,3.44
