ts,eps_est,eps_rep,surprise_pct
2001-10-30 07:00:00-05:00,0.15,0.15,-1.03
2002-02-05 07:00:00-05:00,0.12,0.12,1.05
2002-05-08 07:00:00-04:00,0.21,0.22,0.65
2002-07-31 07:00:00-04:00,0.21,0.22,0.94
2002-10-30 07:00:00-05:00,0.19,0.2,1.04
2003-02-04 07:00:00-05:00,0.23,0.25,5.15
2003-05-06 07:00:00-04:00,0.24,0.24,0.6
2003-07-30 07:00:00-04:00,0.24,0.25,2.51
2003-10-29 07:00:00-05:00,0.23,0.23,
2004-02-12 07:00:00-05:00,0.29,0.32,9.97
2004-05-05 07:00:00-04:00,0.28,0.3,6.08
2004-08-04 07:00:00-04:00,0.27,0.28,3.7
2004-11-04 07:00:00-05:00,0.21,0.22,6.28
2005-02-02 07:00:00-05:00,0.27,0.28,2.58
2005-05-05 07:00:00-04:00,0.34,0.35,2.04
2005-08-03 07:00:00-04:00,0.31,0.33,5.46
2005-11-03 07:00:00-05:00,0.3,0.3,-0.26
2006-02-02 07:00:00-05:00,0.4,0.41,1.61
2006-05-04 07:00:00-04:00,0.36,0.39,6.98
2006-08-03 07:00:00-04:00,0.37,0.4,6.83
2006-11-01 16:00:00-05:00,0.32,0.33,3.8
2007-02-01 07:00:00-05:00,0.44,0.45,2.66
2007-05-08 06:00:00-04:00,0.45,0.46,1.21
2007-08-02 07:00:00-04:00,0.46,0.47,3.15
2007-11-01 07:00:00-04:00,0.44,0.46,4.44
2008-01-31 07:00:00-05:00,0.55,0.55,0.26
2008-05-01 07:00:00-04:00,0.51,0.51,-0.13
2008-07-31 07:00:00-04:00,0.57,0.56,-1.62
2008-10-30 07:00:00-04:00,0.56,0.56,-0.27
2009-02-19 07:00:00-05:00,0.65,0.65,0.15
2009-05-05 07:00:00-04:00,0.5,0.51,2.0
2009-08-04 07:00:00-04:00,0.64,0.65,1.28
2009-11-05 07:00:00-05:00,0.64,0.65,1.63
2010-02-08 07:00:00-05:00,0.78,0.78,-0.03
2010-05-04 07:00:00-04:00,0.58,0.6,3.98
2010-07-28 07:00:00-04:00,0.67,0.65,-2.73
2010-11-03 07:00:00-04:00,0.65,0.65,0.3
2011-02-03 07:00:00-05:00,0.79,0.8,1.36
2011-05-05 07:00:00-04:00,0.55,0.57,2.85
2011-08-04 07:00:00-04:00,0.65,0.65,0.76
2011-11-03 07:00:00-04:00,0.67,0.7,3.72
2012-02-08 06:00:00-05:00,0.89,0.89,-0.32
2012-05-02 07:00:00-04:00,0.63,0.65,3.1
2012-08-07 07:00:00-04:00,0.8,0.81,1.53
2012-11-06 07:00:00-05:00,0.84,0.85,1.45
2013-02-06 07:00:00-05:00,1.1,0.97,-11.99
2013-05-01 07:00:00-04:00,0.79,0.83,4.64
2013-08-06 07:00:00-04:00,0.96,0.97,1.17
2013-11-05 07:00:00-05:00,1.02,1.05,3.15
2014-02-11 07:00:00-05:00,1.11,1.12,0.81
2014-05-02 07:00:00-04:00,1.04,1.02,-1.86
2014-08-05 07:00:00-04:00,1.1,1.13,2.98
2014-11-04 07:00:00-05:00,1.13,1.15,1.38
2015-02-10 07:00:00-05:00,1.21,1.21,0.18
2015-05-01 07:00:00-04:00,1.08,1.14,5.73
2015-08-04 07:00:00-04:00,1.2,1.22,2.04
2015-10-30 06:00:00-04:00,1.29,1.28,-0.88
2016-02-09 06:00:00-05:00,1.53,1.53,-0.16
2016-05-03 07:00:00-04:00,1.16,1.18,1.66
2016-08-02 06:00:00-04:00,1.3,1.32,1.31
2016-11-08 06:00:00-05:00,1.57,1.64,4.58
2017-02-09 06:00:00-05:00,1.67,1.71,2.49
2017-05-02 06:00:00-04:00,1.1,1.17,6.19
2017-08-08 06:00:00-04:00,1.31,1.33,1.73
2017-11-06 06:00:00-05:00,1.49,1.5,0.97
2018-02-08 06:00:00-05:00,1.88,1.92,2.37
2018-05-02 06:00:00-04:00,1.41,1.48,4.84
2018-08-08 06:00:00-04:00,1.61,1.69,4.95
2018-11-06 06:00:00-05:00,1.71,1.73,0.98
2019-02-20 06:00:00-05:00,2.06,2.14,3.73
2019-05-01 06:00:00-04:00,1.51,1.62,7.58
2019-08-07 06:00:00-04:00,1.69,1.89,11.64
2019-11-06 06:00:00-05:00,1.77,1.84,4.05
2020-02-12 06:00:00-05:00,1.69,1.73,2.65
2020-05-06 07:00:00-04:00,1.63,1.91,17.26
2020-08-05 06:00:00-04:00,1.92,2.64,37.47
2020-11-06 06:00:00-05:00,1.34,1.66,24.32
2021-02-16 06:00:00-05:00,1.24,1.3,4.65
2021-05-04 06:00:00-04:00,1.72,2.04,18.8
2021-08-04 06:00:00-04:00,2.07,2.42,17.1
2021-11-03 06:00:00-04:00,1.79,1.97,10.35
2022-02-09 06:00:00-05:00,1.88,1.98,5.37
2022-05-04 06:00:00-04:00,2.15,2.22,3.49
2022-08-03 06:00:00-04:00,2.18,2.4,10.1
2022-11-02 06:00:00-04:00,1.99,2.15,7.94
2023-02-08 06:00:00-05:00,1.93,1.99,3.14
2023-05-03 06:00:00-04:00,2.09,2.2,5.16
2023-08-02 06:00:00-04:00,2.12,2.21,4.23
2023-11-01 06:00:00-04:00,2.13,2.21,3.72
2024-02-07 06:00:00-05:00,1.99,2.12,6.59
2024-05-01 06:00:00-04:00,1.7,1.31,-22.79
2024-08-07 06:00:00-04:00,1.73,1.83,5.95
2024-11-06 06:00:00-05:00,1.46,1.09,-25.23
2025-02-12 06:00:00-05:00,0.92,1.19,29.56
2025-05-01 06:00:00-04:00,1.67,2.25,34.49
2025-07-31 06:00:00-04:00,1.46,1.81,23.85
2025-10-29 06:00:00-04:00,1.36,1.6,17.93
2026-02-10 06:00:00-05:00,1.0,1.09,9.38
2026-05-06 06:00:00-04:00,2.21,2.57,16.48
2026-07-30 08:00:00-04:00,1.83,,
