ts,eps_est,eps_rep,surprise_pct
2001-10-25 08:00:00-04:00,0.72,0.8,11.58
2002-01-29 09:00:00-05:00,0.44,0.24,-47.07
2002-04-25 09:00:00-04:00,0.35,0.44,25.0
2002-07-30 09:00:00-04:00,0.69,0.58,-16.18
2002-10-31 09:00:00-05:00,0.65,0.59,-9.58
2003-01-31 09:00:00-05:00,0.64,0.5,-22.24
2003-05-02 08:00:00-04:00,0.9,1.01,13.41
2003-08-01 08:00:00-04:00,0.76,0.81,5.92
2003-10-31 08:00:00-05:00,0.8,0.92,14.43
2004-01-30 08:00:00-05:00,0.78,0.78,-0.77
2004-04-30 08:00:00-04:00,1.01,1.21,19.92
2004-07-30 08:00:00-04:00,1.35,1.53,13.13
2004-10-29 08:00:00-04:00,1.36,1.28,-5.6
2005-01-28 08:00:00-05:00,1.38,1.56,13.29
2005-04-29 08:00:00-04:00,1.38,1.28,-6.98
2005-07-29 08:00:00-04:00,1.65,1.76,6.39
2005-10-28 08:00:00-04:00,1.85,1.64,-11.13
2006-01-27 08:00:00-05:00,1.89,1.86,-1.64
2006-04-28 08:00:00-04:00,1.78,1.8,0.95
2006-07-28 08:00:00-04:00,2.17,2.1,-3.31
2006-10-27 08:00:00-04:00,2.04,2.29,12.23
2007-02-02 08:00:00-05:00,1.73,1.74,0.46
2007-04-27 08:00:00-04:00,1.68,1.86,10.91
2007-07-27 08:00:00-04:00,2.3,2.27,-1.3
2007-11-02 08:00:00-04:00,2.07,1.94,-6.31
2008-02-01 08:00:00-05:00,2.3,2.32,1.08
2008-05-02 08:00:00-04:00,2.41,2.48,2.93
2008-08-01 08:00:00-04:00,3.02,2.9,-4.08
2008-10-31 08:00:00-04:00,3.27,3.85,17.64
2009-01-30 08:00:00-05:00,1.82,2.13,17.04
2009-05-01 08:00:00-04:00,0.81,0.72,-10.67
2009-07-31 08:00:00-04:00,0.96,0.87,-9.79
2009-10-30 08:00:00-04:00,1.43,1.72,20.36
2010-01-29 08:00:00-05:00,1.7,1.53,-10.11
2010-04-30 08:00:00-04:00,1.93,2.36,22.0
2010-07-30 08:00:00-04:00,2.46,2.7,9.63
2010-10-29 08:00:00-04:00,2.13,1.87,-12.12
2011-01-28 08:00:00-05:00,2.43,2.64,8.86
2011-04-29 08:00:00-04:00,2.97,3.09,4.02
2011-07-29 08:00:00-04:00,3.56,3.85,8.0
2011-10-28 08:00:00-04:00,3.44,3.92,14.06
2012-01-27 08:00:00-05:00,2.92,2.58,-11.59
2012-04-27 08:00:00-04:00,3.22,3.17,-1.71
2012-07-27 08:00:00-04:00,3.24,3.56,10.0
2012-11-02 08:00:00-04:00,2.87,2.37,-17.3
2013-02-01 08:00:00-05:00,3.05,2.99,-1.71
2013-04-26 08:00:00-04:00,3.08,3.18,3.3
2013-08-02 08:00:00-04:00,2.98,2.77,-6.92
2013-11-01 08:00:00-04:00,2.74,2.57,-6.19
2014-01-31 08:00:00-05:00,2.58,2.57,-0.56
2014-05-02 08:00:00-04:00,2.48,2.36,-4.7
2014-08-01 08:00:00-04:00,2.67,2.98,11.78
2014-10-31 08:00:00-04:00,2.53,2.95,16.51
2015-01-30 08:00:00-05:00,1.65,1.85,12.1
2015-05-01 08:00:00-04:00,0.81,1.37,69.6
2015-07-31 08:00:00-04:00,1.16,0.97,-16.02
2015-10-30 08:00:00-04:00,0.74,1.09,46.97
2016-01-29 08:00:00-05:00,0.51,0.27,-46.8
2016-04-29 08:00:00-04:00,-0.16,-0.11,31.35
2016-07-29 08:00:00-04:00,0.32,0.35,9.69
2016-10-28 08:00:00-04:00,0.39,0.49,24.89
2017-01-27 08:00:00-05:00,0.64,0.21,-66.94
2017-04-28 08:00:00-04:00,0.87,1.23,41.44
2017-07-28 08:00:00-04:00,0.87,0.91,4.62
2017-10-27 08:00:00-04:00,0.97,0.85,-12.69
2018-02-02 08:00:00-05:00,1.24,0.72,-41.72
2018-04-27 08:00:00-04:00,1.49,1.9,27.57
2018-07-27 08:00:00-04:00,2.09,1.78,-14.83
2018-11-02 08:00:00-04:00,2.06,2.44,18.36
2019-02-01 08:00:00-05:00,1.89,1.95,3.32
2019-04-26 08:00:00-04:00,1.33,1.47,10.25
2019-08-02 08:00:00-04:00,1.82,1.77,-2.78
2019-11-01 08:00:00-04:00,1.46,1.55,6.07
2020-01-31 08:00:00-05:00,1.46,1.49,2.0
2020-05-01 07:00:00-04:00,0.67,1.29,93.81
2020-07-31 06:00:00-04:00,-0.92,-1.59,-73.22
2020-10-30 06:00:00-04:00,-0.27,0.11,141.06
2021-01-29 07:00:00-05:00,0.09,-0.01,-111.36
2021-04-30 06:00:00-04:00,0.94,0.9,-4.57
2021-07-30 06:00:00-04:00,1.6,1.71,6.57
2021-10-29 06:00:00-04:00,2.19,2.96,35.04
2022-01-28 06:00:00-05:00,3.12,2.56,-18.04
2022-04-29 06:00:00-04:00,3.45,3.36,-2.68
2022-07-29 06:00:00-04:00,5.03,5.82,15.68
2022-10-28 06:00:00-04:00,4.92,5.56,13.09
2023-01-27 06:00:00-05:00,4.3,4.09,-4.82
2023-04-28 06:00:00-04:00,3.38,3.55,5.06
2023-07-23 16:00:00-04:00,2.98,3.08,3.52
2023-10-27 03:00:00-04:00,3.68,3.05,-17.07
2024-02-02 06:00:00-05:00,3.22,3.45,7.26
2024-04-26 03:00:00-04:00,2.91,2.93,0.59
2024-08-02 06:00:00-04:00,3.0,2.55,-14.9
2024-11-01 06:00:00-04:00,2.42,2.51,3.86
2025-01-31 06:00:00-05:00,2.11,2.06,-2.28
2025-05-02 06:00:00-04:00,2.15,2.18,1.31
2025-08-01 06:00:00-04:00,1.74,1.77,1.71
2025-10-31 06:00:00-04:00,1.71,1.85,8.39
2026-01-30 06:00:00-05:00,1.44,1.52,5.2
2026-05-01 06:00:00-04:00,0.97,1.41,45.56
2026-07-31 08:00:00-04:00,5.11,,
