ts,eps_est,eps_rep,surprise_pct
2001-10-17 07:00:00-04:00,0.68,0.69,1.18
2002-01-24 07:00:00-05:00,0.43,0.45,3.49
2002-04-18 07:00:00-04:00,0.6,0.6,-0.5
2002-07-18 07:00:00-04:00,0.46,0.49,6.13
2002-10-14 18:00:00-04:00,0.75,0.77,2.67
2003-01-23 08:00:00-05:00,0.58,0.56,-2.42
2003-04-16 07:00:00-04:00,0.63,0.76,19.87
2003-07-17 07:00:00-04:00,0.42,0.42,1.2
2003-10-21 07:00:00-04:00,0.66,0.65,-1.37
2004-01-23 07:00:00-05:00,0.49,0.42,-14.98
2004-04-20 07:00:00-04:00,0.69,0.69,-1.01
2004-07-27 07:00:00-04:00,0.4,0.41,0.22
2004-10-21 07:00:00-04:00,0.66,0.61,-8.99
2005-01-27 07:00:00-05:00,0.65,0.61,-5.86
2005-05-04 07:00:00-04:00,0.7,0.72,2.71
2005-08-03 07:00:00-04:00,0.4,0.5,22.76
2005-11-02 19:00:00-05:00,0.6,0.54,-9.85
2006-01-26 07:00:00-05:00,0.39,0.51,30.77
2006-05-03 07:00:00-04:00,0.76,0.82,7.66
2006-08-03 07:00:00-04:00,0.42,0.42,0.72
2006-11-01 07:00:00-05:00,0.78,0.94,19.62
2007-01-31 07:00:00-05:00,0.38,0.39,2.73
2007-05-02 07:00:00-04:00,0.74,0.75,1.48
2007-08-01 07:00:00-04:00,0.44,0.45,2.3
2007-11-01 07:00:00-04:00,0.87,0.86,-0.69
2008-01-30 06:00:00-05:00,0.55,0.52,-5.63
2008-05-01 07:00:00-04:00,0.88,1.0,13.07
2008-07-31 07:00:00-04:00,0.51,0.5,-1.96
2008-10-30 07:00:00-04:00,0.9,0.94,4.16
2009-01-29 07:00:00-05:00,0.68,0.72,5.4
2009-04-30 07:00:00-04:00,0.88,0.97,10.86
2009-07-31 07:00:00-04:00,0.64,0.68,6.25
2009-10-30 07:00:00-04:00,0.9,0.99,9.63
2010-01-28 07:00:00-05:00,0.59,0.63,5.89
2010-04-29 07:00:00-04:00,0.94,0.96,1.76
2010-07-28 07:00:00-04:00,0.67,0.72,7.87
2010-10-29 07:00:00-04:00,1.06,1.03,-2.83
2011-01-28 07:00:00-05:00,0.66,0.63,-4.7
2011-04-28 07:00:00-04:00,0.91,0.93,2.45
2011-07-28 07:00:00-04:00,0.6,0.59,-0.94
2011-10-28 07:00:00-04:00,0.94,0.95,1.36
2012-01-27 07:00:00-05:00,0.64,0.58,-9.22
2012-04-26 07:00:00-04:00,0.86,0.85,-0.94
2012-08-01 07:00:00-04:00,0.6,0.59,-1.65
2012-10-25 07:00:00-04:00,0.97,0.92,-5.33
2013-01-31 07:00:00-05:00,0.69,0.69,-0.53
2013-04-25 07:00:00-04:00,0.9,0.83,-7.46
2013-08-06 07:00:00-04:00,0.65,0.62,-4.38
2013-11-05 07:00:00-05:00,0.9,1.0,10.73
2014-01-31 07:00:00-05:00,0.89,0.8,-9.66
2014-04-30 07:00:00-04:00,0.97,1.04,7.76
