ts,eps_est,eps_rep,surprise_pct
2001-10-25 06:00:00-04:00,1.49,1.44,-3.52
2002-01-31 06:00:00-05:00,0.41,-0.09,-121.82
2002-04-25 06:00:00-04:00,0.59,0.63,7.69
2002-04-25 06:00:00-04:00,1.19,0.36,-69.7
2002-07-25 06:00:00-04:00,2.76,2.97,7.61
2002-07-25 06:00:00-04:00,2.21,2.52,14.29
2002-10-24 06:00:00-04:00,1.44,1.44,
2003-01-30 07:00:00-05:00,0.23,-1.62,-820.01
2003-04-24 06:00:00-04:00,-0.99,0.81,181.82
2003-07-24 06:00:00-04:00,3.06,3.87,26.47
2003-10-23 06:00:00-04:00,2.32,3.24,39.53
2004-01-29 06:00:00-05:00,2.47,4.5,82.48
2004-04-29 06:00:00-04:00,3.76,4.5,19.63
2004-07-29 06:00:00-04:00,6.01,6.48,7.77
2004-10-28 06:00:00-04:00,5.63,5.85,3.9
2005-01-27 06:00:00-05:00,6.33,7.65,20.81
2005-04-28 06:00:00-04:00,9.44,12.06,27.79
2005-07-28 06:00:00-04:00,10.97,10.8,-1.52
2005-10-27 06:00:00-04:00,6.89,7.38,7.11
2006-01-26 06:00:00-05:00,9.43,9.18,-2.6
2006-04-27 06:00:00-04:00,10.79,11.16,3.46
2006-07-27 06:00:00-04:00,10.36,9.45,-8.75
2006-10-26 06:00:00-04:00,8.2,8.82,7.6
2007-01-25 06:00:00-05:00,8.36,8.82,5.47
2007-04-26 06:00:00-04:00,8.99,9.0,0.08
2007-07-26 06:00:00-04:00,9.43,9.63,2.11
2007-10-25 06:00:00-04:00,8.14,7.56,-7.08
2008-01-29 06:00:00-05:00,7.23,7.56,4.54
2008-04-24 06:00:00-04:00,8.51,8.91,4.65
2008-07-24 06:00:00-04:00,7.68,7.29,-5.1
2008-10-23 06:00:00-04:00,5.01,4.59,-8.38
2009-02-03 06:00:00-05:00,0.32,-3.06,-1071.44
2009-04-30 06:00:00-04:00,-1.14,1.08,195.01
2009-07-30 06:00:00-04:00,-0.68,0.45,166.06
2009-10-22 06:00:00-04:00,0.9,2.16,141.02
2010-02-02 06:00:00-05:00,0.99,1.62,64.17
2010-04-28 06:00:00-04:00,2.64,3.87,46.41
2010-08-03 06:00:00-04:00,5.05,4.86,-3.71
2010-10-28 06:00:00-04:00,3.7,4.86,31.2
2011-02-03 06:00:00-05:00,3.22,4.19,30.3
2011-04-28 06:00:00-04:00,6.02,7.38,22.69
2011-07-27 06:00:00-04:00,7.1,7.65,7.74
2011-10-27 06:00:00-04:00,5.7,5.58,-2.12
2012-02-02 07:00:00-05:00,2.69,2.25,-16.2
2012-04-26 07:00:00-04:00,5.37,5.49,2.28
2012-07-26 06:00:00-04:00,5.83,4.95,-15.03
2012-10-23 21:00:00-04:00,3.42,3.78,10.39
2013-01-31 07:00:00-05:00,3.17,2.97,-6.44
2013-04-25 07:00:00-04:00,6.2,6.21,0.16
2013-07-25 07:00:00-04:00,6.93,5.76,-16.88
2013-10-24 07:00:00-04:00,5.21,4.5,-13.6
2014-01-29 07:00:00-05:00,4.45,5.85,31.43
2014-04-23 07:00:00-04:00,6.75,7.11,5.33
2014-07-23 06:00:00-04:00,6.75,6.66,-1.33
2014-10-22 07:00:00-04:00,5.4,6.48,20.0
