ts,eps_est,eps_rep,surprise_pct
2001-11-20 08:00:00-05:00,-0.23,-0.22,2.17
2002-02-12 08:00:00-05:00,-0.12,-0.08,31.82
2002-05-14 08:00:00-04:00,0.22,0.3,33.48
2002-08-13 08:00:00-04:00,0.18,0.31,71.83
2002-11-19 08:00:00-05:00,0.14,0.14,2.94
2003-02-11 08:00:00-05:00,0.07,0.14,100.0
2003-05-13 08:00:00-04:00,0.47,0.54,13.59
2003-08-12 08:00:00-04:00,0.42,0.51,22.01
2003-11-25 08:00:00-05:00,0.09,0.14,56.98
2004-02-17 08:00:00-05:00,0.26,0.34,30.77
2004-05-18 08:00:00-04:00,0.88,0.94,7.18
2004-08-17 08:00:00-04:00,0.75,0.79,4.91
2004-11-23 08:00:00-05:00,0.49,0.71,45.06
2005-02-15 08:00:00-05:00,0.46,0.45,-2.2
2005-05-17 08:00:00-04:00,1.07,1.22,13.45
2005-08-16 08:00:00-04:00,0.95,0.79,-16.67
2005-11-22 08:00:00-05:00,0.4,0.48,21.52
2006-02-14 08:00:00-05:00,0.42,0.47,12.71
2006-05-16 08:00:00-04:00,1.43,1.57,9.75
2006-08-15 07:00:00-04:00,0.91,0.93,1.98
2006-11-21 07:00:00-05:00,0.47,0.6,27.66
2007-02-14 07:00:00-05:00,0.4,0.52,29.18
2007-05-16 07:00:00-04:00,1.21,1.36,12.16
2007-08-15 07:00:00-04:00,1.0,1.19,18.94
2007-11-21 07:00:00-05:00,0.77,0.94,21.85
2008-02-13 07:00:00-05:00,0.77,0.83,7.54
2008-05-14 07:00:00-04:00,1.74,1.74,-0.06
2008-08-13 07:00:00-04:00,1.36,1.32,-2.9
2008-11-26 07:00:00-05:00,0.99,0.89,-10.04
2009-02-18 07:00:00-05:00,0.62,0.48,-22.83
2009-05-20 07:00:00-04:00,1.07,1.11,3.64
2009-08-19 07:00:00-04:00,0.56,0.99,75.84
2009-11-25 07:00:00-05:00,0.02,-0.53,-2545.78
2010-02-17 07:00:00-05:00,0.19,0.57,198.43
2010-05-19 07:00:00-04:00,0.99,1.28,29.25
2010-08-18 07:00:00-04:00,1.22,1.44,18.17
2010-11-24 07:00:00-05:00,0.96,1.07,11.84
2011-02-16 07:00:00-05:00,1.07,1.2,11.64
2011-05-18 07:00:00-04:00,2.06,2.12,2.82
2011-08-17 07:00:00-04:00,1.67,1.69,1.12
2011-11-23 07:00:00-05:00,1.43,1.62,13.34
2012-02-15 07:00:00-05:00,1.26,1.3,3.32
2012-05-16 07:00:00-04:00,2.54,2.61,2.78
2012-08-15 07:00:00-04:00,2.32,1.98,-14.73
2012-11-21 07:00:00-05:00,1.86,1.75,-6.06
2013-02-13 07:00:00-05:00,1.4,1.65,17.9
2013-05-15 07:00:00-04:00,2.73,2.76,0.95
2013-08-14 07:00:00-04:00,2.16,2.56,18.62
2013-11-20 07:00:00-05:00,1.89,2.11,11.81
2014-02-12 07:00:00-05:00,1.53,1.81,18.37
2014-05-14 07:00:00-04:00,2.5,2.65,6.02
2014-08-13 07:00:00-04:00,2.22,2.33,5.18
2014-11-26 07:00:00-05:00,1.57,1.83,16.46
2015-02-20 07:00:00-05:00,0.82,1.12,35.76
2015-05-22 07:00:00-04:00,1.56,2.03,30.52
2015-08-21 07:00:00-04:00,1.44,1.53,6.61
2015-11-25 06:00:00-05:00,0.75,1.08,44.8
2016-02-19 06:00:00-05:00,0.7,0.8,14.13
2016-05-20 06:00:00-04:00,1.48,1.56,5.49
2016-08-19 06:00:00-04:00,0.94,1.55,64.63
2016-11-23 06:00:00-05:00,0.39,0.9,133.33
2017-02-17 06:00:00-05:00,0.54,0.61,12.12
2017-05-19 06:00:00-04:00,1.69,2.49,47.51
2017-08-18 06:00:00-04:00,1.95,1.97,1.15
2017-11-22 06:00:00-05:00,1.44,1.57,8.99
2018-02-16 06:00:00-05:00,1.2,1.31,9.62
2018-05-18 06:00:00-04:00,3.4,3.67,8.02
2018-08-17 06:00:00-04:00,2.75,2.78,0.92
2018-11-21 06:00:00-05:00,2.45,2.3,-6.07
2019-02-15 06:00:00-05:00,1.76,1.54,-12.33
2019-05-17 06:00:00-04:00,3.63,3.52,-3.06
2019-08-16 06:00:00-04:00,2.84,2.71,-4.57
2019-11-27 06:00:00-05:00,2.14,2.14,0.04
2020-02-21 06:00:00-05:00,1.27,1.63,28.16
2020-05-22 06:00:00-04:00,1.58,2.11,33.44
2020-08-21 06:00:00-04:00,1.25,2.57,105.4
2020-11-25 06:00:00-05:00,1.34,2.39,77.77
2021-02-19 06:00:00-05:00,2.21,3.87,75.12
2021-05-21 06:00:00-04:00,4.52,5.68,25.7
2021-08-20 06:00:00-04:00,4.58,5.32,16.23
