ts,eps_est,eps_rep,surprise_pct
2001-10-18 07:00:00-04:00,0.15,0.15,-0.16
2002-01-24 06:00:00-05:00,0.13,0.13,
2002-04-18 06:00:00-04:00,0.14,0.14,-0.61
2002-07-18 06:00:00-04:00,0.16,0.17,1.54
2002-10-17 06:00:00-04:00,0.18,0.19,1.99
2003-01-30 07:00:00-05:00,0.19,0.2,2.6
2003-04-17 07:00:00-04:00,0.16,0.16,1.25
2003-07-17 07:00:00-04:00,0.19,0.2,1.8
2003-10-16 06:00:00-04:00,0.21,0.22,3.08
2004-01-29 07:00:00-05:00,0.24,0.24,1.89
2004-04-22 06:00:00-04:00,0.21,0.23,7.4
2004-07-22 06:00:00-04:00,0.27,0.28,3.58
2004-10-21 06:00:00-04:00,0.3,0.31,4.91
2005-01-27 06:00:00-05:00,0.33,0.33,0.92
2005-04-21 06:00:00-04:00,0.28,0.29,1.93
2005-07-21 06:00:00-04:00,0.33,0.34,0.45
2005-10-20 06:00:00-04:00,0.35,0.35,-0.3
2006-01-26 06:00:00-05:00,0.4,0.41,0.87
2006-04-20 06:00:00-04:00,0.33,0.33,1.49
2006-07-20 06:00:00-04:00,0.39,0.4,2.47
2006-10-19 06:00:00-04:00,0.41,0.42,1.34
2007-01-25 06:00:00-05:00,0.47,0.48,1.93
2007-04-19 06:00:00-04:00,0.38,0.39,1.49
2007-07-19 06:00:00-04:00,0.46,0.47,1.57
2007-10-18 06:00:00-04:00,0.48,0.49,1.14
2008-01-24 06:00:00-05:00,0.56,0.56,0.43
2008-04-17 06:00:00-04:00,0.44,0.45,1.0
2008-07-17 06:00:00-04:00,0.53,0.55,3.17
2008-10-16 06:00:00-04:00,0.56,0.57,0.94
2009-01-26 06:00:00-05:00,0.52,0.56,6.14
2009-04-23 06:00:00-04:00,0.36,0.36,-0.74
2009-07-23 06:00:00-04:00,0.44,0.45,1.06
2009-10-22 06:00:00-04:00,0.43,0.45,3.12
2010-01-28 06:00:00-05:00,0.54,0.56,3.74
2010-04-22 05:00:00-04:00,0.44,0.48,8.86
2010-07-22 06:00:00-04:00,0.53,0.56,5.11
2010-10-21 06:00:00-04:00,0.55,0.6,9.14
2011-01-27 06:00:00-05:00,0.66,0.67,1.05
2011-04-21 06:00:00-04:00,0.57,0.61,6.94
2011-07-21 06:00:00-04:00,0.67,0.69,2.83
2011-10-20 06:00:00-04:00,0.7,0.73,3.98
2012-01-31 06:00:00-05:00,0.78,0.81,3.33
2012-04-19 06:00:00-04:00,0.71,0.73,3.47
2012-07-19 06:00:00-04:00,0.8,0.84,4.44
2012-10-18 06:00:00-04:00,0.79,0.77,-2.11
2013-01-29 06:00:00-05:00,0.87,0.87,0.05
2013-04-18 06:00:00-04:00,0.77,0.75,-2.07
2013-07-18 06:00:00-04:00,0.85,0.87,2.46
2013-10-17 06:00:00-04:00,0.83,0.84,1.38
2014-01-28 06:00:00-05:00,0.96,0.96,0.33
2014-04-16 16:00:00-04:00,0.8,0.81,1.37
2014-07-17 06:00:00-04:00,0.94,0.93,-0.96
2014-10-16 06:00:00-04:00,0.89,0.9,0.86
2015-01-27 06:00:00-05:00,1.04,1.04,0.46
2015-04-23 06:00:00-04:00,0.93,0.93,-0.19
2015-07-23 06:00:00-04:00,1.04,1.08,4.31
2015-10-22 06:00:00-04:00,1.04,1.05,1.33
2016-01-26 06:00:00-05:00,1.27,1.27,0.2
2016-04-21 06:00:00-04:00,1.03,1.08,4.92
2016-07-25 06:00:00-04:00,1.22,1.25,2.11
2016-10-20 06:00:00-04:00,0.82,0.87,5.47
2017-01-31 06:00:00-05:00,1.03,1.05,1.91
2017-04-20 06:00:00-04:00,0.84,0.85,0.85
2017-07-20 06:00:00-04:00,0.97,0.99,2.28
2017-10-19 06:00:00-04:00,0.95,1.0,4.87
2018-01-30 06:00:00-05:00,1.16,1.19,2.82
2018-04-19 06:00:00-04:00,0.94,0.99,5.2
2018-07-19 06:00:00-04:00,1.09,1.15,5.87
2018-10-18 06:00:00-04:00,1.08,1.1,2.28
2019-01-29 06:00:00-05:00,1.27,1.28,0.64
2019-04-18 06:00:00-04:00,1.02,1.07,5.01
2019-07-18 06:00:00-04:00,1.16,1.19,2.52
2019-10-24 06:00:00-04:00,1.15,1.16,0.79
2020-01-30 06:00:00-05:00,1.25,1.28,2.31
2020-05-06 17:00:00-04:00,1.02,1.05,2.68
2020-07-23 06:00:00-04:00,1.09,1.44,31.94
2020-10-22 06:00:00-04:00,1.36,1.72,26.39
2021-01-28 06:00:00-05:00,1.88,2.08,10.9
2021-04-22 06:00:00-04:00,1.77,2.52,42.07
2021-07-22 06:00:00-04:00,2.05,2.46,19.99
2021-10-21 06:00:00-04:00,2.15,2.39,11.04
2022-01-27 06:00:00-05:00,2.54,2.69,5.99
2022-04-21 06:00:00-04:00,2.66,2.76,3.6
2022-07-21 06:00:00-04:00,2.34,2.76,18.09
2022-10-20 06:00:00-04:00,2.25,2.56,13.54
2023-01-24 06:00:00-05:00,2.55,2.87,12.62
2023-04-25 06:00:00-04:00,2.26,2.36,4.36
2023-07-25 06:00:00-04:00,2.02,2.05,1.73
2023-10-24 06:00:00-04:00,1.88,2.02,7.55
2024-01-30 06:00:00-05:00,1.91,2.09,9.15
2024-04-23 06:00:00-04:00,1.71,1.92,12.41
2024-07-23 06:00:00-04:00,1.57,1.72,9.3
2024-10-22 06:00:00-04:00,1.57,1.71,8.94
2025-01-29 06:00:00-05:00,2.16,2.14,-1.12
2025-04-22 06:00:00-04:00,1.64,1.88,14.38
2025-07-22 06:00:00-04:00,1.64,1.8,9.49
2025-10-21 06:00:00-04:00,1.72,1.89,9.78
2026-01-28 06:00:00-05:00,2.19,2.23,1.99
2026-04-21 06:00:00-04:00,1.94,2.06,6.45
2026-07-21 08:00:00-04:00,1.84,,
