ts,eps_est,eps_rep,surprise_pct
2001-11-08 16:00:00-05:00,0.08,0.06,-25.84
2002-01-31 16:00:00-05:00,0.1,0.15,47.06
2002-04-25 16:00:00-04:00,0.1,0.13,29.35
2002-08-01 16:00:00-04:00,0.17,0.17,0.59
2002-11-07 16:00:00-05:00,0.11,0.11,2.8
2003-01-30 16:00:00-05:00,0.15,0.17,10.75
2003-05-01 16:00:00-04:00,0.11,0.11,-3.75
2003-07-31 16:00:00-04:00,0.16,0.19,16.11
2003-11-20 16:00:00-05:00,0.16,0.17,9.04
2004-02-11 09:00:00-05:00,0.22,0.33,46.81
2004-05-12 16:00:00-04:00,0.21,0.26,26.83
2004-08-10 16:00:00-04:00,0.27,0.31,15.71
2004-11-18 16:00:00-05:00,0.18,0.21,17.54
2005-01-31 16:00:00-05:00,0.29,0.33,12.18
2005-05-11 14:00:00-04:00,0.32,0.32,1.27
2005-08-09 16:00:00-04:00,0.39,0.42,9.02
2005-11-17 16:00:00-05:00,0.18,0.2,10.27
2006-02-06 16:00:00-05:00,0.3,0.35,17.85
2006-05-09 16:00:00-04:00,0.31,0.37,19.74
2006-08-09 08:00:00-04:00,0.44,0.51,15.55
2006-11-09 16:00:00-05:00,0.33,0.36,9.09
2007-02-07 16:00:00-05:00,0.39,0.5,26.81
2007-05-08 16:00:00-04:00,0.37,0.44,19.43
2007-08-01 16:00:00-04:00,0.55,0.58,5.05
2007-11-08 16:00:00-05:00,0.42,0.42,0.76
2008-02-05 16:00:00-05:00,0.52,0.63,20.52
2008-05-06 16:00:00-04:00,0.5,0.58,14.9
2008-07-30 16:00:00-04:00,0.61,0.62,2.36
2008-11-06 16:00:00-05:00,0.49,0.43,-12.16
2009-02-03 16:00:00-05:00,0.5,0.41,-18.6
2009-05-05 16:00:00-04:00,0.4,0.43,7.41
2009-07-30 16:00:00-04:00,0.51,0.52,2.32
2009-11-12 16:00:00-05:00,0.41,0.46,12.99
2010-02-09 16:00:00-05:00,0.38,0.47,22.34
