ts,eps_est,eps_rep,surprise_pct
2001-10-16 16:00:00-04:00,2.28,3.03,32.89
2002-01-17 07:00:00-05:00,1.33,1.05,-20.99
2002-04-17 06:00:00-04:00,1.3,1.44,10.6
2002-07-23 06:00:00-04:00,1.57,1.68,7.28
2002-10-24 06:00:00-04:00,1.7,1.56,-8.31
2003-01-28 06:00:00-05:00,0.89,0.96,7.56
2003-04-30 06:00:00-04:00,1.05,1.29,22.51
2003-07-30 06:00:00-04:00,0.92,0.9,-2.28
2003-10-30 06:00:00-05:00,1.09,1.05,-3.31
2004-01-29 06:00:00-05:00,0.41,0.66,62.96
2004-04-29 07:00:00-04:00,1.13,0.96,-14.67
2004-07-29 06:00:00-04:00,0.73,1.26,72.72
2004-11-03 06:00:00-05:00,1.12,1.14,1.55
2005-02-02 07:00:00-05:00,0.71,0.72,2.07
2005-05-04 07:00:00-04:00,1.28,1.29,0.7
2005-08-03 07:00:00-04:00,1.14,0.9,-20.84
2005-11-02 07:00:00-05:00,1.44,1.68,16.67
2006-02-01 07:00:00-05:00,1.1,1.26,14.44
2006-05-02 06:00:00-04:00,1.48,1.44,-2.83
2006-08-03 06:00:00-04:00,1.16,1.29,11.69
2006-11-03 07:00:00-05:00,1.67,1.44,-13.98
2007-02-06 07:00:00-05:00,1.2,1.29,7.77
2007-05-08 07:00:00-04:00,0.92,0.9,-2.13
2007-08-07 07:00:00-04:00,0.6,0.75,25.0
2007-11-02 07:00:00-04:00,1.17,1.44,22.76
2008-02-05 07:00:00-05:00,0.71,0.81,14.89
2008-05-02 07:00:00-04:00,0.92,1.05,14.13
2008-08-05 07:00:00-04:00,0.74,0.81,9.24
2008-11-05 07:00:00-05:00,1.33,0.99,-25.53
2009-02-05 07:00:00-05:00,0.75,0.81,8.56
2009-05-05 07:00:00-04:00,0.94,0.84,-11.06
2009-08-04 07:00:00-04:00,0.76,0.78,2.77
2009-10-30 07:00:00-04:00,1.14,1.2,4.93
2010-02-12 14:00:00-05:00,0.76,0.84,10.94
2010-05-04 07:00:00-04:00,0.95,1.08,13.63
2010-08-03 07:00:00-04:00,0.85,1.02,20.06
2010-10-28 07:00:00-04:00,1.27,1.53,20.52
2011-02-17 07:00:00-05:00,0.68,0.63,-7.22
2011-05-03 07:00:00-04:00,1.04,1.17,12.11
2011-08-02 07:00:00-04:00,0.92,0.99,7.47
2011-11-03 07:00:00-04:00,1.39,1.5,7.63
2012-02-16 07:00:00-05:00,0.63,0.72,13.44
2012-05-04 07:00:00-04:00,1.1,1.14,3.51
2012-08-02 07:00:00-04:00,1.1,1.02,-7.17
2012-11-08 07:00:00-05:00,1.45,1.47,1.48
2013-02-13 07:00:00-05:00,0.64,0.7,8.58
2013-05-03 07:00:00-04:00,1.04,1.02,-1.96
2013-08-07 07:00:00-04:00,0.95,0.87,-8.01
2013-11-06 07:00:00-05:00,1.52,1.46,-3.64
2014-02-18 07:00:00-05:00,0.95,1.0,5.21
2014-05-07 07:00:00-04:00,1.12,1.17,4.72
2014-08-06 21:00:00-04:00,0.98,1.11,13.36
2014-11-05 07:00:00-05:00,1.52,1.4,-7.77
2015-02-18 07:00:00-05:00,0.87,0.86,-1.47
2015-05-01 07:00:00-04:00,1.14,1.11,-2.47
2015-08-06 07:00:00-04:00,0.99,0.95,-4.25
2015-11-05 07:00:00-05:00,1.51,1.47,-2.81
2016-02-18 07:00:00-05:00,0.92,0.87,-5.27
2016-05-03 07:00:00-04:00,1.14,1.13,-0.79
2016-08-04 07:00:00-04:00,1.01,1.07,6.06
2016-11-04 07:00:00-04:00,1.58,1.68,6.33
