ts,eps_est,eps_rep,surprise_pct
2001-10-18 08:00:00-04:00,0.22,0.22,0.46
2002-02-14 08:00:00-05:00,0.15,0.15,-1.32
2002-04-23 08:00:00-04:00,0.18,0.19,2.78
2002-07-23 09:00:00-04:00,0.21,0.23,8.49
2002-10-22 08:00:00-04:00,0.27,0.28,5.26
2003-02-18 08:00:00-05:00,0.22,0.23,1.81
2003-04-22 08:00:00-04:00,0.21,0.21,1.45
2003-07-22 09:00:00-04:00,0.25,0.25,-1.57
2003-10-21 09:00:00-04:00,0.31,0.32,4.23
2004-02-06 08:00:00-05:00,0.24,0.26,6.56
2004-04-22 08:00:00-04:00,0.24,0.26,7.0
2004-07-22 09:00:00-04:00,0.3,0.3,1.69
2004-10-21 08:00:00-04:00,0.35,0.36,3.75
2005-02-03 09:00:00-05:00,0.28,0.27,-2.53
2005-04-21 08:00:00-04:00,0.28,0.29,2.84
2005-07-25 08:00:00-04:00,0.33,0.33,1.23
2005-10-21 08:00:00-04:00,0.4,0.4,1.27
2006-02-10 08:00:00-05:00,0.32,0.32,0.62
2006-04-21 08:00:00-04:00,0.3,0.3,-0.58
2006-07-25 08:00:00-04:00,0.35,0.36,1.5
2006-10-20 08:00:00-04:00,0.43,0.43,0.7
2007-02-12 08:00:00-05:00,0.34,0.34,0.29
2007-04-24 08:00:00-04:00,0.35,0.35,0.62
2007-07-24 08:00:00-04:00,0.41,0.42,1.73
2007-10-22 08:00:00-04:00,0.49,0.49,
2008-02-12 08:00:00-05:00,0.4,0.4,1.25
2008-04-24 08:00:00-04:00,0.39,0.39,0.75
2008-07-24 08:00:00-04:00,0.47,0.47,0.62
2008-10-23 08:00:00-04:00,0.54,0.55,1.03
2009-02-12 09:00:00-05:00,0.45,0.45,1.03
2009-04-28 08:00:00-04:00,0.33,0.33,-0.3
2009-07-28 05:00:00-04:00,0.49,0.5,2.46
2009-10-27 09:00:00-04:00,0.6,0.61,2.4
2010-02-11 08:00:00-05:00,0.56,0.55,-2.48
2010-04-27 07:00:00-04:00,0.39,0.41,4.75
2010-08-05 02:00:00-04:00,0.56,0.55,-2.01
2010-10-26 09:00:00-04:00,0.65,0.66,1.01
2011-02-17 08:00:00-05:00,0.61,0.6,-1.0
2011-04-26 09:00:00-04:00,0.44,0.45,2.0
2011-07-27 08:00:00-04:00,0.64,0.64,0.59
2011-10-25 08:00:00-04:00,0.75,0.75,0.45
2012-02-28 08:00:00-05:00,0.7,0.7,-0.23
2012-05-01 08:00:00-04:00,0.48,0.5,3.96
2012-07-31 08:00:00-04:00,0.72,0.72,0.39
2012-10-30 08:00:00-04:00,0.87,0.87,0.47
2013-02-26 08:00:00-05:00,0.89,0.89,0.08
2013-04-30 08:00:00-04:00,0.59,0.6,1.42
2013-07-30 08:00:00-04:00,0.84,0.86,2.04
2013-10-29 08:00:00-04:00,1.03,1.04,1.11
2014-02-21 08:00:00-05:00,1.05,1.04,-0.64
2014-04-28 08:00:00-04:00,0.74,0.74,-0.24
2014-07-29 08:00:00-04:00,1.02,1.03,0.9
2014-10-28 08:00:00-04:00,1.2,1.21,0.53
2015-02-24 08:00:00-05:00,1.2,1.2,0.04
2015-04-28 08:00:00-04:00,0.81,0.8,-1.26
2015-07-28 08:00:00-04:00,1.08,1.08,0.05
2015-11-02 08:00:00-05:00,1.28,1.28,-0.32
2016-02-23 08:00:00-05:00,1.24,1.22,-1.88
2016-05-03 08:00:00-04:00,0.76,0.77,1.34
2016-08-02 08:00:00-04:00,1.08,1.08,0.26
2016-11-01 08:00:00-04:00,1.28,1.28,0.01
2017-02-21 08:00:00-05:00,1.28,1.25,-2.06
2017-05-02 08:00:00-04:00,0.81,0.8,-0.82
2017-08-01 08:00:00-04:00,1.12,1.13,0.46
2017-10-31 08:00:00-04:00,1.36,1.37,1.06
2018-02-20 08:00:00-05:00,1.39,1.39,-0.25
2018-05-01 08:00:00-04:00,0.89,0.91,2.05
2018-07-31 08:00:00-04:00,1.27,1.27,0.1
2018-10-30 08:00:00-04:00,1.53,1.53,-0.03
2019-02-19 08:00:00-05:00,1.54,1.54,0.03
2019-04-30 08:00:00-04:00,1.02,1.03,1.39
2019-07-30 08:00:00-04:00,1.41,1.42,0.53
2019-10-29 08:00:00-04:00,1.71,1.71,0.17
2020-02-18 08:00:00-05:00,1.7,1.66,-2.61
2020-04-28 09:00:00-04:00,1.06,1.13,6.64
2020-07-28 08:00:00-04:00,0.75,0.65,-13.39
2020-10-27 08:00:00-04:00,1.12,1.15,2.59
2021-02-16 08:00:00-05:00,1.25,1.23,-1.52
2021-04-27 08:00:00-04:00,0.81,0.81,-0.57
2021-07-27 08:00:00-04:00,1.22,1.22,0.16
2021-10-26 08:00:00-04:00,1.3,1.38,6.52
2022-02-15 08:00:00-05:00,1.28,1.28,-0.12
2022-04-26 08:00:00-04:00,0.83,0.82,-0.73
2022-07-26 08:00:00-04:00,1.09,1.1,0.89
2022-11-01 08:00:00-04:00,1.3,1.3,-0.23
2023-02-14 08:00:00-05:00,1.25,1.27,1.5
2023-05-02 08:00:00-04:00,0.86,0.88,2.24
2023-08-01 08:00:00-04:00,1.21,1.24,2.43
2023-10-31 08:00:00-04:00,1.52,1.54,1.16
2024-02-13 08:00:00-05:00,1.54,1.55,0.76
2024-04-30 07:00:00-04:00,1.33,1.34,0.49
2024-07-30 08:00:00-04:00,1.67,1.68,0.48
