ts,eps_est,eps_rep,surprise_pct
2001-10-18 10:00:00-04:00,1.41,1.3,-7.6
2002-01-17 11:00:00-05:00,0.57,0.59,3.15
2002-04-18 13:00:00-04:00,0.8,0.78,-2.86
2002-07-18 12:00:00-04:00,0.49,0.46,-6.12
2002-10-17 11:00:00-04:00,1.32,1.33,0.68
2003-01-15 12:00:00-05:00,0.57,0.56,-1.93
2003-04-17 12:00:00-04:00,0.74,0.72,-2.04
2003-07-17 12:00:00-04:00,0.39,0.29,-24.87
2003-10-16 12:00:00-04:00,1.22,1.19,-2.06
2004-01-22 09:00:00-05:00,0.62,0.65,5.35
2004-04-22 08:00:00-04:00,0.69,0.69,0.58
2004-07-22 09:00:00-04:00,0.26,0.37,44.53
2004-10-21 14:00:00-04:00,1.08,1.09,1.02
2005-01-27 08:00:00-05:00,0.52,0.49,-5.41
2005-04-21 12:00:00-04:00,0.71,0.75,5.04
2005-07-21 12:00:00-04:00,0.38,0.48,25.65
2005-10-20 15:00:00-04:00,1.19,1.17,-1.84
2006-01-26 08:00:00-05:00,0.53,0.59,11.11
2006-05-03 18:00:00-04:00,0.81,0.74,-8.19
2006-08-02 19:00:00-04:00,0.49,0.5,2.67
2006-11-02 19:00:00-05:00,1.07,0.92,-13.7
2007-01-19 08:00:00-05:00,0.61,0.78,27.66
2007-05-10 09:00:00-04:00,0.82,0.99,20.88
2007-08-02 09:00:00-04:00,0.51,0.57,11.98
2007-11-01 17:00:00-04:00,1.09,1.15,5.6
2008-01-24 17:00:00-05:00,0.6,0.76,25.83
2008-05-02 09:00:00-04:00,0.97,0.99,2.06
2008-08-07 12:00:00-04:00,0.5,0.42,-15.83
2008-11-07 17:00:00-05:00,1.01,0.98,-3.07
2009-01-22 13:00:00-05:00,0.68,0.72,6.04
2009-05-01 09:00:00-04:00,0.86,0.78,-8.99
2009-08-04 09:00:00-04:00,0.49,0.48,-2.01
2009-11-02 09:00:00-05:00,1.04,1.16,11.2
