ts,eps_est,eps_rep,surprise_pct
2001-11-14 06:00:00-05:00,0.38,0.38,
2002-02-06 06:00:00-05:00,0.45,0.48,6.37
2002-04-29 04:00:00-04:00,0.4,0.47,15.1
2002-08-05 06:00:00-04:00,0.49,0.5,1.64
2002-11-04 06:00:00-05:00,0.5,0.53,6.06
2003-02-02 20:00:00-05:00,0.55,0.56,2.19
2003-04-30 06:00:00-04:00,0.59,0.59,
2003-07-31 06:00:00-04:00,0.62,0.65,4.5
2003-10-27 06:00:00-05:00,0.66,0.68,1.81
2004-01-29 06:00:00-05:00,0.69,0.72,3.65
2004-04-28 06:00:00-04:00,0.73,0.81,9.97
2004-07-27 06:00:00-04:00,0.82,0.83,1.02
2004-10-27 06:00:00-04:00,0.83,0.84,1.02
2005-02-07 06:00:00-05:00,0.82,0.85,3.28
2005-04-27 06:00:00-04:00,0.91,0.94,2.84
2005-07-27 06:00:00-04:00,1.31,1.0,-23.63
2005-10-26 06:00:00-04:00,1.07,1.02,-5.04
2006-01-25 06:00:00-05:00,1.09,1.05,-3.46
2006-04-26 06:00:00-04:00,1.07,1.1,2.63
2006-07-26 06:00:00-04:00,1.14,1.18,3.1
2006-10-25 06:00:00-04:00,1.23,1.24,1.14
2007-01-24 06:00:00-05:00,1.27,1.27,0.11
2007-04-25 06:00:00-04:00,1.26,1.26,0.34
2007-07-25 06:00:00-04:00,1.35,1.35,-0.33
2007-10-24 06:00:00-04:00,1.44,1.44,
2008-01-23 06:00:00-05:00,1.5,1.51,0.43
2008-04-23 06:00:00-04:00,1.18,1.07,-9.54
2008-07-23 06:00:00-04:00,1.36,1.44,5.83
2008-10-22 06:00:00-04:00,1.5,1.58,5.64
2009-01-28 06:00:00-05:00,1.36,1.34,-1.81
2009-04-22 06:00:00-04:00,1.25,1.62,29.21
2009-07-29 06:00:00-04:00,1.43,1.5,4.7
2009-10-28 06:00:00-04:00,1.39,1.78,28.03
2010-01-27 06:00:00-05:00,1.03,1.16,13.08
2010-04-28 06:00:00-04:00,1.64,1.95,19.16
2010-07-28 07:00:00-04:00,1.55,1.67,7.69
2010-11-03 06:00:00-04:00,1.58,1.74,9.87
2011-01-26 06:00:00-05:00,1.22,1.33,8.76
2011-04-27 06:00:00-04:00,1.88,2.35,24.89
2011-07-27 06:00:00-04:00,1.8,1.83,1.68
2011-10-26 06:00:00-04:00,1.69,1.77,4.91
2012-01-25 06:00:00-05:00,1.13,0.99,-12.03
2012-04-25 06:00:00-04:00,2.26,2.34,3.41
2012-07-25 06:00:00-04:00,2.07,2.04,-1.45
2012-11-07 06:00:00-05:00,1.85,2.09,13.22
2013-01-23 06:00:00-05:00,0.94,1.03,9.66
2013-04-24 06:00:00-04:00,2.38,2.94,23.77
2013-07-24 06:00:00-04:00,2.11,2.6,23.46
2013-10-23 06:00:00-04:00,1.85,2.1,13.81
2014-01-29 06:00:00-05:00,0.87,0.87,0.15
2014-04-30 06:00:00-04:00,2.12,2.3,8.47
2014-07-30 05:00:00-04:00,2.26,2.44,7.85
2014-10-29 06:00:00-04:00,2.27,2.36,3.95
2015-01-28 06:00:00-05:00,1.74,1.73,-0.34
2015-04-29 06:00:00-04:00,2.69,3.14,16.82
2015-07-29 06:00:00-04:00,2.78,3.1,11.66
2015-10-28 06:00:00-04:00,2.32,2.73,17.67
2016-01-27 06:00:00-05:00,1.17,1.14,-2.76
2016-04-27 06:00:00-04:00,3.34,3.46,3.49
2016-07-27 06:00:00-04:00,3.23,3.33,2.96
2016-11-02 06:00:00-04:00,2.46,2.45,-0.25
2017-02-01 06:00:00-05:00,1.76,1.76,-0.14
2017-04-26 06:00:00-04:00,3.81,4.68,22.78
2017-07-26 06:00:00-04:00,3.24,3.37,4.06
2017-10-25 06:00:00-04:00,2.4,2.65,10.27
2018-01-31 06:00:00-05:00,1.27,1.29,1.57
2018-04-25 06:00:00-04:00,4.89,5.41,10.57
2018-07-25 06:00:00-04:00,4.18,4.25,1.75
2018-10-31 06:00:00-04:00,3.7,3.81,2.87
2019-01-30 06:00:00-05:00,2.2,2.44,10.79
2019-04-24 06:00:00-04:00,5.9,6.03,2.27
2019-07-24 06:00:00-04:00,4.62,4.64,0.45
2019-10-23 06:00:00-04:00,4.82,4.87,1.07
2020-01-29 06:00:00-05:00,3.89,3.88,-0.13
2020-04-29 06:00:00-04:00,6.44,6.48,0.6
2020-07-29 06:00:00-04:00,8.58,9.2,7.27
2020-10-28 06:00:00-04:00,4.18,4.2,0.55
2021-01-27 06:00:00-05:00,2.53,2.54,0.53
2021-04-21 06:00:00-04:00,6.47,7.01,8.34
2021-07-21 06:00:00-04:00,6.34,7.03,10.86
2021-10-20 06:00:00-04:00,6.37,6.79,6.65
2022-01-26 06:00:00-05:00,5.12,5.14,0.48
2022-04-20 06:00:00-04:00,7.83,8.25,5.4
2022-07-20 06:00:00-04:00,7.74,8.04,3.84
2022-10-19 06:00:00-04:00,7.15,7.53,5.29
2023-01-25 06:00:00-05:00,5.19,5.23,0.75
2023-04-19 06:00:00-04:00,9.28,9.46,1.97
2023-07-19 06:00:00-04:00,8.78,9.04,2.95
2023-10-18 06:00:00-04:00,8.46,8.99,6.27
2024-01-24 06:00:00-05:00,5.59,5.62,0.62
2024-04-18 06:00:00-04:00,10.53,10.64,1.08
2024-07-17 06:00:00-04:00,10.01,10.12,1.14
2024-10-17 06:00:00-04:00,9.65,8.37,-13.28
2025-01-23 06:00:00-05:00,3.85,3.84,-0.29
2025-04-22 06:00:00-04:00,11.48,11.97,4.3
2025-07-17 06:00:00-04:00,8.92,8.84,-0.91
2025-10-21 06:00:00-04:00,4.94,6.03,22.01
2026-01-28 06:00:00-05:00,3.09,3.33,7.65
2026-04-22 06:00:00-04:00,10.81,12.58,16.36
2026-07-16 08:00:00-04:00,6.2,,
