ts,eps_est,eps_rep,surprise_pct
2001-11-06 07:00:00-05:00,0.29,0.29,
2002-02-05 07:00:00-05:00,0.3,0.31,0.33
2002-05-02 16:00:00-04:00,0.32,0.33,0.31
2002-08-06 08:00:00-04:00,0.36,0.34,-6.42
2002-11-05 08:00:00-05:00,0.3,0.3,-2.64
2003-02-04 08:00:00-05:00,0.27,0.26,-2.99
2003-05-06 16:00:00-04:00,0.31,0.28,-9.68
2003-08-05 08:00:00-04:00,0.37,0.38,3.54
2003-11-04 08:00:00-05:00,0.31,0.33,6.8
2004-02-03 07:00:00-05:00,0.29,0.29,0.69
2004-05-04 06:00:00-04:00,0.34,0.38,10.62
2004-08-03 07:00:00-04:00,0.38,0.41,7.71
2004-11-02 07:00:00-05:00,0.4,0.42,6.06
2005-02-01 07:00:00-05:00,0.35,0.35,1.16
2005-05-03 07:00:00-04:00,0.41,0.42,1.47
2005-08-02 07:00:00-04:00,0.47,0.5,5.71
2005-11-01 07:00:00-05:00,0.5,0.51,2.94
2006-02-07 07:00:00-05:00,0.42,0.48,15.56
2006-05-02 06:00:00-04:00,0.5,0.53,4.37
2006-08-01 06:00:00-04:00,0.58,0.59,1.72
2006-11-07 06:00:00-05:00,0.6,0.65,7.86
2007-02-06 06:00:00-05:00,0.53,0.55,3.38
2007-05-01 06:00:00-04:00,0.64,0.61,-4.98
2007-08-07 06:00:00-04:00,0.69,0.72,4.75
2007-11-06 07:00:00-05:00,0.75,0.78,4.0
2008-02-05 06:00:00-05:00,0.64,0.66,3.7
2008-05-06 06:00:00-04:00,0.71,0.75,5.42
2008-08-05 06:00:00-04:00,0.8,0.82,2.04
2008-11-04 06:00:00-05:00,0.86,0.88,2.05
2009-02-03 06:00:00-05:00,0.57,0.6,5.24
2009-05-05 06:00:00-04:00,0.54,0.53,-1.17
2009-08-04 06:00:00-04:00,0.57,0.56,-2.57
2009-11-03 06:00:00-05:00,0.6,0.67,12.09
2010-02-02 06:00:00-05:00,0.42,0.56,33.21
2010-05-04 06:00:00-04:00,0.55,0.54,-0.99
2010-08-03 06:00:00-04:00,0.67,0.78,16.22
2010-11-02 06:00:00-04:00,0.78,0.81,3.91
2011-02-01 06:00:00-05:00,0.66,0.63,-4.42
2011-05-03 06:00:00-04:00,0.74,0.73,-1.89
2011-08-02 06:00:00-04:00,0.91,0.9,-0.63
2011-11-01 06:00:00-04:00,0.96,0.99,2.71
2012-02-07 06:00:00-05:00,0.51,0.5,-1.33
2012-05-01 06:00:00-04:00,0.8,0.74,-7.5
2012-08-07 06:00:00-04:00,1.0,1.04,3.8
2012-11-06 06:00:00-05:00,1.05,1.11,5.31
2013-02-05 06:00:00-05:00,0.62,0.62,-0.09
2013-05-07 06:00:00-04:00,0.78,0.77,-1.52
2013-08-06 06:00:00-04:00,0.98,0.97,-1.2
2013-11-05 06:00:00-05:00,1.11,1.18,6.05
2014-02-04 06:00:00-05:00,0.67,0.67,-0.28
2014-05-06 06:00:00-04:00,0.8,0.8,-0.49
2014-08-05 06:00:00-04:00,1.06,1.03,-3.07
2014-11-04 06:00:00-05:00,1.23,1.3,5.95
2015-02-03 07:00:00-05:00,0.72,0.75,3.65
2015-05-05 06:00:00-04:00,0.76,0.65,-14.53
2015-08-04 07:00:00-04:00,0.83,0.84,0.84
2015-11-03 07:00:00-05:00,0.97,0.93,-4.05
2016-02-02 07:00:00-05:00,0.51,0.56,9.88
2016-05-03 06:00:00-04:00,0.63,0.66,4.56
2016-08-02 06:00:00-04:00,0.84,0.8,-4.88
2016-11-01 06:00:00-04:00,0.89,0.96,7.62
2017-02-07 06:00:00-05:00,0.43,0.56,32.67
2017-05-02 06:00:00-04:00,0.58,0.58,0.31
2017-08-01 06:00:00-04:00,0.68,0.67,-1.97
2017-11-07 06:00:00-05:00,0.8,0.83,4.38
2018-02-06 06:00:00-05:00,0.55,0.58,5.99
2018-05-01 06:00:00-04:00,0.72,0.76,5.81
2018-08-07 06:00:00-04:00,0.86,0.88,2.18
2018-11-06 06:00:00-05:00,0.9,0.89,-1.57
2019-02-05 06:00:00-05:00,0.66,0.74,11.96
2019-05-07 06:00:00-04:00,0.84,0.84,-0.04
2019-08-06 06:00:00-04:00,0.94,0.94,-0.13
2019-11-05 07:00:00-05:00,1.07,1.07,-0.25
2020-02-04 06:00:00-05:00,0.67,0.67,0.12
2020-04-21 07:00:00-04:00,0.75,0.89,19.14
2020-08-04 06:00:00-04:00,0.59,0.8,35.99
2020-11-03 06:00:00-05:00,0.94,1.1,16.58
2021-02-02 07:00:00-05:00,0.68,0.83,22.01
2021-05-05 06:00:00-04:00,0.9,0.97,7.62
2021-08-04 06:00:00-04:00,0.97,1.09,11.91
2021-11-03 06:00:00-04:00,1.18,1.21,2.55
2022-02-02 06:00:00-05:00,1.01,1.05,4.35
2022-05-04 06:00:00-04:00,1.18,1.29,9.61
2022-08-09 06:00:00-04:00,1.29,1.38,6.66
