ts,eps_est,eps_rep,surprise_pct
2001-10-23 17:00:00-04:00,0.09,0.11,12.3
2002-01-29 19:00:00-05:00,,,-400.0
2002-04-29 17:00:00-04:00,-0.01,0.01,165.62
2002-08-12 17:00:00-04:00,0.04,0.05,12.77
2002-10-21 17:00:00-04:00,0.05,0.06,22.07
2003-02-03 20:00:00-05:00,0.09,0.08,-8.91
2003-05-04 16:00:00-04:00,0.3,0.31,4.78
2003-08-05 17:00:00-04:00,0.21,0.24,12.89
2003-11-03 17:00:00-05:00,0.18,0.2,12.81
2004-02-04 16:00:00-05:00,0.15,0.18,17.96
2004-05-02 14:00:00-04:00,0.22,0.27,19.6
2004-08-02 16:00:00-04:00,0.24,0.26,6.85
2004-10-26 16:00:00-04:00,0.25,0.28,11.55
2005-02-02 16:00:00-05:00,0.36,0.4,10.56
2005-04-26 16:00:00-04:00,0.42,0.43,3.41
2005-07-26 16:00:00-04:00,0.45,0.49,9.5
2005-11-01 16:00:00-05:00,0.69,0.7,0.77
2006-02-01 16:00:00-05:00,0.94,0.99,4.73
2006-05-04 16:00:00-04:00,0.64,0.77,19.92
2006-07-31 16:00:00-04:00,0.54,0.58,7.98
2006-10-30 16:00:00-05:00,0.53,0.56,5.62
2007-02-01 08:00:00-05:00,0.49,0.51,4.34
2007-04-30 16:00:00-04:00,0.51,0.56,8.0
2007-08-02 17:00:00-04:00,0.53,0.59,10.7
2007-10-29 16:00:00-04:00,0.4,0.4,-2.2
2008-02-07 16:00:00-05:00,0.55,0.65,17.36
2008-05-01 16:00:00-04:00,0.82,0.95,15.34
2008-07-29 16:00:00-04:00,1.18,1.26,6.95
2008-11-03 16:00:00-05:00,1.12,1.17,4.92
2009-02-04 17:00:00-05:00,0.52,0.37,-28.22
2009-05-04 16:00:00-04:00,0.3,0.27,-11.22
2009-08-06 17:00:00-04:00,0.21,0.37,74.67
2009-11-05 17:00:00-05:00,0.33,0.41,22.64
2010-02-09 18:00:00-05:00,0.49,0.46,-5.88
2010-05-03 17:00:00-04:00,0.26,0.23,-12.74
2010-08-05 16:00:00-04:00,0.14,0.09,-34.03
2010-11-02 17:00:00-04:00,0.11,0.09,-20.35
2011-02-17 18:00:00-05:00,0.15,0.18,23.33
2011-05-05 18:00:00-04:00,0.27,0.34,25.99
2011-08-04 13:00:00-04:00,0.4,0.56,38.65
2011-11-01 13:00:00-04:00,0.39,0.42,6.69
2012-02-16 17:00:00-05:00,0.44,0.57,31.52
2012-05-08 17:00:00-04:00,0.57,0.59,1.91
2012-08-02 17:00:00-04:00,0.46,0.58,25.35
2012-11-05 17:00:00-05:00,0.56,0.87,54.9
2013-02-13 17:00:00-05:00,0.69,0.81,16.95
2013-05-06 17:00:00-04:00,0.59,0.9,52.79
2013-08-06 17:00:00-04:00,0.87,1.05,21.3
2013-11-06 17:00:00-05:00,1.03,1.16,12.28
2014-02-24 17:00:00-05:00,0.97,1.0,2.72
2014-05-05 18:00:00-04:00,1.19,1.4,17.55
2014-08-05 17:00:00-04:00,1.36,1.45,6.46
2014-11-04 17:00:00-05:00,1.28,1.31,2.09
2015-02-18 17:00:00-05:00,1.0,0.79,-20.97
2015-05-04 16:00:00-04:00,,0.03,4587.5
2015-08-06 16:00:00-04:00,0.11,0.28,166.44
2015-11-05 16:00:00-05:00,-0.3,0.02,106.76
2016-02-25 16:00:00-05:00,-0.31,-0.27,12.72
2016-05-05 16:00:00-04:00,-0.84,-0.83,0.77
2016-08-04 16:00:00-04:00,-0.48,-0.38,21.42
2016-11-03 16:00:00-04:00,-0.31,-0.4,-28.33
2017-02-27 16:00:00-05:00,-0.15,-0.01,93.15
2017-05-08 16:00:00-04:00,0.15,0.15,2.19
2017-08-01 16:00:00-04:00,0.11,0.08,-29.38
2017-11-02 16:00:00-04:00,0.11,0.19,73.17
2018-02-27 16:00:00-05:00,0.54,0.69,26.9
2018-05-03 16:00:00-04:00,1.01,1.19,17.92
2018-08-02 16:00:00-04:00,1.24,1.37,10.58
2018-11-01 16:00:00-04:00,1.53,1.75,14.58
2019-02-26 16:00:00-05:00,1.35,1.24,-8.38
2019-05-02 16:00:00-04:00,1.02,1.19,16.38
2019-08-01 16:00:00-04:00,1.32,1.31,-0.84
2019-11-06 16:00:00-05:00,1.15,1.13,-1.77
2020-02-27 16:00:00-05:00,1.19,1.35,13.15
2020-05-07 17:00:00-04:00,0.66,0.55,-16.16
2020-08-06 16:00:00-04:00,-0.08,-0.23,-189.78
2020-11-05 16:00:00-05:00,0.18,0.43,133.82
2021-02-25 16:00:00-05:00,0.36,0.71,95.17
2021-05-06 16:00:00-04:00,1.51,1.62,7.11
2021-08-04 16:00:00-04:00,1.55,1.73,11.48
2021-11-04 16:00:00-04:00,2.04,2.16,5.68
2022-02-24 16:00:00-05:00,3.17,3.09,-2.56
2022-05-05 16:00:00-04:00,3.69,4.0,8.49
2022-08-04 16:00:00-04:00,2.79,2.74,-1.8
2022-11-03 16:00:00-04:00,3.75,3.71,-1.05
2023-02-23 16:00:00-05:00,3.4,3.3,-3.04
2023-05-04 16:00:00-04:00,2.49,2.69,8.08
2023-08-03 16:00:00-04:00,2.33,2.49,6.82
2023-11-02 16:00:00-04:00,2.99,3.44,15.1
2024-02-22 16:00:00-05:00,3.11,3.07,-1.42
2024-05-02 16:00:00-04:00,2.7,2.82,4.38
2024-08-01 16:00:00-04:00,2.95,3.16,7.04
2024-11-07 16:00:00-05:00,2.77,2.89,4.19
2025-02-27 16:00:00-05:00,2.57,2.74,6.79
2025-05-01 16:00:00-04:00,2.77,2.87,3.54
2025-08-07 16:00:00-04:00,2.2,2.32,5.23
2025-11-06 16:00:00-05:00,2.45,2.71,10.77
2026-02-24 16:00:00-05:00,2.2,2.27,3.38
2026-05-05 16:00:00-04:00,3.21,3.41,6.22
2026-08-04 16:00:00-04:00,5.02,,
