ts,eps_est,eps_rep,surprise_pct
2000-10-18 16:00:00-04:00,,-16.0,
2001-02-07 16:00:00-05:00,-20.41,-18.24,10.61
2001-04-18 21:00:00-04:00,-19.34,-17.28,10.64
2001-07-18 16:00:00-04:00,-17.63,-15.36,12.87
2001-10-17 16:00:00-04:00,-15.38,-13.44,12.64
2002-02-14 16:00:00-05:00,-13.3,-10.88,18.2
2002-04-24 16:00:00-04:00,-10.74,-9.92,7.61
2003-10-27 16:00:00-05:00,-2.15,-2.12,1.4
2004-02-04 17:00:00-05:00,-1.28,-1.49,-15.95
2004-04-22 16:00:00-04:00,-0.99,-0.92,6.76
2004-07-28 16:00:00-04:00,-0.58,-0.51,12.57
2004-10-26 07:00:00-04:00,-0.4,-0.36,10.74
2005-02-09 16:00:00-05:00,-0.28,-0.27,3.57
2005-04-27 16:00:00-04:00,-0.16,-0.26,-66.67
2005-07-27 16:00:00-04:00,-0.07,-0.04,39.39
2005-10-25 16:00:00-04:00,-0.08,-0.03,61.82
2006-02-08 16:00:00-05:00,-0.21,0.05,124.31
2006-04-26 16:00:00-04:00,-0.05,0.1,317.39
2006-08-14 16:00:00-04:00,-0.18,-0.19,-4.11
2006-10-25 16:00:00-04:00,-0.19,-0.08,58.44
2007-02-07 16:00:00-05:00,-0.01,0.02,242.86
2007-04-26 16:00:00-04:00,-0.05,-0.05,6.24
2007-07-25 16:00:00-04:00,-0.05,0.05,193.02
2007-10-30 16:00:00-04:00,-0.06,0.2,450.02
2008-02-13 16:00:00-05:00,-0.09,-0.21,-121.82
2008-04-23 16:00:00-04:00,-0.12,0.15,225.0
2008-07-23 16:00:00-04:00,0.15,0.06,-60.95
2008-10-22 16:00:00-04:00,0.17,0.22,28.88
2009-02-11 16:00:00-05:00,0.25,0.32,25.78
2009-04-22 15:00:00-04:00,0.18,0.48,161.74
2009-07-22 16:00:00-04:00,0.34,0.44,30.88
2009-10-21 16:00:00-04:00,0.31,0.47,50.2
2010-02-10 16:00:00-05:00,0.35,0.44,27.33
2010-04-21 16:00:00-04:00,0.45,0.48,6.34
2010-07-28 16:00:00-04:00,0.24,0.22,-8.8
2010-10-26 16:00:00-04:00,0.29,0.28,-3.06
2011-02-09 16:00:00-05:00,0.24,0.43,80.82
2011-04-27 16:00:00-04:00,0.29,0.55,90.69
2011-07-27 16:00:00-04:00,0.47,0.63,34.03
2011-10-26 16:00:00-04:00,0.43,0.24,-44.24
2012-02-15 16:00:00-05:00,0.45,0.38,-15.75
2012-04-25 16:00:00-04:00,0.51,0.69,36.19
2012-07-25 16:00:00-04:00,0.61,0.75,23.71
2012-11-01 16:00:00-04:00,0.6,0.63,4.37
2013-02-13 16:00:00-05:00,0.66,1.0,51.94
2013-04-24 16:00:00-04:00,0.77,0.72,-6.48
2013-07-24 16:00:00-04:00,0.6,0.76,26.37
2013-10-23 16:00:00-04:00,0.62,0.69,11.1
2014-02-19 16:00:00-05:00,0.82,1.19,44.93
2014-05-02 14:00:00-04:00,0.78,0.78,-0.83
2014-07-30 16:00:00-04:00,0.78,1.22,57.42
2014-10-29 16:00:00-04:00,0.88,0.77,-12.08
2015-02-19 16:00:00-05:00,1.04,0.56,-46.14
2015-04-29 16:00:00-04:00,0.81,1.35,66.82
2015-07-29 16:00:00-04:00,1.15,1.19,2.91
2015-10-28 16:00:00-04:00,1.19,0.89,-24.85
2016-02-18 16:00:00-05:00,1.17,0.47,-60.06
2016-05-04 16:00:00-04:00,0.81,-0.61,-175.49
2016-08-03 16:00:00-04:00,0.57,0.56,-1.75
2016-11-02 16:00:00-04:00,0.69,0.62,-10.32
2017-02-15 16:00:00-05:00,0.78,0.9,15.93
2017-04-26 16:00:00-04:00,0.88,0.57,-35.23
2017-08-02 16:00:00-04:00,1.14,0.58,-49.13
2017-11-01 16:00:00-04:00,1.2,1.02,-15.16
2018-02-14 16:00:00-05:00,1.22,0.82,-32.68
2018-05-02 16:00:00-04:00,1.05,0.79,-24.76
2018-08-08 16:00:00-04:00,0.94,0.85,-9.94
2018-11-01 16:00:00-04:00,1.01,1.55,52.74
2019-02-13 16:00:00-05:00,1.21,1.36,12.73
2019-05-01 16:00:00-04:00,1.45,1.44,-1.03
2019-07-31 16:00:00-04:00,1.57,1.69,7.66
2019-10-30 16:00:00-04:00,1.67,1.41,-15.43
2020-02-12 16:00:00-05:00,1.57,1.46,-7.17
2020-05-06 16:00:00-04:00,1.81,1.38,-23.81
2020-07-29 16:00:00-04:00,1.63,1.52,-6.83
2020-10-28 16:00:00-04:00,1.71,0.74,-56.64
2021-02-10 16:00:00-05:00,1.5,0.57,-61.99
2021-04-28 16:00:00-04:00,1.75,1.74,-0.84
2021-07-28 16:00:00-04:00,1.84,0.76,-58.68
2021-11-03 16:00:00-04:00,1.6,1.68,4.93
2022-02-16 16:00:00-05:00,1.42,1.36,-4.22
2022-04-27 16:00:00-04:00,1.62,1.62,-0.1
