ts,eps_est,eps_rep,surprise_pct
2001-10-23 09:00:00-04:00,0.6,0.63,3.48
2002-01-29 10:00:00-05:00,0.45,0.54,20.81
2002-04-22 20:00:00-04:00,0.46,0.39,-16.12
2002-07-31 08:00:00-04:00,0.55,0.57,3.26
2002-10-30 09:00:00-05:00,0.83,0.85,3.03
2003-01-29 08:00:00-05:00,0.58,0.61,4.45
2003-04-28 17:00:00-04:00,0.52,0.61,17.08
2003-07-29 16:00:00-04:00,0.55,0.62,12.43
2003-10-23 08:00:00-04:00,0.79,0.82,3.69
2004-01-28 08:00:00-05:00,0.53,0.57,7.68
2004-04-26 16:00:00-04:00,0.62,0.57,-8.21
2004-07-28 08:00:00-04:00,0.66,0.71,7.74
2004-10-21 09:00:00-04:00,0.9,0.91,1.22
2005-01-25 16:00:00-05:00,0.64,0.58,-8.81
2005-04-25 17:00:00-04:00,0.65,0.67,3.24
2005-07-21 17:00:00-04:00,0.72,0.75,4.6
2005-10-26 08:00:00-04:00,1.06,0.95,-10.55
2006-01-25 08:00:00-05:00,0.74,0.72,-2.04
2006-04-26 08:00:00-04:00,0.7,0.62,-11.43
2006-07-31 08:00:00-04:00,0.8,0.85,6.78
2006-10-27 08:00:00-04:00,1.05,1.02,-2.39
2007-01-24 08:00:00-05:00,0.77,0.72,-6.98
2007-04-25 08:00:00-04:00,0.99,1.07,8.63
2007-07-25 08:00:00-04:00,1.02,1.03,0.78
2007-10-26 08:00:00-04:00,1.22,1.21,-0.82
2008-01-23 08:00:00-05:00,1.01,1.02,0.99
2008-04-24 08:00:00-04:00,0.98,0.93,-4.7
2008-07-23 08:00:00-04:00,1.01,1.13,11.49
2008-10-24 08:00:00-04:00,1.13,1.07,-5.42
2009-01-22 08:00:00-05:00,1.03,1.07,3.68
2009-04-23 08:00:00-04:00,1.12,1.2,7.53
2009-07-24 08:00:00-04:00,0.97,1.03,5.97
2009-10-23 08:00:00-04:00,0.96,0.96,0.21
2010-01-22 08:00:00-05:00,0.86,0.92,7.6
2010-04-23 07:00:00-04:00,0.89,1.0,11.74
2010-07-22 08:00:00-04:00,0.92,0.99,7.71
2010-10-22 08:00:00-04:00,1.11,1.11,-0.16
2011-01-26 08:00:00-05:00,0.91,0.96,5.22
2011-04-27 08:00:00-04:00,1.06,1.17,10.19
2011-07-27 08:00:00-04:00,0.97,1.05,8.72
2011-10-26 08:00:00-04:00,1.09,1.12,2.67
2012-01-25 08:00:00-05:00,0.88,0.82,-7.34
2012-05-04 07:00:00-04:00,0.8,0.85,6.22
2012-08-01 08:00:00-04:00,0.64,0.61,-4.25
2012-11-01 07:00:00-04:00,0.72,0.77,7.36
2013-02-07 07:00:00-05:00,0.64,0.64,-0.56
2013-05-10 06:00:00-04:00,0.68,0.7,3.28
2013-07-31 08:00:00-04:00,0.54,0.53,-2.12
2013-10-30 07:00:00-04:00,0.66,0.78,17.42
2014-02-06 08:00:00-05:00,0.53,0.5,-6.23
2014-04-30 06:00:00-04:00,0.69,0.62,-9.73
2014-07-31 07:00:00-04:00,0.5,0.51,1.63
2014-10-29 08:00:00-04:00,0.72,0.78,9.01
2015-02-13 08:00:00-05:00,0.5,0.48,-4.94
2015-04-29 08:00:00-04:00,0.69,0.71,3.08
2015-07-29 08:00:00-04:00,0.53,0.59,10.58
2015-10-30 08:00:00-04:00,0.73,0.83,13.65
2016-02-03 08:00:00-05:00,0.39,0.38,-3.65
2016-05-06 08:00:00-04:00,0.66,0.68,3.08
2016-08-09 08:00:00-04:00,0.56,0.65,15.57
2016-10-26 08:00:00-04:00,0.78,0.91,15.98
2017-02-08 08:00:00-05:00,0.45,0.44,-2.02
2017-05-03 04:00:00-04:00,0.61,0.65,5.74
2017-08-02 08:00:00-04:00,0.52,0.54,2.96
2017-11-02 07:00:00-04:00,0.86,0.85,-0.71
2018-02-07 07:00:00-05:00,0.6,0.55,-8.76
2018-05-02 07:00:00-04:00,0.93,0.96,3.54
2018-08-02 06:00:00-04:00,0.61,0.71,15.45
2018-11-01 06:00:00-04:00,0.88,0.88,0.27
2019-02-08 06:00:00-05:00,0.57,0.58,1.58
2019-05-02 06:00:00-04:00,0.87,0.87,-0.17
2019-08-01 06:00:00-04:00,0.62,0.6,-3.14
2019-10-31 06:00:00-04:00,0.89,0.92,3.15
2020-02-11 06:00:00-05:00,0.73,0.83,13.69
2020-05-08 08:00:00-04:00,0.85,0.87,2.83
2020-08-04 06:00:00-04:00,0.43,0.55,27.22
2020-11-03 06:00:00-05:00,0.87,1.04,19.34
2021-02-24 06:00:00-05:00,0.7,0.76,9.29
2021-05-05 06:00:00-04:00,0.07,-0.06,-188.03
2021-08-04 06:00:00-04:00,0.67,0.89,33.59
2021-11-03 06:00:00-04:00,1.1,1.09,-0.48
2022-02-25 15:00:00-05:00,0.78,0.9,14.93
2022-05-09 13:00:00-04:00,0.65,0.64,-2.06
2022-08-03 06:00:00-04:00,0.46,0.44,-3.81
2022-11-03 06:00:00-04:00,0.7,0.75,6.52
2023-02-14 06:00:00-05:00,0.43,0.43,-0.34
2023-05-03 06:00:00-04:00,0.66,0.7,6.03
2023-08-02 06:00:00-04:00,0.4,0.41,1.26
2023-11-02 06:00:00-04:00,0.68,0.67,-1.92
2024-02-21 06:00:00-05:00,0.58,0.6,3.06
2024-05-02 06:00:00-04:00,0.7,0.68,-2.29
2024-08-01 06:00:00-04:00,0.39,0.47,19.4
2024-10-30 06:00:00-04:00,0.67,0.71,5.9
2025-02-12 06:00:00-05:00,0.59,0.64,7.95
2025-05-01 06:00:00-04:00,0.86,0.92,6.9
2025-07-31 06:00:00-04:00,0.37,0.39,6.11
2025-11-04 06:00:00-05:00,0.78,0.86,10.54
2026-02-12 06:00:00-05:00,0.55,0.59,7.98
2026-05-06 06:00:00-04:00,0.89,0.91,2.6
2026-07-30 08:00:00-04:00,0.48,,
