ts,eps_est,eps_rep,surprise_pct
2001-10-17 07:00:00-04:00,-0.25,-0.28,-12.42
2002-01-17 07:00:00-05:00,-0.45,-0.48,-6.11
2002-04-17 07:00:00-04:00,-0.13,-0.06,54.12
2002-07-17 07:00:00-04:00,0.26,0.31,20.04
2002-10-16 06:00:00-04:00,0.04,0.12,210.32
2003-01-21 06:00:00-05:00,0.06,0.08,37.5
2003-04-16 06:00:00-04:00,0.21,0.45,115.65
2003-07-16 06:00:00-04:00,0.16,0.22,35.59
2003-10-16 06:00:00-04:00,-0.13,0.15,217.01
2004-01-22 07:00:00-05:00,0.27,0.31,16.64
2004-04-21 07:00:00-04:00,0.44,0.96,117.85
2004-07-20 07:00:00-04:00,0.49,0.61,25.39
2004-10-19 07:00:00-04:00,0.14,0.28,97.18
2005-01-20 07:00:00-05:00,0.28,0.28,1.82
2005-04-20 06:00:00-04:00,0.38,0.62,62.59
2005-07-19 07:00:00-04:00,0.31,0.47,51.61
2005-10-20 07:00:00-04:00,-0.09,-0.1,-7.05
2006-01-23 07:00:00-05:00,0.01,0.26,4661.9
2006-04-21 07:00:00-04:00,0.26,0.24,-7.15
2006-07-20 07:00:00-04:00,0.14,-0.03,-121.21
2006-10-23 06:00:00-04:00,-0.62,-0.62,
2007-01-25 07:00:00-05:00,-0.91,-1.1,-21.46
2007-04-26 07:00:00-04:00,-0.6,-0.09,84.95
2007-07-26 07:00:00-04:00,-0.37,0.13,135.2
2007-11-08 07:00:00-05:00,-0.47,-0.01,97.89
2008-01-24 07:00:00-05:00,-0.21,-0.2,5.21
2008-04-24 07:00:00-04:00,-0.14,0.2,241.3
2008-07-24 07:00:00-04:00,-0.25,-0.62,-146.21
2008-11-07 06:00:00-05:00,-0.94,-1.31,-39.42
2009-01-29 06:00:00-05:00,-1.23,-1.37,-11.52
2009-04-24 06:00:00-04:00,-1.23,-0.75,39.22
2009-07-23 06:00:00-04:00,-0.5,-0.21,57.95
2009-11-02 06:00:00-05:00,-0.12,0.26,321.71
2010-01-28 06:00:00-05:00,0.27,0.43,61.88
2010-04-27 04:00:00-04:00,0.28,0.43,50.88
2010-07-23 07:00:00-04:00,0.4,0.68,69.15
2010-10-26 07:00:00-04:00,0.37,0.48,28.32
2011-01-28 07:00:00-05:00,0.48,0.3,-37.73
2011-04-26 07:00:00-04:00,0.49,0.62,26.64
2011-07-26 07:00:00-04:00,0.6,0.65,8.58
2011-10-26 07:00:00-04:00,0.46,0.46,0.67
2012-01-27 07:00:00-05:00,0.26,0.2,-24.47
2012-04-27 07:00:00-04:00,0.35,0.39,11.26
2012-07-25 07:00:00-04:00,0.29,0.3,2.9
2012-10-30 07:00:00-04:00,0.3,0.4,33.05
2013-01-29 07:00:00-05:00,0.25,0.31,21.71
2013-04-24 07:00:00-04:00,0.37,0.41,10.54
2013-07-24 07:00:00-04:00,0.37,0.45,20.7
2013-10-24 07:00:00-04:00,0.38,0.45,17.65
2014-01-28 07:00:00-05:00,0.28,0.31,10.27
2014-04-25 07:00:00-04:00,0.31,0.25,-19.55
2014-07-24 06:00:00-04:00,0.36,0.4,10.83
2014-10-24 07:00:00-04:00,0.19,0.24,25.79
2015-01-29 07:00:00-05:00,0.23,0.26,14.21
2015-04-28 07:00:00-04:00,0.26,0.23,-11.95
2015-07-28 07:00:00-04:00,0.37,0.47,27.75
2015-10-27 07:00:00-04:00,0.46,0.45,-2.72
2016-01-28 08:00:00-05:00,0.51,0.58,13.91
2016-04-28 07:00:00-04:00,0.47,0.68,44.18
2016-07-28 07:00:00-04:00,0.6,0.52,-13.26
2016-10-27 07:00:00-04:00,0.2,0.26,26.84
2017-01-26 07:00:00-05:00,0.31,0.3,-3.95
2017-04-27 07:00:00-04:00,0.34,0.39,14.28
2017-07-26 07:00:00-04:00,0.43,0.56,30.28
2017-10-26 07:00:00-04:00,0.33,0.43,30.03
2018-01-24 16:00:00-05:00,0.39,0.39,-1.02
2018-04-25 16:00:00-04:00,0.41,0.43,3.7
2018-07-25 16:00:00-04:00,0.3,0.27,-10.95
2018-10-24 16:00:00-04:00,0.28,0.29,2.48
2019-01-23 16:00:00-05:00,0.3,0.3,-0.69
2019-04-25 16:00:00-04:00,0.27,0.44,62.94
2019-07-24 16:00:00-04:00,0.31,0.28,-8.98
2019-10-23 16:00:00-04:00,0.26,0.34,29.83
2020-02-04 16:00:00-05:00,0.17,0.12,-28.85
2020-04-28 16:00:00-04:00,-0.06,-0.23,-293.03
