ts,eps_est,eps_rep,surprise_pct
2001-10-16 08:00:00-04:00,0.02,0.02,
2002-01-17 07:00:00-05:00,-0.02,,72.22
2002-04-18 08:00:00-04:00,-0.05,,90.74
2002-07-18 08:00:00-04:00,0.02,0.02,-13.04
2002-10-15 08:00:00-04:00,0.18,0.2,8.64
2003-01-16 08:00:00-05:00,0.2,0.21,1.74
2003-04-17 07:00:00-04:00,0.16,0.14,-12.5
2003-07-17 08:00:00-04:00,0.17,0.19,6.63
2003-10-16 07:00:00-04:00,0.24,0.26,7.88
2004-01-20 08:00:00-05:00,0.04,0.02,-62.5
2004-04-20 08:00:00-04:00,-0.09,-0.01,82.99
2004-07-20 08:00:00-04:00,-0.1,-0.05,50.21
2004-10-19 08:00:00-04:00,0.07,0.05,-30.56
2005-01-18 07:00:00-05:00,0.35,0.4,12.3
2005-04-19 07:00:00-04:00,0.33,0.35,6.87
2005-07-19 07:00:00-04:00,0.45,0.46,1.34
2005-10-18 07:00:00-04:00,0.42,0.5,18.91
2006-01-17 08:00:00-05:00,0.85,1.11,29.89
2006-04-18 08:00:00-04:00,0.44,0.71,59.86
2006-07-18 00:00:00-04:00,0.69,0.85,23.1
2006-10-17 08:00:00-04:00,0.78,0.87,11.09
2007-01-16 08:00:00-05:00,1.06,1.0,-5.95
2007-04-25 07:00:00-04:00,1.03,1.33,28.72
2007-07-25 07:00:00-04:00,1.37,1.42,3.16
2007-10-24 08:00:00-04:00,1.14,1.26,10.33
2008-01-23 08:00:00-05:00,0.87,0.68,-21.52
2008-04-23 08:00:00-04:00,1.09,1.33,22.02
2008-07-22 08:00:00-04:00,1.23,1.12,-9.5
2008-10-21 08:00:00-04:00,0.72,0.66,-8.9
2009-01-26 08:00:00-05:00,-0.57,0.03,105.3
2009-04-22 07:00:00-04:00,0.07,0.09,30.77
2009-07-21 08:00:00-04:00,0.36,0.68,88.04
2009-10-21 08:00:00-04:00,0.67,1.03,53.98
2010-01-21 08:00:00-05:00,0.88,1.09,23.98
2010-04-21 08:00:00-04:00,0.94,1.02,9.27
2010-07-21 08:00:00-04:00,0.64,0.72,12.57
2010-10-21 08:00:00-04:00,1.07,1.25,16.7
2011-01-20 08:00:00-05:00,1.47,1.63,11.0
2011-04-20 08:00:00-04:00,1.26,1.58,25.76
2011-07-21 08:00:00-04:00,1.34,1.47,9.3
2011-10-19 08:00:00-04:00,1.07,1.1,2.76
2012-01-19 08:00:00-05:00,0.63,0.72,13.55
2012-04-19 08:00:00-04:00,0.85,0.96,13.43
2012-07-19 08:00:00-04:00,0.76,0.8,5.6
2012-10-22 08:00:00-04:00,0.73,0.68,-6.35
2013-01-22 08:00:00-05:00,0.71,0.74,3.86
2013-04-18 08:00:00-04:00,0.72,0.73,0.71
2013-07-23 08:00:00-04:00,0.44,0.25,-43.99
2013-10-22 08:00:00-04:00,0.63,0.83,31.27
2014-01-22 08:00:00-05:00,0.8,0.84,4.51
2014-04-24 08:00:00-04:00,0.41,0.48,18.18
2014-07-23 08:00:00-04:00,0.53,0.58,9.81
2014-10-28 08:00:00-04:00,0.61,0.64,4.27
2015-01-27 08:00:00-05:00,0.35,0.25,-29.02
2015-04-23 08:00:00-04:00,-0.06,-0.06,-8.85
2015-07-23 08:00:00-04:00,0.08,0.14,70.63
2015-10-22 08:00:00-04:00,-0.09,-0.15,-73.87
2016-01-26 08:00:00-05:00,-0.19,-0.02,89.35
2016-04-26 08:00:00-04:00,-0.18,-0.16,12.61
2016-07-26 08:00:00-04:00,-0.01,-0.02,-106.19
2016-10-25 08:00:00-04:00,0.19,0.13,-30.23
2017-01-25 08:00:00-05:00,0.34,0.25,-26.55
2017-04-25 08:00:00-04:00,0.15,0.15,1.95
2017-07-25 08:00:00-04:00,0.2,0.17,-15.35
2017-10-25 08:00:00-04:00,0.31,0.34,10.89
2018-01-25 08:00:00-05:00,0.5,0.51,2.8
2018-04-24 08:00:00-04:00,0.56,0.46,-17.52
2018-07-25 08:00:00-04:00,0.52,0.58,11.06
2018-10-24 08:00:00-04:00,0.32,0.35,8.9
2019-01-24 08:00:00-05:00,0.18,0.11,-39.55
2019-04-25 08:00:00-04:00,0.08,0.05,-38.79
2019-07-24 08:00:00-04:00,-0.05,-0.04,26.83
2019-10-23 08:00:00-04:00,-0.01,-0.01,12.13
2020-01-23 08:00:00-05:00,,0.02,771.14
2020-04-24 08:00:00-04:00,-0.17,-0.16,5.21
2020-07-23 07:00:00-04:00,-0.03,0.03,217.32
2020-10-22 08:00:00-04:00,0.21,0.29,36.57
2021-01-26 08:00:00-05:00,0.4,0.39,-1.39
2021-04-22 08:00:00-04:00,0.51,0.51,-0.38
2021-07-22 08:00:00-04:00,0.75,0.77,2.2
2021-10-21 07:00:00-04:00,0.81,0.89,9.93
2022-01-26 08:00:00-05:00,0.94,0.96,2.15
2022-04-21 08:00:00-04:00,0.92,1.07,16.06
2022-07-21 08:00:00-04:00,0.65,0.58,-11.34
2022-10-20 08:00:00-04:00,0.27,0.26,-3.98
2023-01-25 08:00:00-05:00,0.47,0.52,9.86
2023-04-21 08:00:00-04:00,0.45,0.52,16.24
2023-07-20 08:00:00-04:00,0.36,0.35,-1.44
2023-10-19 08:00:00-04:00,0.34,0.39,15.14
2024-01-24 08:00:00-05:00,0.23,0.27,17.07
2024-04-23 08:00:00-04:00,0.28,0.32,12.93
2024-07-23 08:00:00-04:00,0.38,0.46,21.31
2024-10-22 08:00:00-04:00,0.37,0.38,2.76
2025-01-23 08:00:00-05:00,0.22,0.31,43.23
2025-04-24 08:00:00-04:00,0.23,0.24,4.59
2025-07-23 08:00:00-04:00,0.44,0.54,21.81
2025-10-23 08:00:00-04:00,0.41,0.5,22.84
2026-01-22 08:00:00-05:00,0.32,0.47,46.66
2026-04-23 08:00:00-04:00,0.47,0.57,21.95
2026-07-22 08:00:00-04:00,0.6,,
