ts,eps_est,eps_rep,surprise_pct
2002-04-11 08:00:00-04:00,2.39,2.4,0.56
2002-04-11 08:00:00-04:00,2.78,2.8,0.73
2002-07-12 08:00:00-04:00,3.1,3.12,0.74
2002-07-12 08:00:00-04:00,3.53,3.52,-0.17
2002-10-11 06:00:00-04:00,3.21,3.28,2.14
2003-01-17 06:00:00-05:00,2.47,2.48,0.5
2003-04-11 06:00:00-04:00,2.56,2.56,0.01
2003-07-11 06:00:00-04:00,3.01,3.04,0.97
2003-10-10 02:00:00-04:00,3.18,3.2,0.67
2004-01-16 06:00:00-05:00,3.62,3.6,-0.68
2004-04-08 06:00:00-04:00,2.52,2.56,1.68
2004-07-09 06:00:00-04:00,2.99,3.04,1.64
2004-10-08 06:00:00-04:00,3.07,3.04,-1.05
2005-01-21 06:00:00-05:00,3.99,4.08,2.2
2005-04-15 06:00:00-04:00,2.97,3.04,2.22
2005-07-15 06:00:00-04:00,3.52,3.52,0.13
2005-10-14 06:00:00-04:00,3.53,3.52,-0.17
2006-01-20 06:00:00-05:00,4.41,4.4,-0.17
2006-04-13 06:00:00-04:00,3.12,3.12,-0.15
2006-07-14 06:00:00-04:00,3.77,3.76,-0.37
2006-10-13 06:00:00-04:00,3.92,3.92,0.04
2007-01-19 06:00:00-05:00,5.09,5.12,0.55
2007-04-13 06:00:00-04:00,3.53,3.52,-0.35
2007-07-13 06:00:00-04:00,4.18,4.16,-0.6
2007-10-12 06:00:00-04:00,4.07,4.0,-1.69
2008-01-18 06:00:00-05:00,5.44,5.44,-0.09
2008-04-11 06:00:00-04:00,4.09,3.52,-13.97
2008-07-11 06:00:00-04:00,4.28,4.32,0.93
2008-10-10 06:00:00-04:00,3.63,3.6,-0.78
2009-01-23 06:00:00-05:00,4.08,4.08,
2009-04-17 06:00:00-04:00,1.68,2.08,24.13
2009-07-17 06:00:00-04:00,1.9,2.08,9.56
2009-10-16 06:00:00-04:00,1.58,1.76,11.28
2010-01-22 06:00:00-05:00,2.07,2.24,8.44
2010-04-16 05:00:00-04:00,1.27,1.68,31.86
2010-07-16 06:00:00-04:00,2.14,2.4,12.38
2010-10-15 06:00:00-04:00,2.2,2.32,5.65
2011-01-21 06:00:00-05:00,2.55,2.88,13.16
2011-04-21 06:00:00-04:00,2.27,2.64,16.33
2011-07-22 06:00:00-04:00,2.6,2.72,4.63
2011-10-21 06:00:00-04:00,2.51,2.48,-1.1
2012-01-20 06:00:00-05:00,3.05,3.12,2.28
2012-04-20 06:00:00-04:00,2.62,2.72,3.93
2012-07-20 06:00:00-04:00,2.98,3.04,2.14
2012-10-19 06:00:00-04:00,2.93,2.88,-1.82
2013-01-18 06:00:00-05:00,3.44,3.52,2.42
2013-04-19 06:00:00-04:00,2.77,3.12,12.62
2013-07-19 06:00:00-04:00,2.83,2.88,1.61
2013-10-18 06:00:00-04:00,2.86,2.88,0.82
2014-01-17 06:00:00-05:00,4.29,4.24,-1.06
2014-04-17 06:00:00-04:00,2.54,2.64,3.89
2014-07-18 06:00:00-04:00,3.15,3.12,-0.92
2014-10-17 06:00:00-04:00,2.99,3.04,1.67
2015-01-23 06:00:00-05:00,4.36,4.48,2.65
2015-04-17 06:00:00-04:00,2.41,2.48,2.82
2015-07-17 06:00:00-04:00,2.29,2.24,-2.12
2015-10-16 07:00:00-04:00,2.08,2.32,11.64
2016-01-22 06:00:00-05:00,3.96,4.16,5.06
2016-04-22 06:00:00-04:00,1.54,1.68,8.98
2016-07-22 06:00:00-04:00,3.65,4.08,11.77
2016-10-21 06:00:00-04:00,2.4,2.56,6.48
2017-01-20 06:00:00-05:00,3.68,3.68,-0.1
2017-04-21 06:00:00-04:00,1.36,1.68,23.44
2017-07-21 06:00:00-04:00,2.0,2.24,11.98
2017-10-20 06:00:00-04:00,3.92,2.32,-40.84
2018-01-24 06:00:00-05:00,2.27,2.16,-4.89
2018-04-20 07:00:00-04:00,0.91,1.28,40.68
2018-07-20 06:00:00-04:00,1.4,1.52,8.66
2018-10-30 06:00:00-04:00,1.61,1.12,-30.46
2019-01-31 06:00:00-05:00,1.79,1.36,-24.07
2019-04-30 06:00:00-04:00,0.73,1.12,54.43
2019-07-31 06:00:00-04:00,0.95,1.36,43.75
2019-10-30 06:00:00-04:00,0.91,1.2,31.55
2020-01-29 06:00:00-05:00,1.42,1.68,18.45
2020-04-29 06:00:00-04:00,0.65,0.4,-37.99
2020-07-29 06:00:00-04:00,-0.72,-1.2,-66.42
2020-10-28 06:00:00-04:00,-0.23,0.48,306.31
2021-01-26 06:00:00-05:00,0.68,0.64,-6.33
2021-04-27 06:00:00-04:00,0.08,0.24,208.05
2021-07-27 06:00:00-04:00,0.27,0.4,49.58
2021-10-26 06:00:00-04:00,0.44,0.57,30.03
2022-01-25 06:00:00-05:00,0.82,0.92,12.09
2022-04-26 06:00:00-04:00,0.22,0.24,7.87
2022-07-26 06:00:00-04:00,0.42,0.78,86.22
2022-10-25 06:00:00-04:00,0.49,0.35,-28.12
2023-01-24 06:00:00-05:00,1.16,1.24,6.97
2023-04-25 06:00:00-04:00,0.14,0.27,97.56
2023-07-25 06:00:00-04:00,0.46,0.68,48.14
2023-10-24 06:00:00-04:00,0.56,0.82,46.28
2024-01-23 06:00:00-05:00,0.9,1.03,14.86
2024-04-23 06:00:00-04:00,0.7,0.82,16.42
2024-07-23 06:00:00-04:00,0.99,1.2,20.79
2024-10-22 06:00:00-04:00,1.13,1.15,1.34
2025-01-23 06:00:00-05:00,1.04,1.32,26.9
2025-04-22 06:00:00-04:00,1.27,1.49,17.51
2025-07-17 06:00:00-04:00,1.43,1.66,15.97
2025-10-21 06:00:00-04:00,1.47,1.66,13.01
2026-01-22 06:00:00-05:00,1.43,1.57,9.81
2026-04-21 06:00:00-04:00,1.6,1.86,16.31
2026-07-16 08:00:00-04:00,1.85,,
