ts,eps_est,eps_rep,surprise_pct
2002-04-30 16:00:00-04:00,-0.02,-0.01,30.23
2002-04-30 16:00:00-04:00,-0.01,,67.91
2002-07-24 16:00:00-04:00,-0.01,-0.02,-41.67
2002-07-24 16:00:00-04:00,,0.01,233.33
2002-10-31 16:00:00-05:00,0.01,0.02,188.09
2003-01-30 16:00:00-05:00,0.02,0.02,16.22
2003-04-23 16:00:00-04:00,0.02,0.03,62.16
2003-07-31 16:00:00-04:00,0.05,0.06,6.48
2003-10-28 16:00:00-05:00,0.04,0.04,-20.09
2004-01-29 16:00:00-05:00,0.05,0.05,1.94
2004-04-22 16:00:00-04:00,0.04,0.06,35.2
2004-07-29 16:00:00-04:00,0.04,0.06,38.2
2004-10-21 16:00:00-04:00,0.05,0.06,17.64
2005-01-27 16:00:00-05:00,0.06,0.06,8.6
2005-04-19 16:00:00-04:00,0.07,0.09,16.93
2005-07-19 16:00:00-04:00,0.09,0.1,13.26
2005-10-18 16:00:00-04:00,0.09,0.1,3.83
2006-01-30 16:00:00-05:00,0.13,0.14,2.66
2006-04-18 16:00:00-04:00,0.13,0.15,10.9
2006-07-20 16:00:00-04:00,0.14,0.14,3.32
2006-10-18 16:00:00-04:00,0.14,0.16,13.07
2007-01-31 16:00:00-05:00,0.17,0.2,14.33
2007-04-18 16:00:00-04:00,0.2,0.21,6.8
2007-07-19 16:00:00-04:00,0.24,0.21,-13.19
2007-10-18 16:00:00-04:00,0.2,0.21,5.91
2008-01-23 16:00:00-05:00,0.2,0.21,1.87
2008-04-16 16:00:00-04:00,0.24,0.26,6.51
2008-07-17 16:00:00-04:00,0.24,0.24,-2.23
2008-10-16 16:00:00-04:00,0.25,0.26,5.36
2009-01-27 16:00:00-05:00,0.27,0.28,2.85
2009-04-21 16:00:00-04:00,0.29,0.32,6.84
2009-07-21 16:00:00-04:00,0.31,0.33,5.81
2009-10-20 16:00:00-04:00,0.34,0.37,10.15
2010-01-26 16:00:00-05:00,0.41,0.45,8.35
2010-04-20 15:00:00-04:00,0.47,0.5,4.67
2010-07-20 16:00:00-04:00,0.43,0.42,-2.27
2010-10-19 16:00:00-04:00,0.43,0.45,3.63
2011-01-25 16:00:00-05:00,0.47,0.48,1.53
2011-04-20 16:00:00-04:00,0.48,0.44,-9.88
2011-07-26 16:00:00-04:00,0.5,0.5,0.75
2011-10-27 16:00:00-04:00,0.5,0.51,1.2
2012-02-02 16:00:00-05:00,0.52,0.49,-7.17
2012-04-26 16:00:00-04:00,0.47,0.46,-3.16
2012-07-26 16:00:00-04:00,0.48,0.5,3.82
2012-10-23 16:00:00-04:00,0.47,0.5,5.94
2013-02-04 16:00:00-05:00,0.48,0.5,4.59
2013-05-02 16:00:00-04:00,0.5,0.48,-3.26
2013-07-25 16:00:00-04:00,0.5,0.5,0.26
2013-10-29 16:00:00-04:00,0.48,0.52,8.79
2014-02-04 16:00:00-05:00,0.5,0.55,8.99
