ts,eps_est,eps_rep,surprise_pct
2001-12-19 14:00:00-05:00,0.31,0.32,0.99
2002-03-20 08:00:00-05:00,0.14,0.14,1.45
2002-06-26 06:00:00-04:00,0.13,0.13,-5.07
2002-09-18 08:00:00-04:00,0.26,0.28,7.22
2002-12-18 06:00:00-05:00,0.37,0.39,4.17
2003-03-19 07:00:00-05:00,0.33,0.34,1.19
2003-06-25 08:00:00-04:00,0.32,0.32,0.93
2003-09-16 08:00:00-04:00,0.31,0.31,-0.4
2003-12-17 14:00:00-05:00,0.43,0.43,-0.25
2004-03-16 08:00:00-05:00,0.33,0.32,-3.14
2004-06-30 07:00:00-04:00,0.36,0.37,3.33
2004-09-21 07:00:00-04:00,0.3,0.28,-8.18
2004-12-21 13:00:00-05:00,0.43,0.5,14.41
2005-03-22 07:00:00-05:00,0.35,0.37,5.8
2005-06-29 07:00:00-04:00,0.33,0.32,-1.82
2005-09-22 07:00:00-04:00,0.28,0.34,22.38
2005-12-22 07:00:00-05:00,0.49,0.51,3.5
2006-03-23 07:00:00-05:00,0.32,0.35,6.26
2006-06-29 06:00:00-04:00,0.3,0.31,0.83
2006-09-21 07:00:00-04:00,0.33,0.37,11.28
2006-12-21 07:00:00-05:00,0.52,0.54,4.37
2007-03-22 07:00:00-04:00,0.35,0.37,4.29
2007-06-28 07:00:00-04:00,0.31,0.35,11.46
2007-09-19 07:00:00-04:00,0.4,0.41,2.36
2007-12-19 07:00:00-05:00,0.57,0.57,0.41
2008-03-19 07:00:00-04:00,0.4,0.44,8.67
2008-06-25 06:00:00-04:00,0.36,0.37,0.97
2008-09-17 07:00:00-04:00,0.44,0.48,9.76
2008-12-17 07:00:00-05:00,0.61,0.68,10.74
2009-03-18 06:00:00-04:00,0.44,0.4,-9.75
2009-07-01 05:00:00-04:00,0.4,0.43,6.87
2009-09-23 06:00:00-04:00,0.51,0.64,24.61
2009-12-17 06:00:00-05:00,0.73,0.77,6.12
2010-03-24 07:00:00-04:00,0.47,0.49,4.13
2010-06-29 16:00:00-04:00,0.42,0.41,-1.43
2010-09-22 07:00:00-04:00,0.63,0.64,1.89
2010-12-16 07:00:00-05:00,0.78,0.76,-2.32
2011-03-23 06:00:00-04:00,0.56,0.56,0.18
2011-06-29 06:00:00-04:00,0.52,0.52,0.73
2011-09-21 07:00:00-04:00,0.62,0.64,3.08
2011-12-20 07:00:00-05:00,0.79,0.76,-3.55
2012-03-21 06:00:00-04:00,0.55,0.55,-0.11
2012-06-27 07:00:00-04:00,0.59,0.6,2.52
2012-09-19 06:00:00-04:00,0.63,0.66,5.37
2012-12-19 06:00:00-05:00,0.79,0.86,8.93
2013-03-20 06:00:00-04:00,0.57,0.64,12.64
2013-06-26 06:00:00-04:00,0.54,0.53,-1.08
2013-09-18 06:00:00-04:00,0.7,0.7,0.1
2013-12-18 07:00:00-05:00,0.88,0.83,-5.28
2014-03-19 07:00:00-04:00,0.62,0.62,0.77
2014-06-25 06:00:00-04:00,0.72,0.67,-6.91
2014-09-17 06:00:00-04:00,0.69,0.61,-11.1
2014-12-17 07:00:00-05:00,0.76,0.8,4.94
2015-03-18 06:00:00-04:00,0.67,0.7,4.87
2015-07-01 07:00:00-04:00,0.71,0.75,5.08
2015-09-22 07:00:00-04:00,0.69,0.79,14.1
2015-12-17 07:00:00-05:00,0.83,0.82,-1.38
2016-03-23 07:00:00-04:00,0.62,0.65,4.69
2016-06-29 07:00:00-04:00,0.6,0.66,10.09
2016-09-21 07:00:00-04:00,0.75,0.78,3.62
2016-12-20 06:00:00-05:00,0.86,0.85,-1.43
2017-03-21 06:00:00-04:00,0.71,0.72,2.01
2017-06-28 06:00:00-04:00,0.71,0.73,2.75
2017-09-20 07:00:00-04:00,0.76,0.71,-6.98
2017-12-20 07:00:00-05:00,0.82,0.82,0.52
2018-03-21 07:00:00-04:00,0.78,0.79,1.35
2018-06-27 07:00:00-04:00,0.72,0.79,10.13
2018-09-18 07:00:00-04:00,0.64,0.71,11.28
2018-12-19 07:00:00-05:00,0.81,0.85,4.68
2019-03-20 07:00:00-04:00,0.69,0.83,20.39
2019-06-26 07:00:00-04:00,0.76,0.83,8.52
2019-09-18 07:00:00-04:00,0.77,0.79,2.58
2019-12-18 07:00:00-05:00,0.88,0.95,8.4
2020-03-18 07:00:00-04:00,0.76,0.77,1.57
2020-07-01 07:00:00-04:00,1.06,1.1,3.46
2020-09-23 07:00:00-04:00,0.87,1.0,14.67
2020-12-17 07:00:00-05:00,0.97,1.06,9.34
2021-03-24 07:00:00-04:00,0.84,0.82,-2.16
2021-06-30 07:00:00-04:00,0.85,0.91,7.58
2021-09-22 07:00:00-04:00,0.89,0.99,11.44
2021-12-21 07:00:00-05:00,1.05,0.99,-5.73
2022-03-23 07:00:00-04:00,0.78,0.84,7.56
2022-06-29 07:00:00-04:00,1.01,1.12,11.06
2022-09-21 07:00:00-04:00,1.0,1.11,10.81
2022-12-20 07:00:00-05:00,1.06,1.1,3.33
2023-03-23 07:00:00-04:00,0.92,0.97,5.13
2023-06-28 07:00:00-04:00,1.06,1.12,5.33
2023-09-20 07:00:00-04:00,1.08,1.09,0.8
2023-12-20 07:00:00-05:00,1.16,1.25,7.95
2024-03-20 07:00:00-04:00,1.05,1.17,11.92
2024-06-26 07:00:00-04:00,0.99,1.01,1.55
2024-09-18 07:00:00-04:00,1.06,1.07,0.98
2024-12-18 07:00:00-05:00,1.22,1.4,15.03
2025-03-19 07:00:00-04:00,0.96,1.0,4.02
