ts,eps_est,eps_rep,surprise_pct
2004-10-21 16:00:00-04:00,-0.01,,184.52
2005-02-01 16:00:00-05:00,0.02,0.02,19.48
2005-04-21 16:00:00-04:00,0.02,0.03,39.43
2005-07-21 16:00:00-04:00,0.03,0.03,7.44
2005-10-20 16:00:00-04:00,0.03,0.03,8.62
2006-01-31 16:00:00-05:00,0.04,0.03,-17.32
2006-04-20 16:00:00-04:00,0.04,0.05,13.98
2006-07-20 16:00:00-04:00,0.06,0.06,11.76
2006-10-19 16:00:00-04:00,0.06,0.07,9.57
2007-01-31 16:00:00-05:00,0.07,0.08,25.0
2007-04-19 16:00:00-04:00,0.08,0.09,11.22
2007-07-19 16:00:00-04:00,0.08,0.07,-2.62
2007-10-18 16:00:00-04:00,0.09,0.1,3.42
2008-01-31 16:00:00-05:00,0.11,0.11,-0.82
2008-04-17 16:00:00-04:00,0.11,0.12,6.86
2008-07-17 16:00:00-04:00,0.1,0.1,-1.78
2008-10-16 16:00:00-04:00,0.12,0.12,3.68
2009-01-22 16:00:00-05:00,0.12,0.13,3.16
2009-04-16 16:00:00-04:00,0.12,0.13,4.93
2009-07-16 16:00:00-04:00,0.11,0.12,6.29
2009-10-15 16:00:00-04:00,0.14,0.15,8.69
2010-01-21 16:00:00-05:00,0.16,0.17,4.88
2010-05-05 19:00:00-04:00,0.17,0.17,2.41
2010-07-15 16:00:00-04:00,0.14,0.14,0.22
2010-10-14 16:00:00-04:00,0.17,0.19,14.9
2011-01-20 16:00:00-05:00,0.2,0.22,9.15
2011-04-14 16:00:00-04:00,0.18,0.18,-1.46
2011-07-14 16:00:00-04:00,0.2,0.22,11.82
2011-10-13 16:00:00-04:00,0.22,0.24,10.91
2012-01-19 16:00:00-05:00,0.26,0.24,-9.38
2012-04-12 16:00:00-04:00,0.24,0.25,4.22
2012-07-19 16:00:00-04:00,0.25,0.25,-0.04
2012-10-18 12:00:00-04:00,0.27,0.23,-15.68
2013-01-22 16:00:00-05:00,0.26,0.27,0.82
2013-04-18 16:00:00-04:00,0.22,0.25,12.69
2013-07-18 16:00:00-04:00,0.27,0.24,-11.28
2013-10-17 16:00:00-04:00,0.26,0.27,2.99
2014-01-30 16:00:00-05:00,0.26,0.25,-3.19
2014-04-16 16:00:00-04:00,0.32,0.31,-2.31
2014-07-17 16:00:00-04:00,0.31,0.3,-2.42
2014-10-16 16:00:00-04:00,0.33,0.32,-2.6
2015-01-29 16:00:00-05:00,0.36,0.34,-3.49
2015-04-23 16:00:00-04:00,0.27,0.26,-2.05
2015-07-16 16:00:00-04:00,0.27,0.25,-8.25
2015-10-22 16:00:00-04:00,0.36,0.37,2.0
2016-02-01 16:00:00-05:00,0.4,0.43,7.13
2016-04-21 16:00:00-04:00,0.4,0.38,-5.77
2016-07-28 16:00:00-04:00,0.32,0.35,9.23
2016-10-27 16:00:00-04:00,0.34,0.36,8.13
2017-01-26 16:00:00-05:00,0.48,0.47,-2.66
2017-04-27 16:00:00-04:00,0.47,0.5,6.16
2017-07-24 16:00:00-04:00,0.22,0.25,13.25
2017-10-26 16:00:00-04:00,0.42,0.48,13.13
2018-02-01 16:00:00-05:00,0.49,0.49,-2.02
2018-04-23 16:00:00-04:00,0.46,0.47,2.28
2018-07-23 16:00:00-04:00,0.19,0.23,21.83
2018-10-25 16:00:00-04:00,0.52,0.65,24.84
2019-02-04 16:00:00-05:00,0.54,0.64,17.57
2019-04-29 16:00:00-04:00,0.52,0.6,14.43
2019-07-25 16:00:00-04:00,0.57,0.71,23.88
2019-10-28 16:00:00-04:00,0.64,0.55,-14.08
2020-02-03 16:00:00-05:00,0.63,0.77,21.89
2020-04-28 16:00:00-04:00,0.54,0.49,-8.29
2020-07-30 16:00:00-04:00,0.41,0.51,23.4
2020-10-29 16:00:00-04:00,0.56,0.82,46.24
2021-02-02 16:00:00-05:00,0.8,1.12,39.28
2021-04-27 16:00:00-04:00,0.78,1.31,67.76
2021-07-27 16:00:00-04:00,0.96,1.36,42.7
2021-10-26 16:00:00-04:00,1.16,1.4,20.44
2022-02-01 16:00:00-05:00,1.36,1.53,12.65
2022-04-26 16:00:00-04:00,1.28,1.23,-3.67
2022-07-26 16:00:00-04:00,1.29,1.21,-6.05
2022-10-25 16:00:00-04:00,1.26,1.06,-16.01
2023-02-02 16:00:00-05:00,1.2,1.05,-12.33
2023-04-25 16:00:00-04:00,1.07,1.17,9.45
2023-07-25 16:00:00-04:00,1.34,1.44,7.29
2023-10-24 16:00:00-04:00,1.45,1.55,7.05
2024-01-30 16:00:00-05:00,1.6,1.64,2.75
2024-04-25 16:00:00-04:00,1.51,1.89,25.58
2024-07-23 16:00:00-04:00,1.84,1.89,2.54
2024-10-29 16:00:00-04:00,1.85,2.12,14.83
2025-02-04 16:00:00-05:00,2.13,2.15,1.18
2025-04-24 16:00:00-04:00,2.01,2.81,39.84
2025-07-23 16:00:00-04:00,2.19,2.31,5.67
2025-10-29 16:00:00-04:00,2.26,2.87,26.88
2026-02-04 16:00:00-05:00,2.64,2.82,7.01
2026-04-29 16:00:00-04:00,2.63,5.11,94.3
2026-07-23 16:00:00-04:00,2.87,,
