ts,eps_est,eps_rep,surprise_pct
2001-09-26 08:00:00-04:00,0.81,0.87,7.32
2001-12-20 08:00:00-05:00,0.9,0.93,3.4
2002-03-19 08:00:00-05:00,0.89,0.98,10.46
2002-06-20 08:00:00-04:00,0.98,1.06,8.02
2002-09-24 08:00:00-04:00,0.99,1.0,0.88
2002-12-19 08:00:00-05:00,0.96,0.98,1.79
2003-03-20 08:00:00-05:00,0.96,1.29,35.08
2003-06-25 08:00:00-04:00,1.19,1.36,14.16
2003-09-23 08:00:00-04:00,1.23,1.32,7.38
2003-12-18 08:00:00-05:00,1.54,1.89,22.88
2004-03-23 08:00:00-05:00,1.62,2.5,54.29
2004-06-22 08:00:00-04:00,1.95,2.31,18.55
2004-09-21 08:00:00-04:00,1.41,1.74,23.26
2004-12-16 08:00:00-05:00,2.36,2.36,0.13
2005-03-17 08:00:00-05:00,2.24,2.94,31.03
2005-06-16 08:00:00-04:00,1.89,1.71,-9.57
2005-09-20 08:00:00-04:00,2.36,3.25,37.91
2005-12-15 08:00:00-05:00,3.49,3.35,-4.0
2006-03-14 09:00:00-05:00,3.3,5.08,53.76
2006-06-13 08:00:00-04:00,4.28,4.78,11.69
2006-09-12 08:00:00-04:00,2.96,3.26,9.95
2006-12-12 08:00:00-05:00,5.99,6.59,10.05
2007-03-13 08:00:00-04:00,4.98,6.67,34.04
2007-06-14 08:00:00-04:00,4.79,4.93,2.91
2007-09-20 08:00:00-04:00,4.35,6.13,41.04
2007-12-18 08:00:00-05:00,6.68,7.01,4.88
2008-03-18 08:00:00-04:00,2.57,3.23,25.68
2008-06-17 08:00:00-04:00,3.38,4.58,35.46
2008-09-16 08:00:00-04:00,1.75,1.81,3.34
2008-12-16 08:00:00-05:00,-3.92,-4.62,-17.88
2009-04-13 16:00:00-04:00,1.5,3.39,126.23
2009-07-14 08:00:00-04:00,3.48,4.93,41.79
2009-10-15 07:00:00-04:00,4.19,5.25,25.28
2010-01-21 08:00:00-05:00,5.19,8.2,57.99
2010-04-20 07:00:00-04:00,4.08,5.59,36.87
2010-07-20 08:00:00-04:00,2.52,0.78,-69.02
2010-10-19 08:00:00-04:00,2.41,2.98,23.53
2011-01-19 08:00:00-05:00,3.82,3.79,-0.74
2011-04-19 08:00:00-04:00,0.83,1.56,88.15
2011-07-19 08:00:00-04:00,2.38,1.85,-22.21
2011-10-18 07:00:00-04:00,-0.1,-0.84,-766.69
2012-01-18 07:00:00-05:00,1.34,1.84,37.31
2012-04-17 07:00:00-04:00,3.54,3.92,10.73
2012-07-17 07:00:00-04:00,1.23,1.78,45.06
2012-10-16 07:00:00-04:00,2.2,2.85,29.3
2013-01-16 07:00:00-05:00,3.71,5.6,51.0
2013-04-16 07:00:00-04:00,3.94,4.29,8.86
2013-07-16 07:00:00-04:00,2.85,3.7,29.91
2013-10-17 07:00:00-04:00,2.43,2.88,18.6
2014-01-16 07:00:00-05:00,4.17,4.6,10.43
2014-04-17 07:00:00-04:00,3.5,4.02,14.7
2014-07-15 07:00:00-04:00,3.09,4.1,32.58
2014-10-16 07:00:00-04:00,3.14,4.57,45.31
2015-01-16 07:00:00-05:00,4.31,4.38,1.54
