ts,eps_est,eps_rep,surprise_pct
2002-01-29 07:00:00-05:00,1.09,1.1,0.67
2002-04-18 07:00:00-04:00,0.9,0.9,-0.4
2002-07-16 07:00:00-04:00,1.1,1.1,
2002-07-16 07:00:00-04:00,1.08,1.1,2.17
2002-10-16 07:00:00-04:00,1.0,1.0,-0.4
2003-01-31 08:00:00-05:00,1.0,1.0,
2003-04-17 06:00:00-04:00,0.67,0.64,-4.15
2003-07-17 07:00:00-04:00,0.73,0.74,0.74
2003-10-16 07:00:00-04:00,0.8,0.8,-0.39
2004-01-29 06:00:00-05:00,0.93,0.98,5.07
2004-04-21 06:00:00-04:00,0.6,0.68,12.99
2004-07-21 02:00:00-04:00,0.76,0.9,17.71
2004-10-20 06:00:00-04:00,0.85,0.86,0.78
2005-01-28 07:00:00-05:00,0.98,0.98,-0.29
2005-04-20 07:00:00-04:00,0.8,0.84,4.88
2005-07-20 07:00:00-04:00,1.01,1.08,6.95
2005-10-19 07:00:00-04:00,1.07,1.1,3.2
2006-01-26 07:00:00-05:00,1.22,1.22,-0.38
2006-04-19 07:00:00-04:00,0.98,1.04,6.43
2006-07-20 07:00:00-04:00,1.23,1.26,2.69
2006-10-19 08:00:00-04:00,1.27,1.32,3.99
2007-01-26 07:00:00-05:00,1.44,1.44,0.29
2007-04-20 07:00:00-04:00,1.23,1.32,7.03
2007-07-19 08:00:00-04:00,1.52,1.56,2.95
2007-10-19 07:00:00-04:00,1.63,1.62,-0.61
2008-01-24 23:00:00-05:00,1.82,1.82,0.07
2008-04-18 07:00:00-04:00,1.65,1.7,3.14
2008-07-18 07:00:00-04:00,1.87,1.92,2.81
2008-10-17 07:00:00-04:00,1.9,1.94,1.89
2009-01-30 07:00:00-05:00,1.94,1.94,-0.24
2009-04-24 07:00:00-04:00,1.08,1.08,-0.4
2009-07-27 07:00:00-04:00,1.21,1.2,-0.43
2009-10-23 07:00:00-04:00,1.44,1.52,5.22
2010-01-29 07:00:00-05:00,1.8,1.82,1.09
2010-04-23 06:00:00-04:00,0.96,1.0,4.69
2010-07-23 07:00:00-04:00,1.15,1.2,4.26
2010-10-22 07:00:00-04:00,1.25,1.28,2.02
2011-01-28 07:00:00-05:00,1.72,1.74,1.2
