ts,eps_est,eps_rep,surprise_pct
2001-10-29 07:00:00-05:00,0.18,0.18,1.41
2002-02-04 05:00:00-05:00,0.2,0.21,5.88
2002-04-29 02:00:00-04:00,0.28,0.28,1.08
2002-07-29 04:00:00-04:00,0.27,0.27,0.68
2002-10-28 05:00:00-05:00,0.31,0.31,-0.87
2003-02-03 05:00:00-05:00,0.33,0.34,3.03
2003-04-28 05:00:00-04:00,0.31,0.31,0.32
2003-07-28 05:00:00-04:00,0.29,0.37,28.92
2003-10-27 05:00:00-05:00,0.38,0.38,-0.24
2004-02-02 05:00:00-05:00,0.4,0.41,2.5
2004-04-26 05:00:00-04:00,0.41,0.41,0.74
2004-07-26 05:00:00-04:00,0.39,0.46,19.48
2004-11-01 06:00:00-05:00,0.44,0.52,18.56
2005-02-07 05:00:00-05:00,0.27,0.26,-2.62
2005-05-02 05:00:00-04:00,0.5,0.53,5.6
2005-08-01 05:00:00-04:00,0.51,0.51,0.39
2005-10-31 05:00:00-05:00,0.51,0.6,17.88
2006-02-06 05:00:00-05:00,0.45,0.46,1.69
2006-05-01 05:00:00-04:00,0.45,0.39,-13.0
2006-07-31 05:00:00-04:00,0.35,0.53,52.52
2006-10-30 05:00:00-05:00,0.97,0.95,-2.26
2007-02-05 05:00:00-05:00,0.88,0.92,4.31
2007-04-30 05:00:00-04:00,0.4,0.42,5.83
2007-07-18 09:00:00-04:00,1.17,1.28,9.28
2007-10-29 06:00:00-04:00,1.48,1.53,3.67
2008-02-04 06:00:00-05:00,1.32,1.43,8.43
2008-04-28 06:00:00-04:00,0.45,0.47,4.14
2008-08-04 06:00:00-04:00,1.18,1.24,5.47
2008-10-27 05:00:00-04:00,1.47,1.49,1.57
2009-02-02 06:00:00-05:00,1.06,1.07,0.7
2009-04-27 06:00:00-04:00,1.14,1.22,6.65
2009-08-03 06:00:00-04:00,1.65,1.67,0.99
2009-11-02 06:00:00-05:00,1.77,1.78,0.57
2010-02-01 06:00:00-05:00,1.49,1.48,-0.35
2010-04-26 05:00:00-04:00,1.15,1.2,4.59
2010-08-02 06:00:00-04:00,1.69,2.11,25.22
2010-11-01 06:00:00-04:00,1.68,2.32,38.05
2011-02-07 06:00:00-05:00,0.82,1.65,100.64
2011-05-02 06:00:00-04:00,1.75,1.86,6.53
2011-08-01 06:00:00-04:00,2.08,2.71,30.49
2011-10-31 06:00:00-04:00,2.03,2.67,31.78
2012-02-06 05:00:00-05:00,1.2,1.2,-0.25
2012-04-30 06:00:00-04:00,1.54,1.49,-3.2
2012-07-30 16:00:00-04:00,2.2,2.34,6.26
2012-11-05 06:00:00-05:00,2.05,2.62,27.95
2013-02-04 06:00:00-05:00,1.07,1.19,11.53
2013-05-01 06:00:00-04:00,1.79,2.95,64.88
2013-07-31 06:00:00-04:00,2.47,2.63,6.34
2013-11-06 06:00:00-05:00,2.18,2.31,6.06
2014-02-05 06:00:00-05:00,0.93,0.8,-14.25
2014-05-07 06:00:00-04:00,1.94,2.35,21.15
2014-07-30 06:00:00-04:00,2.19,2.19,-0.04
2014-11-07 06:00:00-05:00,2.0,1.85,-7.7
2015-02-04 06:00:00-05:00,1.15,1.09,-5.13
2015-04-29 06:00:00-04:00,2.56,2.47,-3.38
2015-07-29 07:00:00-04:00,1.63,1.67,2.58
2015-11-06 06:00:00-05:00,2.13,2.16,1.49
2016-02-10 07:00:00-05:00,1.46,1.45,-0.43
2016-05-04 07:00:00-04:00,1.81,1.86,2.49
2016-08-03 07:00:00-04:00,2.28,2.3,0.73
2016-11-04 06:00:00-04:00,3.15,3.18,0.95
2017-02-08 06:00:00-05:00,2.06,2.09,1.43
2017-05-03 06:00:00-04:00,2.63,2.75,4.37
2017-08-02 06:00:00-04:00,3.06,3.49,14.23
2017-11-08 06:00:00-05:00,3.27,3.39,3.63
2018-02-07 06:00:00-05:00,2.0,2.06,2.9
2018-05-02 06:00:00-04:00,3.2,3.36,5.14
2018-08-01 06:00:00-04:00,3.78,3.96,4.8
2018-11-07 06:00:00-05:00,4.24,4.58,8.11
2019-02-06 06:00:00-05:00,2.53,2.65,4.83
2019-05-01 06:00:00-04:00,4.3,4.48,4.21
2019-07-31 06:00:00-04:00,5.27,6.05,14.69
2019-11-06 06:00:00-05:00,4.57,5.03,10.13
2020-02-05 06:00:00-05:00,2.19,2.28,3.98
2020-04-29 07:00:00-04:00,4.69,5.4,15.05
2020-08-05 06:00:00-04:00,10.12,12.56,24.11
2020-11-03 06:00:00-05:00,2.8,3.08,9.87
2021-02-03 06:00:00-05:00,-2.32,-2.3,0.77
2021-04-28 07:00:00-04:00,7.1,7.67,8.03
2021-07-28 06:00:00-04:00,6.84,6.89,0.69
2021-11-03 07:00:00-04:00,4.67,4.83,3.34
2022-02-02 06:00:00-05:00,1.16,1.24,6.97
2022-04-27 07:00:00-04:00,6.8,8.04,18.32
2022-07-27 06:00:00-04:00,7.67,8.67,12.98
2022-11-02 06:00:00-04:00,6.28,6.88,9.62
2023-02-01 06:00:00-05:00,1.46,1.62,10.67
2023-04-26 06:00:00-04:00,9.2,9.38,1.95
2023-08-02 06:00:00-04:00,8.83,8.94,1.22
2023-11-01 06:00:00-04:00,7.17,7.78,8.5
2024-01-25 06:00:00-05:00,0.92,-0.11,-111.98
2024-04-24 06:00:00-04:00,6.0,7.23,20.44
2024-07-31 06:00:00-04:00,5.86,6.96,18.78
2024-10-30 06:00:00-04:00,3.39,4.16,22.85
2025-02-11 06:00:00-05:00,-2.12,-2.16,-1.93
2025-04-30 06:00:00-04:00,10.07,11.58,14.97
2025-07-29 20:00:00-04:00,5.87,6.27,6.86
2025-11-05 06:00:00-05:00,2.83,3.24,14.64
2026-02-11 06:00:00-05:00,-3.99,-3.96,0.68
2026-04-29 06:00:00-04:00,10.2,10.31,1.05
2026-07-29 08:00:00-04:00,6.97,,
