ts,eps_est,eps_rep,surprise_pct
2006-02-23 07:00:00-05:00,0.05,0.05,5.88
2006-05-02 07:00:00-04:00,0.06,0.07,17.02
2006-07-26 07:00:00-04:00,0.1,0.1,5.77
2006-11-02 07:00:00-05:00,0.14,0.15,2.2
2007-02-07 07:00:00-05:00,0.15,0.15,-0.79
2007-05-02 07:00:00-04:00,0.15,0.16,10.09
2007-07-26 07:00:00-04:00,0.15,0.17,12.14
2007-10-25 07:00:00-04:00,0.18,0.19,4.89
2008-01-31 07:00:00-05:00,0.18,0.19,1.9
2008-05-02 07:00:00-04:00,0.25,0.26,3.46
2008-08-04 07:00:00-04:00,0.24,0.24,0.34
2008-10-30 07:00:00-04:00,0.21,0.21,0.24
2009-02-10 07:00:00-05:00,0.17,0.16,-2.86
2009-05-05 07:00:00-04:00,0.2,0.22,7.39
2009-08-04 07:00:00-04:00,0.23,0.22,-1.81
2009-11-03 07:00:00-05:00,0.23,0.24,0.85
2010-02-10 07:00:00-05:00,0.23,0.22,-3.05
2010-05-05 07:00:00-04:00,0.26,0.27,4.03
2010-08-04 07:00:00-04:00,0.28,0.3,6.56
2010-11-01 07:00:00-04:00,0.27,0.28,4.0
2011-02-09 07:00:00-05:00,0.27,0.27,1.1
2011-05-04 07:00:00-04:00,0.34,0.35,5.01
2011-08-03 07:00:00-04:00,0.33,0.34,1.42
2011-11-02 07:00:00-04:00,0.35,0.37,5.58
2012-02-08 07:00:00-05:00,0.34,0.35,5.02
2012-05-02 07:00:00-04:00,0.4,0.41,1.43
2012-08-01 07:00:00-04:00,0.39,0.39,0.99
2012-11-05 07:00:00-05:00,0.35,0.36,2.99
2013-02-06 07:00:00-05:00,0.35,0.37,4.27
2013-05-01 07:00:00-04:00,0.4,0.41,2.68
2013-08-06 07:00:00-04:00,0.43,0.44,2.81
2013-11-05 07:00:00-05:00,0.37,0.39,6.33
2014-02-11 07:00:00-05:00,0.39,0.4,2.09
2014-05-08 07:00:00-04:00,0.52,0.52,-0.43
2014-08-07 07:00:00-04:00,0.41,0.42,3.05
2014-11-04 07:00:00-05:00,0.4,0.43,6.88
2015-02-05 07:00:00-05:00,0.51,0.52,1.9
2015-05-05 07:00:00-04:00,0.59,0.61,3.25
2015-08-05 07:00:00-04:00,0.55,0.58,4.57
2015-10-28 07:00:00-04:00,0.58,0.58,-0.19
2016-02-04 07:00:00-05:00,0.6,0.65,8.76
2016-05-04 07:00:00-04:00,0.73,0.74,0.59
2016-08-03 07:00:00-04:00,0.67,0.69,1.7
2016-11-01 07:00:00-04:00,0.64,0.64,-0.31
2017-02-07 07:00:00-05:00,0.69,0.71,2.34
2017-05-03 07:00:00-04:00,0.73,0.74,0.88
2017-08-03 07:00:00-04:00,0.76,0.75,-0.95
2017-11-02 07:00:00-04:00,0.7,0.73,3.84
2018-02-07 07:00:00-05:00,0.72,0.73,1.1
2018-05-03 07:00:00-04:00,0.88,0.9,2.45
2018-08-02 07:00:00-04:00,0.89,0.9,0.77
2018-10-31 07:00:00-04:00,0.8,0.85,6.35
2019-02-07 07:00:00-05:00,0.92,0.94,2.51
2019-05-02 07:00:00-04:00,0.9,0.92,1.76
2019-08-01 07:00:00-04:00,0.93,0.94,1.39
2019-10-31 07:00:00-04:00,0.96,1.06,10.99
2020-02-06 07:00:00-05:00,0.95,0.95,-0.35
2020-04-30 07:00:00-04:00,1.22,1.28,4.62
2020-07-30 07:00:00-04:00,1.04,1.07,2.61
2020-10-29 07:00:00-04:00,0.98,1.03,4.6
2021-02-04 08:00:00-05:00,1.08,1.13,4.53
2021-04-29 07:00:00-04:00,1.31,1.34,2.38
2021-07-29 07:00:00-04:00,1.16,1.16,0.36
2021-10-28 07:00:00-04:00,1.23,1.3,5.82
2022-02-03 07:00:00-05:00,1.32,1.34,1.75
2022-05-05 07:00:00-04:00,1.42,1.43,0.7
2022-08-04 07:00:00-04:00,1.27,1.32,3.99
2022-11-03 07:00:00-04:00,1.27,1.31,3.37
2023-02-02 07:00:00-05:00,1.26,1.25,-0.96
2023-05-04 07:00:00-04:00,1.4,1.41,0.75
2023-08-03 07:00:00-04:00,1.37,1.43,4.6
2023-11-02 07:00:00-04:00,1.39,1.46,5.17
2024-02-08 07:00:00-05:00,1.29,1.33,3.06
2024-05-02 08:00:00-04:00,1.49,1.48,-0.46
2024-08-01 07:00:00-04:00,1.49,1.52,2.25
2024-10-31 07:00:00-04:00,1.55,1.55,-0.06
2025-02-06 07:00:00-05:00,1.49,1.52,1.98
2025-05-01 07:00:00-04:00,1.7,1.72,0.99
2025-07-31 07:00:00-04:00,1.77,1.81,2.26
2025-10-30 07:00:00-04:00,1.61,1.71,6.44
2026-02-05 07:00:00-05:00,1.67,1.71,2.23
2026-04-30 07:00:00-04:00,2.26,2.35,3.86
2026-07-30 08:00:00-04:00,1.91,,
