ts,eps_est,eps_rep,surprise_pct
2001-11-15 16:00:00-05:00,-0.08,-0.06,14.75
2002-02-13 16:00:00-05:00,0.29,0.31,6.16
2002-05-15 16:00:00-04:00,0.36,0.38,4.13
2002-08-14 16:00:00-04:00,-0.06,-0.04,24.37
2002-11-13 16:00:00-05:00,-0.12,-0.1,9.48
2003-02-13 16:00:00-05:00,0.29,0.31,6.86
2003-05-14 16:00:00-04:00,0.51,0.53,2.32
2003-08-19 16:00:00-04:00,-0.04,-0.02,34.21
2003-11-19 16:00:00-05:00,-0.13,-0.12,9.09
2004-02-18 16:00:00-05:00,0.35,0.39,10.63
2004-05-19 16:00:00-04:00,0.58,0.6,3.63
2004-08-18 16:00:00-04:00,-0.03,-0.03,13.49
2004-11-17 16:00:00-05:00,-0.13,-0.11,11.54
2005-02-17 16:00:00-05:00,0.38,0.41,7.38
2005-05-18 16:00:00-04:00,0.77,0.78,0.26
2005-08-24 16:00:00-04:00,-0.05,-0.04,18.93
2005-11-16 16:00:00-05:00,-0.15,-0.13,14.47
2006-02-16 16:00:00-05:00,0.47,0.49,2.73
2006-05-17 16:00:00-04:00,0.84,0.86,1.65
2006-08-22 16:00:00-04:00,-0.06,-0.08,-33.33
2006-11-16 16:00:00-05:00,-0.12,-0.12,4.0
2007-02-22 16:00:00-05:00,0.42,0.45,6.13
2007-05-17 16:00:00-04:00,1.07,1.13,5.47
2007-08-22 16:00:00-04:00,-0.05,-0.02,61.78
2007-11-15 16:00:00-05:00,-0.12,-0.1,17.36
2008-02-21 16:00:00-05:00,0.36,0.4,9.96
2008-05-20 16:00:00-04:00,1.33,1.39,4.48
2008-08-21 16:00:00-04:00,-0.08,-0.08,
2008-11-19 16:00:00-05:00,-0.12,-0.09,24.87
2009-02-19 16:00:00-05:00,0.27,0.34,26.88
2009-05-20 16:00:00-04:00,1.6,1.68,4.72
2009-08-20 16:00:00-04:00,-0.12,-0.1,16.05
2009-11-19 16:00:00-05:00,-0.16,-0.1,36.2
2010-02-18 16:00:00-05:00,0.32,0.38,19.9
2010-05-20 16:00:00-04:00,1.82,1.89,3.85
2010-08-19 16:00:00-04:00,-0.1,-0.05,51.88
2010-11-18 16:00:00-05:00,-0.12,-0.12,-2.91
2011-02-17 19:00:00-05:00,0.3,0.32,6.93
2011-05-19 16:00:00-04:00,2.15,2.2,2.51
2011-08-18 16:00:00-04:00,,0.02,992.9
2011-11-17 16:00:00-05:00,-0.13,-0.1,21.69
2012-02-21 16:00:00-05:00,0.45,0.51,12.55
2012-05-17 16:00:00-04:00,2.48,2.51,1.24
2012-08-21 16:00:00-04:00,0.06,0.03,-50.78
2012-11-15 16:00:00-05:00,-0.06,-0.03,52.55
2013-02-21 16:00:00-05:00,0.3,0.33,9.32
2013-05-21 16:00:00-04:00,2.93,2.97,1.45
2013-08-20 16:00:00-04:00,-0.01,,100.0
