ts,eps_est,eps_rep,surprise_pct
2002-02-07 16:00:00-05:00,-0.02,-0.02,18.17
2002-04-25 16:00:00-04:00,-0.04,-0.03,11.78
2002-04-25 16:00:00-04:00,-0.03,-0.01,58.34
2002-07-30 16:00:00-04:00,-0.03,-0.02,23.09
2002-10-24 16:00:00-04:00,-0.03,-0.04,-38.46
2003-02-07 10:00:00-05:00,-0.02,-0.02,36.33
2003-04-24 16:00:00-04:00,-0.03,-0.01,50.0
2003-08-07 16:00:00-04:00,,0.01,225.23
2003-10-27 09:00:00-05:00,-0.01,-0.01,-33.3
2004-02-12 16:00:00-05:00,,,1918.18
2004-04-29 16:00:00-04:00,,,367.47
2004-07-27 09:00:00-04:00,0.01,0.02,143.51
2004-10-26 16:00:00-04:00,0.01,0.02,83.75
2005-02-08 16:00:00-05:00,0.02,0.04,75.35
2005-04-21 16:00:00-04:00,0.02,0.03,38.9
2005-07-26 16:00:00-04:00,0.02,0.04,90.48
2005-10-25 16:00:00-04:00,0.03,0.06,90.97
2006-02-02 16:00:00-05:00,0.06,0.07,23.5
2006-04-27 16:00:00-04:00,0.02,0.04,92.43
2006-07-26 16:00:00-04:00,0.04,0.05,10.71
2006-10-26 16:00:00-04:00,0.05,0.05,9.31
2007-02-01 16:00:00-05:00,0.06,0.07,21.56
2007-04-19 16:00:00-04:00,0.06,0.07,16.98
2007-07-19 16:00:00-04:00,0.07,0.09,18.8
2007-10-18 16:00:00-04:00,0.09,0.11,19.95
2008-01-31 16:00:00-05:00,0.12,0.14,19.61
2008-04-17 16:00:00-04:00,0.11,0.12,13.97
2008-07-22 16:00:00-04:00,0.13,0.14,8.47
2008-10-16 16:00:00-04:00,0.14,0.16,14.59
2009-01-22 16:00:00-05:00,0.14,0.14,0.21
2009-04-16 06:00:00-04:00,0.11,0.11,0.15
2009-07-22 16:00:00-04:00,0.14,0.16,10.17
2009-10-20 16:00:00-04:00,0.16,0.17,4.95
2010-01-21 16:00:00-05:00,0.19,0.22,13.83
2010-04-15 15:00:00-04:00,0.19,0.24,26.03
2010-07-21 16:00:00-04:00,0.23,0.24,6.96
2010-10-19 16:00:00-04:00,0.24,0.24,-2.57
2011-01-20 16:00:00-05:00,0.25,0.34,34.27
2011-04-19 16:00:00-04:00,0.28,0.29,3.95
2011-07-19 16:00:00-04:00,0.3,0.32,7.6
2011-10-18 16:00:00-04:00,0.31,0.34,8.46
2012-01-19 16:00:00-05:00,0.37,0.42,12.11
2012-04-17 16:00:00-04:00,0.35,0.39,11.14
2012-07-19 16:00:00-04:00,0.4,0.42,5.08
2012-10-16 16:00:00-04:00,0.39,0.39,0.56
2013-01-22 16:00:00-05:00,0.45,0.47,4.79
2013-04-18 16:00:00-04:00,0.45,0.51,13.13
