ts,eps_est,eps_rep,surprise_pct
2001-10-16 08:00:00-04:00,0.48,0.5,3.24
2002-01-22 08:00:00-05:00,0.38,0.39,1.96
2002-04-16 08:00:00-04:00,0.58,0.59,1.9
2002-07-16 08:00:00-04:00,0.59,0.6,2.56
2002-10-15 08:00:00-04:00,0.59,0.6,1.69
2003-01-21 08:00:00-05:00,0.47,0.48,1.79
2003-04-15 08:00:00-04:00,0.68,0.69,2.05
2003-07-15 08:00:00-04:00,0.69,0.7,1.2
2003-10-14 08:00:00-04:00,0.68,0.69,1.17
2004-01-20 08:00:00-05:00,0.56,0.57,1.24
2004-04-13 08:00:00-04:00,0.8,0.83,4.27
2004-07-13 08:00:00-04:00,0.79,0.82,3.93
2004-10-12 08:00:00-04:00,0.76,0.78,2.39
2005-01-25 08:00:00-05:00,0.64,0.67,4.52
2005-04-19 08:00:00-04:00,0.92,0.97,5.32
2005-07-19 08:00:00-04:00,0.91,0.93,2.31
2005-10-18 08:00:00-04:00,0.86,0.87,1.64
2006-01-24 08:00:00-05:00,0.73,0.73,0.69
2006-04-18 08:00:00-04:00,0.98,0.99,0.71
2006-07-18 08:00:00-04:00,0.97,0.98,0.88
2006-10-17 08:00:00-04:00,0.93,0.98,5.56
2007-01-23 08:00:00-05:00,0.79,0.81,2.03
2007-04-17 08:00:00-04:00,1.04,1.16,11.11
2007-07-16 19:00:00-04:00,1.0,1.05,5.0
2007-10-16 07:00:00-04:00,0.99,1.06,6.73
2008-01-22 07:00:00-05:00,0.86,0.88,2.33
2008-04-15 08:00:00-04:00,1.2,1.26,5.05
2008-07-15 07:00:00-04:00,1.12,1.18,5.04
2008-10-14 07:00:00-04:00,1.11,1.17,5.15
2009-01-20 07:00:00-05:00,0.92,0.94,2.49
2009-04-14 07:00:00-04:00,1.22,1.26,2.9
2009-07-14 07:00:00-04:00,1.11,1.15,3.23
2009-10-13 07:00:00-04:00,1.13,1.2,6.05
2010-01-26 07:00:00-05:00,0.97,1.02,4.98
2010-04-20 06:00:00-04:00,1.27,1.29,1.29
2010-07-20 07:00:00-04:00,1.2,1.21,0.44
2010-10-19 07:00:00-04:00,1.15,1.23,7.19
2011-01-25 07:00:00-05:00,1.03,1.03,0.36
2011-04-19 07:00:00-04:00,1.26,1.35,7.41
2011-07-19 07:00:00-04:00,1.24,1.28,3.05
2011-10-18 07:00:00-04:00,1.21,1.24,2.83
2012-01-24 07:00:00-05:00,1.09,1.13,3.48
2012-04-17 07:00:00-04:00,1.36,1.37,0.97
2012-07-17 07:00:00-04:00,1.29,1.3,0.73
2012-10-16 07:00:00-04:00,1.21,1.25,3.13
2013-01-22 07:00:00-05:00,1.17,1.19,2.1
2013-04-16 07:00:00-04:00,1.4,1.44,2.76
2013-07-16 07:00:00-04:00,1.39,1.48,6.38
2013-10-15 07:00:00-04:00,1.32,1.36,2.8
2014-01-21 07:00:00-05:00,1.2,1.24,3.15
2014-04-15 07:00:00-04:00,1.48,1.54,4.33
2014-07-15 07:00:00-04:00,1.55,1.66,7.11
2014-10-14 07:00:00-04:00,1.45,1.5,3.68
2015-01-20 07:00:00-05:00,1.26,1.27,1.19
2015-04-14 07:00:00-04:00,1.54,1.56,1.33
2015-07-14 07:00:00-04:00,1.68,1.71,1.74
2015-10-13 07:00:00-04:00,1.45,1.49,2.64
2016-01-26 06:00:00-05:00,1.42,1.44,1.48
2016-04-19 06:00:00-04:00,1.65,1.68,1.76
2016-07-19 06:00:00-04:00,1.68,1.74,3.65
2016-10-18 06:00:00-04:00,1.66,1.68,1.39
2017-01-24 06:00:00-05:00,1.56,1.58,1.03
2017-04-18 06:00:00-04:00,1.77,1.83,3.18
2017-07-18 06:00:00-04:00,1.79,1.83,2.41
2017-10-17 06:00:00-04:00,1.8,1.9,5.35
2018-01-23 06:00:00-05:00,1.72,1.74,0.94
2018-04-17 06:00:00-04:00,2.0,2.06,2.89
2018-07-17 06:00:00-04:00,2.07,2.1,1.59
2018-10-16 06:00:00-04:00,2.03,2.05,0.89
2019-01-22 06:00:00-05:00,1.95,1.97,0.89
2019-04-16 06:00:00-04:00,2.04,2.1,2.77
2019-07-16 06:00:00-04:00,2.44,2.58,5.62
2019-10-15 06:00:00-04:00,2.01,2.12,5.22
2020-01-22 06:00:00-05:00,1.87,1.88,0.73
2020-04-14 07:00:00-04:00,2.0,2.3,15.23
2020-07-16 06:00:00-04:00,1.51,1.67,10.51
2020-10-13 06:00:00-04:00,1.98,2.2,11.03
2021-01-26 06:00:00-05:00,1.83,1.86,1.76
2021-04-20 06:00:00-04:00,2.35,2.59,10.43
2021-07-21 06:00:00-04:00,2.28,2.48,8.62
2021-10-19 06:00:00-04:00,2.35,2.6,10.51
2022-01-25 06:00:00-05:00,2.12,2.13,0.53
2022-04-19 06:00:00-04:00,2.57,2.67,4.08
2022-07-19 06:00:00-04:00,2.55,2.59,1.63
2022-10-18 06:00:00-04:00,2.49,2.55,2.6
2023-01-24 06:00:00-05:00,2.24,2.35,5.07
2023-04-18 06:00:00-04:00,2.5,2.68,7.17
2023-07-20 06:00:00-04:00,2.62,2.8,6.92
2023-10-17 06:00:00-04:00,2.52,2.66,5.54
2024-01-23 06:00:00-05:00,2.28,2.29,0.39
2024-04-16 06:00:00-04:00,2.65,2.71,2.26
2024-07-17 06:00:00-04:00,2.7,2.82,4.31
2024-10-15 06:00:00-04:00,2.21,2.42,9.71
2025-01-22 06:00:00-05:00,2.01,2.04,1.38
2025-04-15 06:00:00-04:00,2.58,2.77,7.38
2025-07-16 06:00:00-04:00,2.68,2.77,3.21
2025-10-14 06:00:00-04:00,2.76,2.8,1.49
2026-01-21 06:00:00-05:00,2.46,2.46,-0.11
2026-04-14 06:00:00-04:00,2.68,2.7,0.85
2026-07-15 08:00:00-04:00,2.85,,
