ts,eps_est,eps_rep,surprise_pct
2001-10-17 07:00:00-04:00,0.51,0.51,-0.7
2002-01-16 07:00:00-05:00,0.35,0.12,-65.84
2002-04-17 07:00:00-04:00,0.53,0.57,7.02
2002-07-17 07:00:00-04:00,0.65,0.58,-11.28
2002-10-16 07:00:00-04:00,0.07,0.16,124.78
2003-01-22 07:00:00-05:00,-0.07,-0.07,-6.06
2003-04-16 07:00:00-04:00,0.5,0.69,37.41
2003-07-16 07:00:00-04:00,0.62,0.89,43.78
2003-10-22 07:00:00-04:00,0.76,0.78,3.17
2004-01-21 07:00:00-05:00,0.77,0.89,15.43
2004-04-21 07:00:00-04:00,0.87,0.92,6.36
2004-07-21 06:00:00-04:00,0.83,0.85,2.65
2004-10-20 07:00:00-04:00,0.74,0.6,-18.98
2005-01-19 06:00:00-05:00,0.69,0.64,-7.41
2005-04-20 06:00:00-04:00,0.7,0.81,15.84
2005-07-20 06:00:00-04:00,0.65,0.66,1.93
2005-10-19 06:00:00-04:00,0.72,0.75,3.74
2006-01-18 07:00:00-05:00,0.73,0.73,0.56
2006-04-19 06:00:00-04:00,0.83,0.86,3.4
2006-07-19 06:00:00-04:00,0.87,0.92,6.11
2006-10-18 06:00:00-04:00,0.86,0.91,6.06
2007-01-17 07:00:00-05:00,0.94,1.01,7.25
2007-04-18 06:00:00-04:00,1.02,1.23,21.06
2007-07-18 06:00:00-04:00,1.08,1.2,11.01
2007-10-17 06:00:00-04:00,0.9,0.97,8.26
2008-01-16 06:00:00-05:00,0.91,0.86,-5.7
2008-04-16 06:00:00-04:00,0.65,0.68,3.88
2008-07-17 06:00:00-04:00,0.44,0.54,23.85
2008-10-15 06:00:00-04:00,-0.29,-0.06,79.09
2009-01-15 06:00:00-05:00,0.01,-0.28,-2318.7
2009-04-16 06:00:00-04:00,0.3,0.4,31.2
2009-07-16 06:00:00-04:00,0.06,0.28,340.81
2009-10-14 06:00:00-04:00,0.53,0.82,55.57
2010-01-15 06:00:00-05:00,0.61,0.74,21.81
2010-04-14 05:00:00-04:00,0.64,0.74,15.26
2010-07-15 06:00:00-04:00,0.74,1.09,47.58
2010-10-13 06:00:00-04:00,0.9,1.01,12.56
2011-01-14 07:00:00-05:00,1.01,1.12,10.92
2011-04-13 06:00:00-04:00,1.16,1.28,10.59
2011-07-14 06:00:00-04:00,1.2,1.27,5.57
2011-10-13 06:00:00-04:00,0.91,1.02,11.78
2012-01-13 06:00:00-05:00,0.91,0.9,-1.36
2012-04-13 07:00:00-04:00,1.17,1.31,11.75
2012-07-13 06:00:00-04:00,0.82,1.21,47.34
2012-10-12 06:00:00-04:00,1.23,1.4,13.66
2013-01-16 06:00:00-05:00,1.21,1.39,14.79
2013-04-12 06:00:00-04:00,1.38,1.59,14.96
2013-07-12 06:00:00-04:00,1.45,1.6,10.71
2013-10-11 06:00:00-04:00,1.28,1.42,11.2
2014-01-14 06:00:00-05:00,1.33,1.4,5.03
2014-04-11 07:00:00-04:00,1.4,1.28,-8.79
2014-07-15 06:00:00-04:00,1.3,1.46,12.23
2014-10-14 06:00:00-04:00,1.38,1.62,16.98
2015-01-14 06:00:00-05:00,1.32,1.19,-9.52
2015-04-14 07:00:00-04:00,1.41,1.45,2.96
2015-07-14 07:00:00-04:00,1.44,1.54,6.96
2015-10-13 16:00:00-04:00,1.37,1.32,-3.72
2016-01-14 06:00:00-05:00,1.26,1.32,4.7
2016-04-13 06:00:00-04:00,1.26,1.35,7.1
2016-07-14 06:00:00-04:00,1.43,1.55,8.63
2016-10-14 02:00:00-04:00,1.39,1.58,13.79
2017-01-13 07:00:00-05:00,1.42,1.58,11.06
2017-04-13 06:00:00-04:00,1.51,1.65,9.44
2017-07-14 06:00:00-04:00,1.59,1.71,7.48
2017-10-12 06:00:00-04:00,1.66,1.76,6.24
2018-01-12 06:00:00-05:00,1.69,1.76,4.06
2018-04-13 06:00:00-04:00,2.29,2.26,-1.23
2018-07-13 06:00:00-04:00,2.22,2.29,3.1
2018-10-12 06:00:00-04:00,2.26,2.34,3.45
2019-01-15 06:00:00-05:00,2.19,1.98,-9.49
2019-04-12 06:00:00-04:00,2.35,2.65,12.76
2019-07-16 06:00:00-04:00,2.49,2.82,13.21
2019-10-15 06:00:00-04:00,2.45,2.68,9.2
2020-01-14 06:00:00-05:00,2.36,2.57,8.83
