ts,eps_est,eps_rep,surprise_pct
2001-10-23 08:00:00-04:00,0.8,0.8,-0.37
2002-01-24 08:00:00-05:00,0.8,0.82,3.14
2002-04-23 07:00:00-04:00,0.83,0.87,4.82
2002-07-23 07:00:00-04:00,0.85,0.86,0.94
2002-10-22 07:00:00-04:00,0.89,0.87,-2.58
2003-01-27 08:00:00-05:00,0.74,0.76,3.26
2003-04-22 07:00:00-04:00,0.77,0.8,3.63
2003-07-23 07:00:00-04:00,0.81,0.82,1.49
2003-10-22 07:00:00-04:00,0.84,0.85,0.71
2004-01-26 07:00:00-05:00,0.88,0.91,3.06
2004-04-22 07:00:00-04:00,0.9,0.91,0.83
2004-07-22 08:00:00-04:00,0.89,0.9,1.01
2004-10-25 07:00:00-04:00,0.91,0.89,-1.87
2005-01-24 08:00:00-05:00,0.9,0.91,0.56
2005-04-25 08:00:00-04:00,0.93,0.93,-0.21
2005-07-22 06:00:00-04:00,0.94,0.95,1.39
2005-10-24 07:00:00-04:00,0.95,0.95,0.42
2006-01-24 07:00:00-05:00,0.95,0.95,-0.52
2006-04-24 07:00:00-04:00,0.92,0.93,0.65
2006-07-26 07:00:00-04:00,0.94,0.95,0.74
2006-10-23 07:00:00-04:00,0.98,0.99,1.23
2007-01-25 07:00:00-05:00,1.02,1.03,1.18
2007-04-23 07:00:00-04:00,1.01,1.03,1.75
2007-07-24 07:00:00-04:00,1.03,1.04,1.35
2007-10-22 07:00:00-04:00,1.06,1.07,0.88
2008-01-24 07:00:00-05:00,1.11,1.11,
2008-04-22 07:00:00-04:00,1.07,1.08,1.0
2008-07-24 07:00:00-04:00,1.03,1.03,
2008-10-22 07:00:00-04:00,1.01,1.02,1.07
2009-01-26 07:00:00-05:00,1.03,1.01,-1.9
2009-04-22 07:00:00-04:00,0.97,0.98,1.03
2009-07-23 07:00:00-04:00,1.01,1.16,15.19
2009-10-22 07:00:00-04:00,1.16,1.42,22.31
2010-01-22 07:00:00-05:00,1.26,1.18,-6.65
2010-04-22 06:00:00-04:00,1.16,1.14,-1.98
2010-07-23 07:00:00-04:00,1.14,1.2,5.46
2010-10-26 07:00:00-04:00,1.29,1.14,-11.43
2011-01-25 07:00:00-05:00,1.14,1.2,5.16
2011-04-25 07:00:00-04:00,1.18,1.09,-7.63
2011-07-25 07:00:00-04:00,1.15,1.18,2.29
2011-10-24 07:00:00-04:00,1.26,1.26,-0.02
2012-01-24 07:00:00-05:00,1.3,1.28,-1.21
2012-04-20 07:00:00-04:00,1.17,1.24,5.76
2012-07-26 07:00:00-04:00,1.28,1.3,1.64
2012-10-24 07:00:00-04:00,1.32,1.34,1.32
2013-01-25 07:00:00-05:00,1.36,1.37,1.09
2013-04-19 07:00:00-04:00,1.33,1.48,10.89
2013-07-22 07:00:00-04:00,1.39,1.41,1.48
2013-10-22 07:00:00-04:00,1.4,1.44,2.86
2014-01-24 07:00:00-05:00,1.39,1.44,3.45
2014-04-21 07:00:00-04:00,1.47,1.48,0.54
2014-07-22 07:00:00-04:00,1.5,1.49,-0.42
2014-10-21 07:00:00-04:00,1.54,1.61,4.35
2015-01-23 07:00:00-05:00,1.37,1.35,-1.11
2015-04-21 07:00:00-04:00,1.33,1.42,6.85
2015-07-23 07:00:00-04:00,1.36,1.41,3.7
2015-10-21 07:00:00-04:00,1.49,1.51,1.14
2016-01-25 07:00:00-05:00,1.43,1.42,-0.43
2016-04-22 07:00:00-04:00,1.51,1.53,1.26
2016-07-25 07:00:00-04:00,1.47,1.53,3.8
2016-10-24 07:00:00-04:00,1.54,1.52,-1.23
2017-01-24 07:00:00-05:00,1.41,1.45,2.48
2017-04-24 07:00:00-04:00,1.55,1.57,1.55
2017-07-25 07:00:00-04:00,1.49,1.49,-0.01
2017-10-23 07:00:00-04:00,1.54,1.6,3.96
2018-01-23 07:00:00-05:00,1.54,1.57,1.76
2018-04-23 07:00:00-04:00,1.68,1.71,1.64
2018-07-24 07:00:00-04:00,1.57,1.59,1.33
2018-10-22 07:00:00-04:00,1.63,1.71,4.86
2019-01-23 07:00:00-05:00,1.66,1.6,-3.42
2019-04-22 07:00:00-04:00,1.55,1.66,7.23
2019-07-23 07:00:00-04:00,1.62,1.67,3.21
2019-10-22 07:00:00-04:00,1.79,1.84,2.52
2020-01-23 07:00:00-05:00,1.7,1.71,0.5
2020-04-22 08:00:00-04:00,1.96,2.13,8.68
2020-07-23 07:00:00-04:00,1.77,2.2,24.13
2020-10-22 07:00:00-04:00,1.73,1.72,-0.85
2021-01-25 07:00:00-05:00,1.62,1.69,4.27
2021-04-23 07:00:00-04:00,1.92,1.8,-6.49
2021-07-23 07:00:00-04:00,1.71,1.47,-13.84
2021-10-25 07:00:00-04:00,1.65,1.62,-1.96
2022-01-26 07:00:00-05:00,1.25,1.3,4.4
2022-04-22 07:00:00-04:00,1.23,1.35,9.57
2022-07-26 07:00:00-04:00,1.32,1.34,1.73
2022-10-25 07:00:00-04:00,1.45,1.4,-3.4
2023-01-25 07:00:00-05:00,1.51,1.54,1.95
2023-04-25 08:00:00-04:00,1.32,1.67,26.81
2023-07-25 07:00:00-04:00,1.48,1.65,11.53
2023-10-24 07:00:00-04:00,1.59,1.74,9.1
2024-01-24 07:00:00-05:00,1.54,1.51,-2.13
2024-04-23 07:00:00-04:00,1.64,2.01,22.46
2024-07-23 06:00:00-04:00,1.71,1.96,14.61
2024-10-22 06:00:00-04:00,1.71,1.83,7.22
2025-01-28 06:00:00-05:00,1.51,1.5,-0.94
2025-04-22 07:00:00-04:00,1.89,1.93,2.04
2025-08-01 06:00:00-04:00,1.66,1.92,15.97
2025-10-30 06:00:00-04:00,1.75,1.82,3.93
2026-01-27 06:00:00-05:00,1.81,1.86,2.66
2026-04-28 06:00:00-04:00,1.93,1.97,2.24
2026-07-28 08:00:00-04:00,2.01,,
