ts,eps_est,eps_rep,surprise_pct
2002-04-22 06:00:00-04:00,0.37,0.77,108.11
2002-04-22 06:00:00-04:00,0.37,0.39,4.05
2002-07-24 06:00:00-04:00,0.4,0.77,94.94
2002-07-24 06:00:00-04:00,0.4,0.42,4.13
2002-10-23 06:00:00-04:00,0.43,0.43,
2003-01-29 06:00:00-05:00,0.42,0.43,1.49
2003-04-21 06:00:00-04:00,0.39,0.4,0.96
2003-07-23 06:00:00-04:00,0.43,0.44,0.23
2003-10-29 06:00:00-05:00,0.45,0.46,1.11
2004-01-27 20:00:00-05:00,0.66,0.47,-28.86
2004-04-28 06:00:00-04:00,0.61,0.49,-20.22
2004-07-28 06:00:00-04:00,0.51,0.53,3.08
2004-10-27 06:00:00-04:00,0.58,0.53,-7.96
2005-01-26 06:00:00-05:00,0.54,0.55,2.2
2005-04-27 06:00:00-04:00,0.58,0.59,2.59
2005-07-27 06:00:00-04:00,0.61,0.63,2.51
2005-10-26 06:00:00-04:00,0.6,0.61,2.35
2006-01-25 06:00:00-05:00,0.64,0.67,4.02
2006-04-26 06:00:00-04:00,0.64,0.68,5.7
2006-07-26 06:00:00-04:00,0.71,0.72,1.67
2006-10-25 06:00:00-04:00,0.73,0.75,2.74
2007-01-24 06:00:00-05:00,0.78,0.82,5.34
2007-04-25 06:00:00-04:00,0.8,0.81,1.45
2007-07-25 06:00:00-04:00,0.87,0.89,2.02
2007-10-24 06:00:00-04:00,0.91,0.94,3.14
2008-01-23 06:00:00-05:00,0.96,0.98,1.62
2008-04-23 06:00:00-04:00,0.95,0.99,3.69
2008-07-23 06:00:00-04:00,1.06,1.08,1.96
2008-10-29 06:00:00-04:00,1.06,1.11,4.38
2009-01-28 06:00:00-05:00,0.96,1.01,5.33
2009-04-29 06:00:00-04:00,0.92,0.93,0.93
2009-07-29 06:00:00-04:00,0.99,0.96,-2.84
2009-10-28 06:00:00-04:00,1.0,1.02,1.65
2010-01-27 06:00:00-05:00,1.09,1.09,0.05
2010-04-28 06:00:00-04:00,1.09,1.09,0.45
2010-07-28 06:00:00-04:00,1.13,1.19,4.92
2010-10-27 06:00:00-04:00,1.2,1.21,1.22
2011-01-26 06:00:00-05:00,1.23,1.25,1.63
2011-04-27 06:00:00-04:00,1.26,1.29,2.1
2011-07-27 06:00:00-04:00,1.37,1.38,0.55
2011-10-26 06:00:00-04:00,1.39,1.4,0.58
2012-01-25 06:00:00-05:00,1.37,1.36,-0.42
2012-04-25 06:00:00-04:00,1.36,1.38,1.43
2012-07-25 06:00:00-04:00,1.42,1.42,-0.26
2012-10-24 06:00:00-04:00,1.39,1.39,-0.04
2013-01-23 06:00:00-05:00,1.38,1.38,0.34
2013-04-24 06:00:00-04:00,1.38,1.38,-0.19
2013-07-24 06:00:00-04:00,1.48,1.49,0.48
2013-10-30 06:00:00-04:00,1.52,1.51,-0.39
2014-01-29 06:00:00-05:00,1.55,1.55,0.1
2014-04-23 06:00:00-04:00,1.51,1.51,0.15
2014-07-23 06:00:00-04:00,1.59,1.58,-0.41
2014-10-29 06:00:00-04:00,1.62,1.62,-0.22
2015-01-28 06:00:00-05:00,1.56,1.57,0.33
2015-04-29 06:00:00-04:00,1.44,1.43,-0.49
2015-07-29 06:00:00-04:00,1.45,1.45,-0.16
2015-10-29 06:00:00-04:00,1.45,1.46,0.92
2016-01-29 06:00:00-05:00,1.47,1.47,0.1
2016-04-29 06:00:00-04:00,1.27,1.28,0.65
2016-07-28 06:00:00-04:00,1.36,1.39,2.04
2016-10-27 06:00:00-04:00,1.4,1.41,0.4
2017-01-26 06:00:00-05:00,1.41,1.41,0.1
2017-04-27 06:00:00-04:00,1.33,1.37,2.79
2017-07-27 06:00:00-04:00,1.42,1.46,2.64
2017-10-26 06:00:00-04:00,1.44,1.5,3.83
2018-01-25 06:00:00-05:00,1.48,1.52,2.44
2018-04-26 06:00:00-04:00,1.56,1.65,6.03
2018-07-26 06:00:00-04:00,1.7,1.72,1.38
2018-11-09 11:00:00-05:00,1.69,1.69,-0.28
2019-05-10 13:00:00-04:00,1.57,1.69,7.73
2019-08-05 07:00:00-04:00,1.71,1.83,6.93
2019-11-12 06:00:00-05:00,1.77,1.94,9.63
2020-02-13 06:00:00-05:00,1.84,1.89,2.98
2020-03-01 19:00:00-05:00,1.51,-0.48,-131.87
2020-05-07 05:00:00-04:00,1.84,1.89,2.69
2020-07-31 09:00:00-04:00,1.65,1.9,15.36
2020-11-05 14:00:00-05:00,1.95,2.15,10.28
2021-02-05 05:00:00-05:00,2.15,2.3,6.82
2021-05-06 05:00:00-04:00,2.26,2.49,10.36
2021-07-30 13:00:00-04:00,2.53,2.7,6.58
2021-10-29 11:00:00-04:00,2.66,2.73,2.66
2022-02-10 05:00:00-05:00,2.67,2.77,3.72
2022-04-28 07:00:00-04:00,2.77,2.93,5.91
2022-07-28 05:00:00-04:00,2.96,3.1,4.64
2022-10-27 06:00:00-04:00,2.93,3.1,5.71
2023-02-07 05:00:00-05:00,2.89,3.16,9.37
2023-04-27 13:00:00-04:00,3.14,3.42,9.07
2023-07-27 06:00:00-04:00,3.49,3.57,2.37
2023-10-26 06:00:00-04:00,3.57,3.63,1.62
2024-02-06 06:00:00-05:00,3.5,3.59,2.67
2024-05-02 06:00:00-04:00,3.67,3.75,2.15
2024-08-02 05:00:00-04:00,3.79,3.85,1.69
2024-10-31 10:00:00-04:00,3.91,3.94,0.88
2025-02-06 06:00:00-05:00,3.92,3.97,1.18
2025-05-01 07:00:00-04:00,3.92,3.95,0.67
2025-08-01 06:00:00-04:00,4.04,4.09,1.36
2025-10-31 06:00:00-04:00,4.18,4.21,0.75
2026-02-05 06:00:00-05:00,4.18,4.2,0.54
2026-05-01 01:00:00-04:00,4.27,4.33,1.4
2026-07-31 08:00:00-04:00,4.39,,
