ts,eps_est,eps_rep,surprise_pct
2001-10-18 07:00:00-04:00,0.66,0.66,0.2
2002-01-24 07:00:00-05:00,0.6,0.6,0.29
2002-04-15 07:00:00-04:00,0.58,0.58,0.82
2002-07-18 07:00:00-04:00,0.61,0.61,-0.43
2002-10-23 07:00:00-04:00,0.68,0.68,-0.15
2003-01-23 07:00:00-05:00,0.68,0.68,-0.43
2003-04-22 07:00:00-04:00,0.58,0.61,6.05
2003-07-24 07:00:00-04:00,0.6,0.64,5.96
2003-10-22 16:00:00-04:00,0.66,0.66,-0.21
2004-01-29 07:00:00-05:00,0.67,0.67,0.15
2004-04-19 07:00:00-04:00,0.66,0.7,5.9
2004-07-22 07:00:00-04:00,0.68,0.68,0.15
2004-10-21 08:00:00-04:00,0.68,0.69,1.32
2005-01-26 07:00:00-05:00,0.74,0.75,2.04
2005-04-18 07:00:00-04:00,0.68,0.68,0.48
2005-07-21 07:00:00-04:00,0.67,0.67,0.64
2005-10-20 07:00:00-04:00,0.71,0.73,2.83
2006-01-26 06:00:00-05:00,0.78,0.8,2.19
2006-04-20 07:00:00-04:00,0.75,0.77,2.84
2006-07-21 07:00:00-04:00,0.75,0.76,0.97
2006-10-19 07:00:00-04:00,0.79,0.8,1.2
2007-01-31 06:00:00-05:00,0.82,0.85,4.17
2007-04-16 06:00:00-04:00,0.79,0.84,6.68
2007-07-24 06:00:00-04:00,0.82,0.9,9.16
2007-10-17 19:00:00-04:00,0.87,0.91,4.34
2008-01-29 07:00:00-05:00,0.89,0.9,0.93
2008-04-21 06:00:00-04:00,0.96,0.92,-3.85
2008-07-24 07:00:00-04:00,1.0,0.99,-0.5
2008-10-23 06:00:00-04:00,1.02,1.04,1.98
2009-01-29 06:00:00-05:00,1.05,1.07,2.27
2009-04-20 06:00:00-04:00,0.99,1.2,20.83
2009-07-22 06:00:00-04:00,1.02,1.12,9.52
2009-10-21 06:00:00-04:00,1.02,1.2,18.21
2010-01-28 06:00:00-05:00,0.91,0.91,-0.07
2010-04-19 05:00:00-04:00,1.11,1.18,6.56
2010-07-22 06:00:00-04:00,1.11,1.24,12.13
2010-10-21 06:00:00-04:00,1.15,1.21,5.05
2011-01-27 06:00:00-05:00,1.09,1.11,2.04
2011-04-18 06:00:00-04:00,1.16,1.24,6.5
2011-07-21 06:00:00-04:00,1.18,1.18,0.11
2011-10-20 06:00:00-04:00,1.12,1.13,0.46
2012-01-31 06:00:00-05:00,0.81,0.87,7.99
2012-04-25 06:00:00-04:00,0.8,0.92,15.68
2012-07-25 06:00:00-04:00,0.77,0.83,8.3
2012-10-24 06:00:00-04:00,0.83,0.79,-5.11
2013-01-29 06:00:00-05:00,0.79,0.85,7.88
2013-04-24 06:00:00-04:00,1.05,1.14,8.35
2013-07-24 06:00:00-04:00,1.01,1.16,14.81
2013-10-23 06:00:00-04:00,1.03,1.11,7.39
2014-01-30 06:00:00-05:00,0.74,0.74,-0.41
2014-04-24 06:00:00-04:00,0.7,0.7,0.36
2014-07-24 06:00:00-04:00,0.65,0.68,4.3
2014-10-23 06:00:00-04:00,0.67,0.66,-1.19
2015-01-30 06:00:00-05:00,0.73,0.75,2.46
2015-04-23 06:00:00-04:00,0.74,0.87,17.4
2015-07-23 06:00:00-04:00,0.74,0.9,22.12
2015-10-22 06:00:00-04:00,0.76,0.89,16.74
2016-01-28 06:00:00-05:00,0.78,0.78,-0.47
2016-04-26 06:00:00-04:00,0.85,0.83,-2.01
2016-07-26 06:00:00-04:00,0.86,0.86,0.4
2016-10-25 06:00:00-04:00,0.96,0.88,-8.31
2017-01-31 06:00:00-05:00,0.98,0.95,-3.4
2017-04-25 06:00:00-04:00,0.96,0.98,1.76
2017-07-25 06:00:00-04:00,1.05,1.11,5.41
2017-10-24 06:00:00-04:00,1.03,1.05,2.02
2018-01-31 06:00:00-05:00,1.07,1.14,6.22
2018-04-24 06:00:00-04:00,1.13,1.34,18.28
2018-07-24 06:00:00-04:00,1.3,1.5,15.79
2018-11-06 06:00:00-05:00,1.35,1.39,3.31
2019-02-06 06:00:00-05:00,1.33,1.33,-0.28
2019-04-30 06:00:00-04:00,1.33,1.33,-0.14
2019-07-30 06:00:00-04:00,1.45,1.5,3.65
2019-10-23 06:00:00-04:00,1.41,1.48,4.8
2020-01-30 06:00:00-05:00,1.52,1.73,13.9
2020-04-23 06:00:00-04:00,1.48,1.75,17.91
