ts,eps_est,eps_rep,surprise_pct
2001-10-26 08:00:00-04:00,0.37,0.41,10.07
2002-01-25 08:00:00-05:00,0.48,0.49,1.55
2002-04-23 08:00:00-04:00,0.48,0.5,4.6
2002-07-18 08:00:00-04:00,0.57,0.58,2.4
2002-10-25 08:00:00-04:00,0.66,0.66,0.57
2003-01-24 08:00:00-05:00,0.81,0.85,4.48
2003-04-22 08:00:00-04:00,0.42,0.55,30.26
2003-07-24 08:00:00-04:00,0.52,0.6,14.77
2003-10-28 07:00:00-05:00,0.53,0.66,25.48
2004-01-27 07:00:00-05:00,0.76,0.77,1.85
2004-04-27 07:00:00-04:00,0.53,0.65,23.81
2004-07-27 07:00:00-04:00,0.61,0.66,8.2
2004-10-26 07:00:00-04:00,0.65,0.69,5.67
2005-01-27 06:00:00-05:00,0.72,0.83,16.08
2005-04-26 07:00:00-04:00,0.75,0.8,6.52
2005-07-26 07:00:00-04:00,0.81,1.02,26.24
2005-10-25 09:00:00-04:00,0.9,0.96,6.9
2006-01-26 06:00:00-05:00,1.15,1.12,-2.52
2006-04-25 07:00:00-04:00,1.15,1.34,16.83
2006-07-25 07:00:00-04:00,1.16,1.34,15.92
2006-10-24 07:00:00-04:00,1.24,1.46,17.84
2007-01-25 06:00:00-05:00,1.46,1.68,15.0
2007-04-24 07:00:00-04:00,1.37,1.39,1.53
2007-07-24 07:00:00-04:00,1.53,1.78,16.46
2007-10-23 07:00:00-04:00,1.64,1.8,9.91
2008-01-24 06:00:00-05:00,1.7,1.89,11.44
2008-04-22 07:00:00-04:00,1.64,1.75,7.01
2008-07-22 07:00:00-04:00,1.88,2.01,6.81
2008-10-21 07:00:00-04:00,1.89,1.85,-2.12
2009-01-22 06:00:00-05:00,1.92,2.05,6.72
2009-04-21 07:00:00-04:00,1.64,1.68,2.29
2009-07-21 07:00:00-04:00,1.82,1.88,3.38
2009-10-20 07:00:00-04:00,1.84,2.07,12.46
2010-01-28 06:00:00-05:00,1.99,2.17,9.19
2010-04-21 05:00:00-04:00,1.42,1.7,19.41
2010-07-27 07:00:00-04:00,1.78,1.96,10.28
2010-10-19 07:00:00-04:00,1.59,1.87,17.6
