ts,eps_est,eps_rep,surprise_pct
2002-02-25 06:00:00-05:00,0.1,0.09,-5.61
2002-05-20 07:00:00-04:00,0.14,0.14,6.9
2002-05-20 07:00:00-04:00,0.18,0.22,20.0
2002-08-19 07:00:00-04:00,0.27,0.3,8.58
2002-11-18 07:00:00-05:00,0.2,0.22,6.96
2003-02-24 07:00:00-05:00,0.17,0.2,21.21
2003-05-19 07:00:00-04:00,0.26,0.27,1.66
2003-08-18 07:00:00-04:00,0.34,0.38,8.77
2003-11-17 07:00:00-05:00,0.27,0.28,5.66
2004-02-23 07:00:00-05:00,0.25,0.25,1.21
2004-05-17 07:00:00-04:00,0.27,0.28,5.37
2004-08-16 07:00:00-04:00,0.45,0.45,-1.69
2004-11-15 07:00:00-05:00,0.33,0.33,1.24
2005-02-23 07:00:00-05:00,0.3,0.32,7.74
2005-05-16 07:00:00-04:00,0.38,0.37,-2.37
2005-08-15 07:00:00-04:00,0.51,0.53,3.35
2005-11-14 07:00:00-05:00,0.39,0.41,4.92
2006-02-27 07:00:00-05:00,0.4,0.44,8.75
2006-05-22 07:00:00-04:00,0.46,0.53,16.28
2006-08-21 07:00:00-04:00,0.53,0.6,13.87
2006-11-20 07:00:00-05:00,0.43,0.46,5.98
2007-02-23 07:00:00-05:00,0.37,0.4,9.29
2007-05-21 07:00:00-04:00,0.49,0.48,-2.44
2007-08-20 07:00:00-04:00,0.61,0.67,9.84
2007-11-19 07:00:00-05:00,0.41,0.38,-8.26
2008-02-25 07:00:00-05:00,0.25,0.28,10.67
2008-05-19 07:00:00-04:00,0.4,0.41,3.48
2008-08-18 07:00:00-04:00,0.56,0.64,14.67
2008-11-17 07:00:00-05:00,0.28,0.33,16.41
2009-02-20 07:00:00-05:00,0.12,0.11,-8.79
2009-05-18 07:00:00-04:00,0.25,0.32,26.48
2009-08-17 07:00:00-04:00,0.54,0.54,0.66
2009-11-16 07:00:00-05:00,0.24,0.24,0.52
2010-02-22 07:00:00-05:00,0.12,0.14,14.57
2010-05-17 07:00:00-04:00,0.3,0.34,13.33
2010-08-16 07:00:00-04:00,0.59,0.58,-1.15
2010-11-15 07:00:00-05:00,0.3,0.31,3.25
2011-02-23 06:00:00-05:00,0.18,0.21,19.05
2011-05-16 06:00:00-04:00,0.36,0.34,-6.37
2011-08-15 06:00:00-04:00,0.66,0.68,2.73
2011-11-14 06:00:00-05:00,0.33,0.35,7.46
2012-02-27 06:00:00-05:00,0.23,0.29,24.12
2012-05-21 06:00:00-04:00,0.41,0.44,6.06
2012-08-20 06:00:00-04:00,0.7,0.65,-7.49
2012-11-19 06:00:00-05:00,0.35,0.4,13.94
2013-02-25 06:00:00-05:00,0.23,0.26,12.95
2013-05-22 06:00:00-04:00,0.51,0.49,-3.6
2013-08-21 06:00:00-04:00,0.79,0.88,11.02
2013-11-20 06:00:00-05:00,0.48,0.47,-2.52
2014-02-26 06:00:00-05:00,0.31,0.31,0.85
2014-05-21 06:00:00-04:00,0.6,0.58,-3.23
2014-08-20 06:00:00-04:00,1.03,1.04,1.45
2014-11-19 06:00:00-05:00,0.58,0.59,1.16
2015-02-25 06:00:00-05:00,0.43,0.46,5.97
2015-05-20 06:00:00-04:00,0.74,0.7,-5.03
2015-08-19 06:00:00-04:00,1.24,1.2,-3.14
2015-11-18 06:00:00-05:00,0.79,0.8,1.59
2016-02-24 06:00:00-05:00,0.59,0.59,-0.3
2016-05-18 06:00:00-04:00,0.85,0.87,2.64
2016-08-17 06:00:00-04:00,1.42,1.37,-3.26
2016-11-16 06:00:00-05:00,0.96,0.88,-8.23
2017-03-01 06:00:00-05:00,0.78,0.86,9.61
2017-05-24 06:00:00-04:00,1.06,1.03,-3.1
2017-08-23 06:00:00-04:00,1.62,1.57,-2.95
2017-11-21 06:00:00-05:00,1.03,1.05,2.34
2018-02-28 06:00:00-05:00,0.87,0.74,-15.4
2018-05-23 06:00:00-04:00,1.21,1.19,-1.82
2018-08-22 06:00:00-04:00,2.02,2.07,2.45
2018-11-20 06:00:00-05:00,0.98,1.04,6.36
2019-02-27 06:00:00-05:00,0.79,0.8,1.37
2019-05-22 06:00:00-04:00,1.33,1.22,-8.2
2019-08-21 06:00:00-04:00,2.0,2.15,7.29
2019-11-20 06:00:00-05:00,1.35,1.41,4.32
2020-02-26 06:00:00-05:00,0.91,0.94,2.8
2020-05-20 06:00:00-04:00,1.32,1.77,34.48
2020-08-19 06:00:00-04:00,2.95,3.75,27.26
2020-11-18 06:00:00-05:00,1.96,1.98,1.22
2021-02-24 06:00:00-05:00,1.21,1.33,9.87
2021-05-19 06:00:00-04:00,2.59,3.21,24.08
2021-08-18 06:00:00-04:00,4.01,4.25,6.12
2021-11-17 06:00:00-05:00,2.35,2.73,16.06
2022-02-23 06:00:00-05:00,1.69,1.78,5.23
2022-05-18 06:00:00-04:00,3.23,3.51,8.67
2022-08-17 06:00:00-04:00,4.59,4.67,1.73
2022-11-16 06:00:00-05:00,3.09,3.27,5.74
2023-03-01 06:00:00-05:00,2.21,2.28,2.94
2023-05-23 06:00:00-04:00,3.45,3.67,6.51
2023-08-22 06:00:00-04:00,4.48,4.56,1.79
2023-11-21 06:00:00-05:00,3.03,3.06,0.94
2024-02-27 06:00:00-05:00,1.68,1.77,5.25
2024-05-21 06:00:00-04:00,2.95,3.06,3.64
2024-08-20 06:00:00-04:00,4.0,4.1,2.58
2024-11-19 06:00:00-05:00,2.81,2.89,2.77
2025-02-26 06:00:00-05:00,1.84,1.93,4.84
2025-05-21 06:00:00-04:00,2.88,2.92,1.4
2025-08-20 06:00:00-04:00,4.24,4.33,2.18
2025-11-19 06:00:00-05:00,2.95,3.06,3.61
2026-02-25 06:00:00-05:00,1.94,1.98,1.93
2026-05-20 06:00:00-04:00,2.97,3.03,2.12
2026-08-19 08:00:00-04:00,4.24,,
