ts,eps_est,eps_rep,surprise_pct
2001-10-18 08:00:00-04:00,0.39,0.39,-0.37
2002-01-24 09:00:00-05:00,0.34,0.34,-0.37
2002-04-18 08:00:00-04:00,0.29,0.31,5.28
2002-07-22 10:00:00-04:00,0.38,0.39,2.06
2002-10-22 08:00:00-04:00,0.38,0.38,-1.04
2003-01-23 09:00:00-05:00,0.25,0.25,-1.24
2003-04-28 08:00:00-04:00,0.28,0.29,2.52
2003-07-29 08:00:00-04:00,0.37,0.37,-0.27
2003-10-22 08:00:00-04:00,0.41,0.43,5.74
2004-01-26 17:00:00-05:00,0.35,0.35,-0.03
2004-04-27 16:00:00-04:00,0.4,0.4,
2004-07-22 07:00:00-04:00,0.47,0.47,
2004-10-19 08:00:00-04:00,0.61,0.61,0.83
2005-01-28 08:00:00-05:00,0.46,0.45,-1.75
2005-04-21 08:00:00-04:00,0.43,0.43,-0.23
2005-07-21 07:00:00-04:00,0.48,0.51,5.25
2005-10-20 07:00:00-04:00,0.57,0.58,2.28
2006-01-24 07:00:00-05:00,0.48,0.48,-0.12
2006-04-21 07:00:00-04:00,0.49,0.49,-0.55
2006-07-25 07:00:00-04:00,0.59,0.59,0.68
2006-10-19 07:00:00-04:00,0.68,0.69,1.32
2007-01-24 08:00:00-05:00,0.61,0.61,0.16
2007-04-20 07:00:00-04:00,0.62,0.62,0.81
2007-07-24 07:00:00-04:00,0.71,0.71,
2007-10-19 08:00:00-04:00,0.83,0.83,
2008-01-28 07:00:00-05:00,0.71,0.73,3.27
2008-04-22 07:00:00-04:00,0.7,0.81,16.4
2008-07-23 07:00:00-04:00,0.86,0.94,9.73
2008-10-22 07:00:00-04:00,0.98,1.05,7.51
2009-01-26 07:00:00-05:00,0.83,0.87,4.79
2009-04-22 07:00:00-04:00,0.82,0.83,1.49
2009-07-23 07:00:00-04:00,0.97,0.97,0.2
2009-10-22 07:00:00-04:00,1.11,1.15,3.63
2010-01-22 07:00:00-05:00,1.02,1.03,1.28
2010-04-21 06:00:00-04:00,0.96,1.03,7.17
2010-07-23 07:00:00-04:00,1.12,1.13,0.97
2010-10-21 07:00:00-04:00,1.24,1.29,3.68
2011-01-24 07:00:00-05:00,1.15,1.15,-0.25
2011-04-21 07:00:00-04:00,1.14,1.15,0.73
2011-07-22 07:00:00-04:00,1.28,1.35,5.14
2011-10-21 07:00:00-04:00,1.42,1.45,1.77
2012-01-24 08:00:00-05:00,1.3,1.33,2.65
2012-04-20 07:00:00-04:00,1.23,1.23,0.09
2012-07-23 07:00:00-04:00,1.38,1.32,-4.19
2012-10-19 07:00:00-04:00,1.47,1.43,-2.91
2013-01-23 07:00:00-05:00,1.33,1.38,3.79
2013-04-19 07:00:00-04:00,1.26,1.26,-0.11
2013-07-22 07:00:00-04:00,1.4,1.38,-1.68
2013-10-21 07:00:00-04:00,1.51,1.52,0.92
2014-01-23 07:00:00-05:00,1.39,1.4,0.49
2014-04-22 07:00:00-04:00,1.24,1.21,-2.28
2014-07-22 07:00:00-04:00,1.44,1.4,-2.62
2014-10-21 07:00:00-04:00,1.37,1.35,-1.66
2015-01-23 07:00:00-05:00,1.22,1.17,-4.39
2015-04-22 07:00:00-04:00,1.06,1.01,-4.58
2015-07-23 07:00:00-04:00,1.23,1.29,4.51
2015-10-22 07:00:00-04:00,1.28,1.4,9.8
2016-01-25 07:00:00-05:00,1.23,1.28,3.95
2016-04-22 07:00:00-04:00,1.16,1.23,5.63
2016-07-26 07:00:00-04:00,1.38,1.45,4.86
2016-10-21 07:00:00-04:00,1.48,1.62,9.26
2017-01-23 07:00:00-05:00,1.41,1.43,0.85
2017-04-25 07:00:00-04:00,1.33,1.47,10.14
2017-07-25 07:00:00-04:00,1.62,1.73,6.98
2017-10-24 07:00:00-04:00,1.77,1.76,-0.35
2018-01-30 07:00:00-05:00,1.59,1.71,7.5
2018-04-30 07:00:00-04:00,1.67,1.79,7.2
2018-07-26 07:00:00-04:00,1.93,1.99,3.31
2018-10-23 07:00:00-04:00,1.99,2.1,5.42
2019-01-30 07:00:00-05:00,1.89,1.97,4.07
2019-04-30 07:00:00-04:00,1.76,1.72,-2.42
2019-07-26 07:00:00-04:00,2.05,2.05,-0.06
2019-10-22 07:00:00-04:00,2.21,2.11,-4.4
2020-01-29 06:00:00-05:00,1.97,1.97,0.04
2020-04-30 07:00:00-04:00,1.54,1.47,-4.84
2020-07-28 06:00:00-04:00,0.75,0.66,-12.39
2020-11-09 06:00:00-05:00,1.9,2.22,16.85
2021-01-28 07:00:00-05:00,1.78,1.7,-4.55
2021-04-29 07:00:00-04:00,1.82,1.92,5.35
2021-07-28 07:00:00-04:00,2.12,2.37,11.81
2021-10-27 07:00:00-04:00,2.47,2.76,11.93
2022-01-27 07:00:00-05:00,2.34,2.23,-4.8
