ts,eps_est,eps_rep,surprise_pct
2001-10-16 16:00:00-04:00,0.29,0.3,2.39
2002-01-29 16:00:00-05:00,0.32,0.32,
2002-04-16 16:00:00-04:00,0.44,0.46,5.26
2002-07-17 16:00:00-04:00,0.54,0.55,1.66
2002-10-16 16:00:00-04:00,0.5,0.5,-0.79
2003-01-28 16:00:00-05:00,0.52,0.51,-1.54
2003-04-15 16:00:00-04:00,0.48,0.49,3.16
2003-07-16 16:00:00-04:00,0.58,0.55,-5.5
2003-10-15 16:00:00-04:00,0.46,0.47,1.51
2004-01-27 16:00:00-05:00,0.5,0.5,0.2
2004-04-19 16:00:00-04:00,0.43,0.45,4.65
2004-07-19 06:00:00-04:00,0.46,0.46,-0.86
2004-10-18 16:00:00-04:00,0.45,0.48,5.96
2005-01-25 16:00:00-05:00,0.49,0.49,0.41
2005-04-19 16:00:00-04:00,0.41,0.44,8.11
2005-07-19 16:00:00-04:00,0.48,0.47,-1.26
2005-10-18 12:00:00-04:00,0.46,0.42,-7.89
2006-01-30 16:00:00-05:00,0.54,0.56,4.67
2006-04-19 16:00:00-04:00,0.42,0.45,6.51
2006-07-24 16:00:00-04:00,0.48,0.51,6.21
2006-10-23 16:00:00-04:00,0.45,0.46,2.82
2007-01-31 11:00:00-05:00,0.51,0.51,0.22
2007-04-18 16:00:00-04:00,0.42,0.44,6.02
2007-08-01 07:00:00-04:00,0.47,0.5,6.38
2007-10-31 07:00:00-04:00,0.41,0.44,6.45
2008-01-30 07:00:00-05:00,0.44,0.44,0.3
2008-04-30 07:00:00-04:00,0.41,0.44,8.02
2008-07-28 07:00:00-04:00,0.5,0.58,16.96
2008-10-29 07:00:00-04:00,0.44,0.45,3.21
2009-02-04 07:00:00-05:00,0.44,0.43,-2.68
2009-05-05 07:00:00-04:00,0.4,0.45,12.74
2009-08-04 16:00:00-04:00,0.54,0.56,3.81
2009-11-03 16:00:00-05:00,0.48,0.55,13.57
2010-02-16 06:00:00-05:00,0.45,0.48,7.14
2010-05-06 12:00:00-04:00,0.44,0.49,10.36
2010-08-05 16:00:00-04:00,0.52,0.6,15.26
2010-11-04 16:00:00-04:00,0.46,0.47,3.14
2011-02-10 16:00:00-05:00,0.47,0.46,-2.66
2011-05-05 16:00:00-04:00,0.47,0.52,11.28
2011-08-04 06:00:00-04:00,0.58,0.62,7.7
2011-11-02 16:00:00-04:00,0.55,0.58,4.83
2012-02-21 06:00:00-05:00,0.57,0.57,0.4
2012-05-03 16:00:00-04:00,0.56,0.57,1.28
2012-08-02 16:00:00-04:00,0.66,0.68,3.37
2012-11-07 16:00:00-05:00,0.37,0.37,0.3
2013-02-13 16:00:00-05:00,0.38,0.36,-4.53
2013-05-07 16:00:00-04:00,0.34,0.34,0.76
2013-08-07 16:00:00-04:00,0.34,0.37,7.88
2013-11-06 16:00:00-05:00,0.4,0.41,1.76
2014-02-12 16:00:00-05:00,0.44,0.42,-4.66
2014-05-07 07:00:00-04:00,0.35,0.39,12.86
2014-08-06 08:00:00-04:00,0.39,0.4,3.01
2014-11-05 08:00:00-05:00,0.39,0.5,27.64
2015-02-11 08:00:00-05:00,0.43,0.47,8.83
2015-04-29 08:00:00-04:00,0.38,0.41,9.31
2015-07-30 08:00:00-04:00,0.39,0.47,19.71
2015-10-28 08:00:00-04:00,0.41,0.42,3.14
2016-02-03 08:00:00-05:00,0.48,0.46,-4.59
2016-04-27 08:00:00-04:00,0.39,0.48,21.92
2016-07-27 08:00:00-04:00,0.4,0.44,9.89
2016-10-26 08:00:00-04:00,0.43,0.52,20.25
2017-02-07 16:00:00-05:00,0.49,0.47,-3.15
2017-05-02 16:00:00-04:00,0.5,0.53,5.49
2017-08-02 07:00:00-04:00,0.45,0.48,5.59
2017-10-30 16:00:00-04:00,0.54,0.57,4.72
2018-01-31 16:00:00-05:00,0.56,0.57,2.55
2018-05-01 16:00:00-04:00,0.61,0.62,1.8
2018-07-25 16:00:00-04:00,0.54,0.56,4.47
2018-10-29 16:00:00-04:00,0.6,0.62,2.67
2019-01-30 16:00:00-05:00,0.63,0.63,0.28
2019-04-30 16:00:00-04:00,0.61,0.65,6.23
2019-07-30 16:00:00-04:00,0.57,0.57,0.46
2019-10-29 16:00:00-04:00,0.6,0.64,5.99
2020-01-29 16:00:00-05:00,0.6,0.61,1.25
2020-04-28 17:00:00-04:00,0.66,0.69,4.27
2020-07-28 16:00:00-04:00,0.56,0.63,12.15
2020-11-02 16:00:00-05:00,0.62,0.63,0.96
2021-01-28 16:00:00-05:00,0.67,0.67,0.69
2021-04-27 16:00:00-04:00,0.69,0.77,11.81
2021-07-27 16:00:00-04:00,0.65,0.66,1.53
2021-11-02 16:00:00-04:00,0.7,0.71,1.82
2022-01-27 16:00:00-05:00,0.73,0.71,-2.14
2022-04-26 16:00:00-04:00,0.75,0.84,11.69
2022-07-26 16:00:00-04:00,0.64,0.67,4.97
