ts,eps_est,eps_rep,surprise_pct
2002-05-22 16:00:00-04:00,0.34,0.34,0.01
2002-05-22 16:00:00-04:00,0.31,0.3,-1.63
2002-08-20 16:00:00-04:00,0.32,0.32,
2002-08-20 16:00:00-04:00,0.27,0.28,3.7
2002-11-18 16:00:00-05:00,0.34,0.34,0.01
2003-02-12 16:00:00-05:00,0.35,0.35,-0.7
2003-05-19 16:00:00-04:00,0.4,0.4,0.63
2003-08-12 16:00:00-04:00,0.37,0.37,-0.01
2003-11-12 16:00:00-05:00,0.39,0.39,0.01
2004-02-11 16:00:00-05:00,0.39,0.4,1.52
2004-05-23 11:00:00-04:00,0.46,0.48,4.35
2004-08-18 16:00:00-04:00,0.43,0.43,
2004-11-17 16:00:00-05:00,0.45,0.44,-3.03
2005-02-16 16:00:00-05:00,0.46,0.46,1.1
2005-05-24 16:00:00-04:00,0.53,0.53,-0.54
2005-08-17 16:00:00-04:00,0.5,0.5,0.87
2005-11-16 16:00:00-05:00,0.54,0.54,-0.82
2006-02-21 16:00:00-05:00,0.55,0.55,-0.54
2006-05-23 16:00:00-04:00,0.62,0.62,
2006-08-22 16:00:00-04:00,0.54,0.55,1.73
2006-11-20 16:00:00-05:00,0.56,0.59,5.3
2007-02-20 16:00:00-05:00,0.58,0.61,5.61
2007-05-22 16:00:00-04:00,0.62,0.66,5.67
2007-08-21 16:00:00-04:00,0.62,0.62,-0.08
2007-11-19 16:00:00-05:00,0.57,0.58,2.59
2008-02-19 07:00:00-05:00,0.61,0.63,2.98
2008-05-20 07:00:00-04:00,0.72,0.78,7.71
2008-08-19 07:00:00-04:00,0.69,0.72,3.92
2008-11-18 07:00:00-05:00,0.71,0.67,-5.31
2009-02-17 07:00:00-05:00,0.7,0.71,1.75
2009-05-19 07:00:00-04:00,0.82,0.82,-0.33
2009-08-25 07:00:00-04:00,0.78,0.79,1.05
2009-11-24 07:00:00-05:00,0.74,0.77,3.6
2010-02-23 07:00:00-05:00,0.76,0.77,1.69
2010-05-25 07:00:00-04:00,0.88,0.89,0.91
2010-08-24 07:00:00-04:00,0.81,0.8,-1.1
2010-11-23 07:00:00-05:00,0.81,0.82,0.7
2011-02-22 07:00:00-05:00,0.84,0.86,2.16
2011-05-24 07:00:00-04:00,0.93,0.9,-2.73
2011-08-23 07:00:00-04:00,0.79,0.79,-0.28
2011-11-22 07:00:00-05:00,0.82,0.84,2.46
2012-02-21 07:00:00-05:00,0.84,0.84,-0.21
2012-05-22 07:00:00-04:00,0.98,0.99,1.17
2012-08-21 07:00:00-04:00,0.85,0.85,-0.07
2012-11-20 07:00:00-05:00,0.88,0.88,-0.34
2013-02-19 07:00:00-05:00,0.91,0.93,1.71
2013-05-21 07:00:00-04:00,1.03,1.1,6.7
2013-08-20 07:00:00-04:00,0.88,0.88,-0.06
2013-11-19 07:00:00-05:00,0.9,0.91,0.97
2014-02-18 07:00:00-05:00,0.91,0.91,-0.35
2014-05-20 07:00:00-04:00,1.12,1.12,-0.22
2014-08-19 07:00:00-04:00,0.92,0.93,0.83
2014-11-18 07:00:00-05:00,0.96,0.96,-0.09
2015-02-17 07:00:00-05:00,0.98,1.01,3.1
2015-06-02 07:00:00-04:00,1.11,1.16,4.41
2015-09-03 07:00:00-04:00,1.0,1.02,2.17
2015-12-03 06:00:00-05:00,1.0,1.03,2.84
2016-03-01 06:00:00-05:00,1.06,1.06,-0.01
2016-05-31 06:00:00-04:00,1.26,1.27,0.42
2016-08-25 06:00:00-04:00,1.01,1.03,1.89
2016-11-22 06:00:00-05:00,1.11,1.12,0.95
2017-02-21 06:00:00-05:00,1.11,1.12,1.17
2017-05-25 06:00:00-04:00,1.31,1.33,1.33
2017-08-22 06:00:00-04:00,1.08,1.12,3.28
2017-11-21 06:00:00-05:00,1.03,1.07,4.26
2018-02-20 06:00:00-05:00,1.17,1.17,0.34
2018-05-24 06:00:00-04:00,1.39,1.42,2.47
2018-08-21 06:00:00-04:00,1.11,1.17,5.22
2018-11-20 06:00:00-05:00,1.15,1.22,6.26
2019-02-19 06:00:00-05:00,1.24,1.29,4.27
2019-05-23 06:00:00-04:00,1.47,1.54,5.12
2019-08-20 06:00:00-04:00,1.19,1.26,6.1
2019-11-19 06:00:00-05:00,1.28,1.31,2.15
2020-02-18 06:00:00-05:00,1.38,1.44,4.05
2020-05-21 06:00:00-04:00,0.75,0.58,-22.24
2020-08-25 06:00:00-04:00,0.18,0.62,237.19
2020-11-24 06:00:00-05:00,0.8,1.02,27.5
2021-02-23 06:00:00-05:00,1.15,1.29,12.4
2021-05-27 06:00:00-04:00,1.42,1.5,5.34
2021-08-24 06:00:00-04:00,1.32,1.41,6.71
2021-11-23 06:00:00-05:00,1.29,1.32,2.39
2022-02-22 06:00:00-05:00,1.37,1.37,0.2
2022-05-26 06:00:00-04:00,1.56,1.52,-2.82
2022-08-23 06:00:00-04:00,1.12,1.13,1.02
2022-11-22 06:00:00-05:00,1.28,1.3,1.79
2023-02-21 06:00:00-05:00,1.27,1.3,2.4
2023-05-25 06:00:00-04:00,1.55,1.57,1.01
2023-08-22 06:00:00-04:00,1.11,1.2,8.18
2023-11-21 06:00:00-05:00,1.18,1.25,5.82
2024-02-20 06:00:00-05:00,1.26,1.3,3.06
2024-05-23 06:00:00-04:00,1.45,1.46,0.7
2024-08-20 06:00:00-04:00,1.2,1.23,2.65
2024-11-19 06:00:00-05:00,1.25,1.26,0.85
2025-02-18 06:00:00-05:00,1.36,1.39,2.24
2025-05-21 06:00:00-04:00,1.58,1.62,2.69
2025-08-19 06:00:00-04:00,1.23,1.26,2.54
2025-11-18 06:00:00-05:00,1.31,1.36,3.49
2026-02-17 06:00:00-05:00,1.34,1.36,1.86
2026-06-03 06:00:00-04:00,1.54,1.55,0.56
2026-08-18 08:00:00-04:00,1.39,,
